Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,GNA/NR/2024/11/01/4503,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/9061,NR/01102023/06022042/L_NR_2012_07,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2024/11/01/4200,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/3646
1,00:00-00:15,0,0,0,0,6.85,17.22,20.56,6.66,6.85,17.21,0,0,7.2,0,8.72,26.91,0,27.76,0,26.91,2.31,26.17,57.29,0,0,0,0,7.01,0,0,3.75,2.22,26.17,26.17,17.45,52.78,2.67,204.92,0,271.33,0,285.39,69.96,95.12

2,00:15-00:30,0,0,0,0,6.85,17.19,20.56,6.66,6.85,17.18,0,0,7.2,0,8.72,26.91,0,27.76,0,26.91,2.31,26.17,57.29,0,0,0,0,7.01,0,0,3.75,2.22,26.17,26.17,17.45,52.78,2.67,204.92,0,271.33,0,285.39,69.96,95.12

3,00:30-00:45,0,0,0,0,6.85,16.87,20.56,6.66,6.85,16.88,0,0,7.2,0,8.72,26.91,0,27.76,0,26.91,2.31,26.17,57.29,0,0,0,0,7.01,0,0,3.75,2.22,26.17,26.17,17.45,52.78,2.67,170.46,0,271.33,0,285.39,69.96,95.12

4,00:45-01:00,0,0,0,0,6.85,16.49,20.56,6.66,6.85,16.48,0,0,7.2,0,8.72,26.91,0,27.76,0,26.91,2.31,26.17,57.29,0,0,0,0,7.01,0,0,3.75,2.22,26.17,26.17,17.45,52.78,2.67,170.46,0,271.33,0,285.39,69.96,95.12

5,01:00-01:15,0,0,0,0,9.17,19.34,27.5,6.66,9.16,19.33,0,0,7.2,0,8.72,26.91,0,27.76,0,26.91,2.31,26.17,57.29,0,0,0,0,7.01,0,0,3.75,2.22,26.17,26.17,17.45,52.78,2.59,170.46,0,230.3,0,285.39,69.96,95.12

