Column1,Block,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,NR/2024/23769/A/44092,NR/2024/23809/A/44091,NR/30092023/26122029/SH-06,WR/2024/24788/A/44219,NR/2024/23420/A/44099,NR/2024/24103/C,NR/2024/23918/A/44090,NR/2024/24105/C,Total
,,BAWANA_GAS,MANIKARAN,APPCPL,NDMC,NDMC,NDMC,PTC,NDMC,PTC,NDMC,DELHI,NDMC,IEXL,IEXL,PUNJAB,APPCPL,ITCLH,SJVNL,IEXL,SJVNL,
,,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,
,,BAWANA_GAS,BRPL,BYPL,TRN_ENERGY,RKM_POWER,JITPL,BRPL,RKM_POWER,BYPL,JPL2,CHANJUII,SKS_Raigarh,NSLSUGAR,NSLSTUNGBHDRA,BAWANA_GAS,BRPL,ITCWIND,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,
,,HARYANA_STATE,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,AEML,AEML,NDMC,NDMC,NDMC,HP,NDMC,HP,NDMC,TPDDL,NDMC,MES_Delhi,MES_Delhi,PUNJAB,GOA_Beneficiary,ITCLH,NDMC,MES_Delhi,NDMC,
,,North-North,North-West,North-West,West-North,West-North,East-North,North-North,West-North,North-North,West-North,North-North,West-North,South-West-North,South-West-North,North-North,North-West,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

2,00:15-00:30,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

3,00:30-00:45,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

4,00:45-01:00,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

5,01:00-01:15,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

6,01:15-01:30,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

7,01:30-01:45,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

8,01:45-02:00,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

9,02:00-02:15,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

10,02:15-02:30,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

11,02:30-02:45,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

