Block,Time Block,ANTA_RF,ANTA_LF,AURY_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,SALAL,RIHAND3,RAPPB,NLCIIST2,RIHAND2,NLCTS2EXP,NNTPP,RAMPUR,RIHAND1,NTPL,RSTPSU1TO6,PARBATI3,RAPPC,RSTPSU7,TEHRI,SEWA2,SINGRAULI,UNCHAHAR1,TANDA2,SASAN,TALST2,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR2,SIMHST2,TALA,ANTA_CRF,VALLURNTECL,UNCHAHAR4,ANTA_GF,URI2,UNCHAHAR3,URI,KOLDAM,KISHANGANGA,MAPS,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,NLCEXP,NLCIIST1,NJPC,NAPP,KGSU1AND2,BSIUL,CHAMERA3,KGSU3AND4,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,86.78,17.6,0,401.85,0,0,0,0,11.43,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,1.27,19.96,14.39,15.81,291.66,0,234.56,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,17.84,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,86.78,17.6,0,401.85,0,0,0,0,11.43,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,1.27,19.96,14.39,15.81,288.66,0,234.56,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,86.78,17.6,0,401.85,0,0,0,0,11.43,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,1.27,19.96,16.56,15.81,288.66,0,234.56,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,86.78,17.6,0,401.85,0,0,0,0,6.14,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,19.96,17.61,15.81,288.66,0,234.56,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,92.25,17.6,0,401.85,0,0,0,0,6.14,36.11,0,0,0,0,0,0,4.39,22.73,37.61,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,19.96,17.61,15.81,288.66,0,234.56,0,0,0,0,0

