Block,Time,CHAMERA3,JHAJJAR,KGSU3AND4,NJPC,RSTPSU1TO6,TEHRI,BSIUL,KGSU1AND2,KOTESHWR,NLCTS2EXP,RAPPB,RAPPC,SALAL,SASAN,SIMHST2,TelanganaSTPP,UNCHAHAR3,URI2,DADRI_GF,FSTPP I & II,NLCIIST1,TANDA2,AURY_RF,KUDGI,NLCEXP,NNTPP,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR1,ANTA_CRF,AURY_GF,AURY_LF,DADRI_RF,KHSTPP-I,KHSTPP-II,KKNPPU2,KOLDAM,RAMPUR,RIHAND2,SEWA2,URI,ANTA_LF,DADRI_CRF,BRBCL,KKNP,NAPP,NTPL,TALA,UNCHAHAR2,CHAMERA1,CHAMERA2,DHAULIGNGA,KISHANGANGA,MAPS,RIHAND1,RIHAND3,SIMHST1,TALST2,VALLURNTECL,ANTA_GF,AURY_CRF,DADRI_LF,DADRT2,DULHASTI,NLCIIST2,PARBATI3,SINGRAULI,TANAKPUR,UNCHAHAR4,ANTA_RF
1,00:00-00:15,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,26.49,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

2,00:15-00:30,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,9.29,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,26.49,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

3,00:30-00:45,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,26.49,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

4,00:45-01:00,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,3.31,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

5,01:00-01:15,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

6,01:15-01:30,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

7,01:30-01:45,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

8,01:45-02:00,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,5.76,0,44.83

9,02:00-02:15,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,9.29,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,44.83

10,02:15-02:30,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,44.83

11,02:30-02:45,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,44.83

12,02:45-03:00,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

13,03:00-03:15,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

14,03:15-03:30,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,2.21,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

15,03:30-03:45,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

16,03:45-04:00,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

17,04:00-04:15,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

18,04:15-04:30,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.05

19,04:30-04:45,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

20,04:45-05:00,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

21,05:00-05:15,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

22,05:15-05:30,0,654.3,0,0,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

23,05:30-05:45,0,654.3,0,21.31,0,0,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

24,05:45-06:00,0,654.3,0,46.79,0,14.93,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

25,06:00-06:15,0,654.3,0,70.17,0,14.93,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,0,0,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.25

26,06:15-06:30,0,654.3,0,93.56,0,29.86,0,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,0,3.33,7.92,0,0,92,124.32,0,0,0,0,0,23.57,683.14,16.48,0,0,125.96,0,0,45.47

27,06:30-06:45,9.67,654.3,0,93.56,0,44.79,2.2,0,8.88,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,12.01,13.17,10.57,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,0,0,45.47

28,06:45-07:00,19.38,654.3,0,93.56,0,62.24,13.04,0,9.86,0,0,25.76,1.4,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,0,5.52,0,0,20,0,44.21,0,0,42.39,12.25,26.34,16.59,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,0,0,45.47

29,07:00-07:15,19.38,594.3,0,93.56,0,62.24,13.04,0,9.86,0,0,25.76,9.29,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,7.9,6.63,0,0,20,0,44.21,0,0,42.39,28.1,26.34,19.81,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,0,0,45.47

30,07:15-07:30,19.38,574.3,0,93.56,0,62.24,13.04,0,9.86,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,7.9,6.63,0,0,20,0,44.21,0,0,42.39,28.1,26.34,27.41,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,0,0,45.47

31,07:30-07:45,19.38,574.3,0,103.04,0,62.24,13.04,0,9.86,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,8.19,6.63,0,0,20,0,44.21,0,0,42.39,28.1,26.34,27.41,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,0,0,45.47

32,07:45-08:00,19.38,574.3,0,103.04,0,62.24,13.04,0,9.86,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,8.19,6.63,0,0,20,0,44.21,0,0,42.39,28.1,26.34,27.41,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,0,0,45.47

33,08:00-08:15,19.38,554.3,0,103.04,0,62.24,13.04,0,9.86,0,0,25.76,41.83,416.25,0,0,26.39,4.31,0,20.8,0,0,71.24,0,0,0,0,0,10.27,0,0,0,69.05,33.08,148.3,0,0,0,118.75,8.19,26.49,0,0,20,0,44.21,0,0,42.39,28.1,26.34,27.41,0,0,92,124.32,0,0,0,0,0,23.57,683.14,32.95,0,0,125.96,5.76,0,45.47

