Block,Time Block,KHSTPP-II,KISHANGANGA,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,JHAJJAR,KGSU1AND2,CHAMERA3,KGSU3AND4,CHAMERA2,TANDA2,TANAKPUR,TALST2,TALA,NLCIIST1,NLCIIST2,BSIUL,BRBCL,CHAMERA1,NAPP,NLCEXP,NJPC,MAPS,KOLDAM,KKNP,KOTESHWR,KKNPPU2,KUDGI,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,AURY_RF,AURY_LF,AURY_CRF,AURY_GF,DADRI_GF,DADRI_CRF,DADRI_LF,DADRI_RF,NTPL,NLCTS2EXP,PARBATI3,NNTPP,UNCHAHAR4,ANTA_CRF,URI2,UNCHAHAR3,TelanganaSTPP,ANTA_LF,ANTA_RF,UNCHAHAR2,URI,TEHRI,ANTA_GF,UNCHAHAR1,VALLURNTECL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,94.98,0,0,17.79,13.57,298.92,42.97,233.87,0,0,0,0,0,3.07,0,0,0,0,0,19.21,0,41.35,0,0,0,0,0,8.52,0,0,12.28,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,19.26,0,0,0,15.27,2.65,0,0,14.89,0,0,0,0,0,0

2,00:15-00:30,94.98,0,0,15.03,13.57,273.94,42.97,233.87,0,0,0,0,0,3.07,0,0,0,0,0,19.21,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,19.26,0,0,0,15.27,34.47,0,0,14.89,0,0,0,0,0,0

3,00:30-00:45,94.98,0,0,15.03,13.57,273.94,42.97,233.87,0,0,0,0,0,3.07,0,0,0,0,0,19.21,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,19.26,0,0,0,15.27,34.47,0,0,14.89,0,0,0,0,0,0

4,00:45-01:00,94.98,0,0,15.03,13.57,273.94,42.97,230.57,0,0,0,0,0,3.07,0,0,0,0,0,19.21,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,14.25,0,0,0,11.24,2.65,0,0,11.54,0,0,0,0,0,0

5,01:00-01:15,94.98,0,0,14.91,3.7,273.94,42.97,230.67,0,0,0,0,0,3.07,0,0,0,0,0,17.76,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,14.09,0,0,0,11.19,1.59,0,0,11.54,0,0,0,0,0,0

6,01:15-01:30,94.98,0,0,14.91,3.7,273.94,42.97,230.67,0,0,0,0,0,3.07,0,0,0,0,0,15.55,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,14.09,0,0,0,11.19,1.59,0,0,11.54,0,0,0,0,0,0

7,01:30-01:45,94.98,0,0,17.22,3.7,273.94,42.97,230.67,0,0,0,0,0,9.85,0,0,0,0,0,15.71,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.09,0,0,0,11.19,1.59,0,0,11.54,0,0,0,0,0,0

8,01:45-02:00,94.98,0,0,17.22,3.7,242.24,42.97,230.67,0,0,0,0,0,3.07,0,0,0,0,0,15.38,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.09,0,0,0,11.19,1.59,0,0,11.54,0,0,0,0,0,0

9,02:00-02:15,94.98,0,0,17.22,3.7,230.71,42.97,230.67,0,0,0,0,0,3.07,0,0,0,0,0,13.72,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.09,0,0,0,11.19,1.59,0,0,11.54,0,0,0,0,0,0

10,02:15-02:30,94.98,0,0,17.22,3.7,221.11,42.97,230.67,0,0,0,0,0,3.07,0,0,0,0,0,13.3,0,41.35,0,0,0,0,0,8.52,0,0,2.24,0,134.19,119.43,0,114.09,402.31,74.93,0,0,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.09,0,0,0,11.19,1.59,0,0,11.54,0,0,0,0,0,0

