Block,Time,SH-06,LT-05,L_NR_2012_04,LT-35,SH-07,L_NR_2012_02,LT-59,L_NR_2022_10,L_NR_2019_19,L_NR_2020_07,L_NR_2019_05,L_NR_2020_05,L_NR_2022_09,L_NR_2023_04,L_NR_2018_61,L_NR_2022_08,L_NR_2021_14,L_NR_2021_16,L_NR_2023_07,L_NR_2023_10,L_NR_2019_07,L_NR_2021_15,L_NR_2012_07,L_NR_2021_17,L_NR_2021_13,L_NR_2020_02,L_NR_2021_12,LT-36,L_NR_2019_11,LT-31,L_NR_2012_01,L_NR_2020_06,L_NR_2019_06
1,00:00-00:15,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,75.96,0,37.5,0,112.5,75.96,29.860000,32.94,29.51,0,0,0,0,0,0,74.070000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,37.5,0

2,00:15-00:30,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,74.96,0,37.5,0,112.5,74.96,29.860000,32.94,30.49,0,0,0,0,0,0,74.070000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,37.5,0

3,00:30-00:45,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,73.98,0,37.5,0,112.5,73.98,30.830000,23.06,32.31,0,0,0,0,0,0,74.070000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,37.5,0

4,00:45-01:00,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,74.05,0,37.5,0,112.5,74.05,30.830000,23.46,32.72,0,0,0,0,0,0,74.070000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,37.5,0

5,01:00-01:15,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,73.77,0,37.4,0,112.2,73.77,30.830000,24.55,32.23,0,0,0,0,0,0,64.920000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,37.4,0

6,01:15-01:30,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,72.78,0,37.45,0,112.4,72.78,30.830000,24.55,36.85,0,0,0,0,0,0,64.920000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,37.47,0

7,01:30-01:45,30.910000,115.580000,271.690000,0.000000,25.520000,261.400000,0.000000,71,0,36.72,0,110.13,71,29.860000,24.55,36.39,0,0,0,0,0,0,64.920000,0,0,11.890000,0,0.000000,0.000000,0.000000,0.000000,36.71,0

