Column1,Block,NR/2024/23639/A/41362,GNA/NR/2024/10/01/3642,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/2024/23703/C,NR/2024/23694/A/41368,GNA/NR/2024/10/01/8106,NR/2024/23383/A/41247,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23384/A/41259,NR/2024/23382/A/41395,GNA/NR/2024/10/16/2350,GNA/WR/2024/10/15/7089,NR/2024/23706/C,NR/2024/23640/A/41364,Total
,,SJVNL,NDMC,PUNJAB,BAWANA_GAS,NDMC,NDMC,NDMC,TPDDL,DIAPL,NDMC,ITCLH,PTC,DELHI,IEXL,NVVNL,PTC,APPCPL,NVVNL,SJVNL,
,,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,DELHI_UT,HIMACHAL_STATE,KARNATAKA_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,
,,RSRPL_BKN,RKM_POWER,BAWANA_GAS,BAWANA_GAS,SKS_Raigarh,RKM_POWER,JPL2,JHAJJAR,GBHHPL,TRN_ENERGY,ITCWIND,BRPL,CHANJUII,NSLSUGAR,JITPL,BYPL,BYPL,SOLAPUR_SOLAR,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,PUNJAB,HARYANA,NDMC,NDMC,NDMC,TPDDL,DIAPL,NDMC,ITCLH,HP,TPDDL,MES_Delhi,NDMC,HP,AEML,MES_Delhi,NDMC,
,,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,North-North,North-North,South-West-North,East-North,North-North,North-West,West-North,North-North,
1,00:00-00:15,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.88,6.75,24.83,31.71,200,0,0,684.25

2,00:15-00:30,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.88,6.75,24.83,31.71,200,0,0,684.25

3,00:30-00:45,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.88,6.75,24.83,31.71,200,0,0,684.25

4,00:45-01:00,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.88,6.75,24.83,31.71,200,0,0,684.25

5,01:00-01:15,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.53,95.13,4.78,6.75,24.83,31.71,200,0,0,684.0999999999999

6,01:15-01:30,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.53,95.13,4.78,6.75,24.83,31.71,200,0,0,684.0999999999999

7,01:30-01:45,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.53,95.13,4.78,6.75,24.83,31.71,200,0,0,684.0999999999999

8,01:45-02:00,0,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.53,95.13,4.78,6.75,24.83,31.71,200,0,0,684.0999999999999

9,02:00-02:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

10,02:15-02:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

11,02:30-02:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

12,02:45-03:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

13,03:00-03:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

14,03:15-03:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

15,03:30-03:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

16,03:45-04:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

17,04:00-04:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

18,04:15-04:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

19,04:30-04:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

20,04:45-05:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.43,95.13,4.78,6.75,24.83,31.71,0,0,0,532.26

21,05:00-05:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

22,05:15-05:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

23,05:30-05:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

24,05:45-06:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.48,95.13,4.78,6.75,24.83,31.71,0,0,0,532.31

25,06:00-06:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.53,0,4.78,6.75,24.83,0,0,0,0,405.5199999999999

26,06:15-06:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.53,0,4.78,6.75,24.83,0,0,0.06,0,405.5799999999999

27,06:30-06:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.53,0,4.78,6.75,24.83,0,0,0.06,0,405.5799999999999

28,06:45-07:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.53,0,4.78,6.75,24.83,0,0,0.17,0,405.68999999999994

