Time,Block,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21148/A/28829,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21103/A/29085,NR/2024/21930/C,NR/2024/21160/A/28828,NR/2024/21144/A/28796,NR/2024/20573/A/28866,NR/2024/21142/A/28979,NR/01072024/31072024/R2,NR/2024/21141/A/28987,NR/2024/21023/A/28795,NR/2024/21199/A/28794,NR/2024/21906/C,NR/30092023/31122025/SH-07,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21075/A/29112,NR/2024/21183/A/29110,NR/2024/21173/A/28846,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/26122029/SH-06,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21186/A/29072,NR/2024/21156/A/28833,NR/2024/21153/A/28832,NR/2024/19779/A/28769,NR/2024/21922/C,NR/2024/21062/A/28876,NR/2024/21916/C,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21072/A/29063,NR/2024/21238/A/29113,NR/2024/21076/A/29109,NR/2024/21924/C,NR/2024/20688/A/28848,NR/2024/21087/A/28847,NR/2024/21682/A/29142,NR/2024/21159/A/28835,NR/2024/21099/A/28981,NR/2024/21865/C,NR/2024/20711/A/29143,NR/2024/20574/A/28868,NR/2024/21152/A/28737,NR/2024/21089/A/29062,NR/2024/21210/A/28977,NR/2024/21096/A/29090,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21146/A/28831,NR/2024/21715/A/28797,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21904/C,NR/2024/21339/A/28973,NR/2024/21227/A/29083,NR/2024/21150/A/28830,NR/2024/21113/A/29061,NR/2024/21567/A/29060,NR/2024/20931/A/29032,NR/2024/21158/A/28834,NR/2024/21108/A/29080,NR/2024/20966/A/29117,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,SR/2024/13611/C,NR/2024/21903/C,Total
,,DELHI,BAL224,APPCPL,AEL,APPCPL,HPXL,BMDRC,DTCP,PTC,TPTCL,PTC,TPTCL,INSTINCT,INSTINCT,NVVNL,BAWANA_GAS,TPDDL,MANIKARAN,MANIKARAN,GMRETL,INSTINCT,PUNJAB,INSTINCT,NVVNL,UHL,JHPL-DL,ITCLH,IEXL,PTC,IEXL,TPTCL,TPTCL,NVVNL,MANIKARAN,MANIKARAN,PXIL,GMRETL,GMRETL,TPDDL,MHIL,TPTCL,MANIKARAN,TPDDL,PTC,IEXL,NVVNL,TPTCL,APPCPL,NDMC,NDMC,BAL184,DIAPL,MEJA,NVVNL,TPTCL,APPCPL,BAL234,NVVNL,NVVNL,AEL,MSSH,APPCPL,IEXL,SECI_Trader,SECI_Trader,HPXL,NVVNL,Total

,,MAHARASHTRA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,MAHARASHTRA,NA,DELHI,HIMACHAL PRADESH,GOA,MP,ODISHA,MAHARASHTRA,DELHI,NA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,KARNATAKA,NA,NA,NA,NA,NA,TAMIL NADU,MAHARASHTRA,NA,RAJASTHAN,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,KERALA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,NAGALAND,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,MANIPUR,MAHARASHTRA,NA,NA,DELHI,NA,
,,MSEB_Beneficiary,SHPPBPL,Arunachal_Ben,APL_Raigarh TPP,UTTARAKHAND,GBHHPL,SHPPBPL,SHPPBPL,HP,HP-GOVT,SEILP2,TPC MSEB,JPL,JPL_DHULE,SORANG_HEP,BAWANA_GAS,CHANJUII,GOA_Beneficiary,BLAPOWER_MP,GMRKEL (STU),JPL_DHULE,BAWANA_GAS,JPL,JP BINA,SHPPBPL,SHPPBPL,ITCWIND,PCKL,SEILP2,RKM_POWER,MPL,JITPL,RKM_POWER,MMS STEEL TN,AEML,SKS Raigarh,RUVNL,GBHHPL,JHAJJAR,SHPPBPL,ACBIL,AEML,JPL-2,HP,NHCPL_HP,RKM_POWER,SIMHAPURI,KSEB,SKS Raigarh,JITPL,SHPPBPL,GBHHPL,MEJA,KAMENG,JITPL,Nagaland_Ben,SHPPBPL,JPL-2,TRN_ENERGY,APL_Raigarh TPP,SHPPBPL,Manipur_Ben,A_A_Energy_MH_Bio,SBSRPC11PL_BKN,SBSRPC11PL_BKN,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,
,,TPDDL,BAL224,BRPL,BRPL,BYPL,BYPL,BMDRC,DTCP,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,TPDDL,HARYANA,TPDDL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,TPDDL,UHL,JHPL-DL,ITCLH,BRPL,BRPL,BRPL,TPDDL,BRPL,NDMC,BRPL,BYPL,BRPL,BYPL,BRPL,TPDDL,MHIL,BRPL,BYPL,TPDDL,BYPL,MES (Delhi),NDMC,BRPL,BYPL,NDMC,NDMC,BAL184,DIAPL,DELHI,TPDDL,BRPL,BYPL,BAL234,NDMC,NDMC,BRPL,MSSH,BRPL,MES (Delhi),TPDDL,BYPL,TANGEDCO,MES (Delhi),
,,West-North,North-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,East-North,West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,South-East-West-North,South-East-North,West-North,East-North,East-North,West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,East-North,North-North,North-North,North-North,North East-East-North,East-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,North-West-South,West-North,
1,00:00-00:15,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.630000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,8.620000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2320.42

2,00:15-00:30,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.630000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,7.260000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,15.00,0,2334.06
