Column1,Block,NR/2024/22052/A/31703,NR/2024/22516/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/SKS-Raigarh,GNA/SR/2024/08/13/6665,NR/01082024/31082024/jitpl,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21909/A/31959,NR/2024/22042/A/31728,NR/2024/22010/A/32043,NR/2024/21943/A/31988,NR/2024/22398/A/32060,NR/2024/22432/A/31769,NR/2024/22058/A/31701,NR/2024/21971/A/32027,NR/2024/22014/A/31729,NR/2024/21860/A/32061,NR/2024/21961/A/31826,NR/2024/21966/A/31759,NR/2024/21968/A/32025,NR/2024/21918/A/32041,NR/2024/22511/C,NR/2024/21970/A/32026,NR/2024/21954/A/31989,NR/2024/22512/C,NR/2024/21940/A/31993,NR/2024/21938/A/31832,NR/2024/21658/A/31736,NR/2024/22279/A/31725,NR/2024/21983/A/31743,NR/2024/21956/A/31998,NR/2024/21974/A/32028,SR/2024/13834/C,NR/2024/21814/A/32030,NR/2024/22510/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
,,SJVNL,SJVNL,AEL,DELHI,INSTINCT,DELHI,IEXL,JITPL,TPTCL,BAWANA_GAS,PUNJAB,DELHI,APPCPL,AEL,IEXL,MANIKARAN,APPCPL,TPDDL,DIAPL,SJVNL,NVVNL,IEXL,TPDDL,PTC,INSTINCT,NVVNL,MANIKARAN,NVVNL,NVVNL,APPCPL,NVVNL,APPCPL,PTC,ITCLH,IEXL,TPTCL,APPCPL,NVVNL,IEXL,NVVNL,NVVNL,SECI_Trader,SECI_Trader,
,,NA,NA,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,MSEB_State,Arunachal_State,NA,MSEB_State,GOA_State,MSEB_State,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,MSEB_State,NA,NA,Manipur_State,NA,UTTARAKHAND_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,KERALA_State,NA,DELHI_UT,NA,NA,NA,NA,
,,RSRPL_BKN,TPSL_BKN2,APL_Raigarh_TPP,CHANJUII,JPL2,SKS_Raigarh,BYPL,JITPL,SIMHAPURI,BAWANA_GAS,BAWANA_GAS,MSEB_Beneficiary,Arunachal_Ben,APL_Raigarh_TPP,A_A_Energy_MH_Bio,GOA_Beneficiary,AEML,JHAJJAR,GBHHPL,TPSL_BKN2,RKM_POWER,NHCPL_HP,JPL2,HP,JPL2,JPL2,AEML,Kameng,TRN_ENERGY,Manipur_Ben,SORANG_HEP,UTTARAKHAND,HP,ITCWIND,NSLSUGAR,SIMHAPURI,KSEB,RKM_POWER,BYPL,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,BRPL,TPDDL,BRPL,NDMC,APTRANSCO,NDMC,BRPL,HARYANA,PUNJAB,TPDDL,BRPL,BRPL,MES_Delhi,BRPL,BRPL,TPDDL,DIAPL,NDMC,NDMC,MES_Delhi,TPDDL,BRPL,BRPL,NDMC,BYPL,TPDDL,NDMC,BRPL,TPDDL,BYPL,BYPL,ITCLH,MES_Delhi,BRPL,BYPL,NDMC,TANGEDCO,TPDDL,MES_Delhi,TPDDL,BYPL,
,,North-North,North-North,West-North,North-North,West-North,West-North,North-East-South,East-North,South-West-North,North-North,North-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,North East-East-North,North-North,North-North,North-North,South-West-North,South-East-West-North,South-East-North,South-West-North,West-North,North-West-South,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.63,4.81,0,67.32,37.15,42.31,48.08,0,0,0,1613.9299999999998

2,00:15-00:30,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.63,4.81,0,67.32,37.15,91.36,48.08,0,0,0,1662.9799999999998

