Block,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31012024/HP-28,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/19072037/LT-05,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/HP-26,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31032024/ ChanjuII,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/29012024/29012024/DD20240129NR22426,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01012024/31012024/HP-27,NR/01012024/31012024/52,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/30042040/GNA_LT_36,NR/29012024/29012024/IEX-240123-06217,NR/29012024/29012024/HPX-TAMCTG-280124-05951,NR/06012024/31012024/NVVN/OA/16855,NR/30092023/26122029/SH-06,NR/29012024/29012024/HPX-TAMCTG-280124-05952,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,1.340000,39.350000,24.520000,0.000000,53.870000,48.100000,64.150000,8.180000,6.730000,11.540000,0.000000,152.460000,18.280000,230.880000,1.290000,23.090000,137.570000,0.000000,0.650000,0.000000,57.290000,0.000000,22.100000,0.950000,5.770000,0.000000,0.000000,0.000000,48.100000,22.100000,0.000000,0,0,7.34,22.06,23.35,0,0,21.22,0,21.22,0,7.8,0,0,0,0,0,0,7.78,0,0

2,00:15-00:30,1.340000,39.350000,24.520000,0.000000,53.870000,48.100000,64.150000,8.180000,6.730000,11.540000,0.000000,152.460000,18.280000,192.400000,1.290000,23.090000,125.640000,0.000000,0.650000,0.000000,57.290000,0.000000,22.100000,0.950000,5.770000,0.000000,0.000000,0.000000,48.100000,22.100000,0.000000,0,0,7.29,21.66,22.57,0,0,15,0,15,0,7.52,0,0,0,0,0,0,7.52,0,0

3,00:30-00:45,1.340000,39.350000,24.520000,0.000000,53.870000,48.100000,64.150000,8.180000,6.730000,11.540000,0.000000,152.460000,18.280000,148.800000,1.290000,23.090000,125.640000,0.000000,0.650000,0.000000,57.290000,0.000000,22.100000,0.950000,5.770000,0.000000,0.000000,0.000000,48.100000,22.100000,0.000000,0,0,7.08,20.65,21.42,0,0,14.67,0,14.67,0,7.15,0,0,0,0,0,0,7.14,0,0

4,00:45-01:00,1.340000,39.350000,24.520000,0.000000,53.870000,48.100000,64.150000,8.180000,6.730000,11.540000,0.000000,152.460000,18.280000,148.800000,1.290000,23.090000,125.640000,0.000000,0.650000,0.000000,57.290000,0.000000,22.100000,0.950000,5.770000,0.000000,0.000000,0.000000,48.100000,22.100000,0.000000,0,0,6.85,19.65,20.41,0,0,14.33,0,14.33,0,6.81,0,0,0,0,0,0,6.8,0,0

5,01:00-01:15,1.340000,39.350000,24.520000,0.000000,53.870000,48.100000,64.150000,8.180000,6.730000,11.540000,0.000000,152.460000,18.280000,148.800000,1.290000,23.090000,125.640000,0.000000,0.650000,0.000000,57.290000,0.000000,22.100000,0.950000,5.770000,0.000000,0.000000,0.000000,48.100000,22.100000,0.000000,0,0,6.74,19.05,20.31,0,0,14,0,14,0,6.77,0,0,0,0,0,0,6.77,0,0

