Time,Block,NR/2024/18977/A/16417,NR/2024/19723/C,NR/2024/19694/C,NR/2024/19609/A/16976,NR/2024/19024/A/16522,NR/2024/19121/A/16530,NR/2024/19043/A/16699,NR/2024/19143/A/16472,NR/2024/19749/C,NR/2024/18986/A/16380,NR/2024/18976/A/16416,NR/2024/19115/A/16474,NR/2024/19712/C,NR/2024/19484/A/17023,NR/2024/19485/A/17020,NR/2024/19483/A/17025,NR/2024/18919/A/17008,NR/2024/18855/A/16531,NR/2024/19693/C,NR/2024/19075/A/16476,NR/2024/19030/A/16693,NR/2024/19688/C,NR/2024/19622/A/16943,NR/2024/18936/A/16405,NR/2024/19245/A/16520,NR/2024/18978/A/16418,NR/2024/18934/A/16403,NR/2024/19721/C,NR/2024/19337/A/16518,NR/2024/19172/A/17122,NR/2024/19691/C,NR/2024/19290/A/17123,NR/2024/19572/A/16731,NR/2024/19469/A/16515,NR/2024/19689/C,NR/2024/19655/C,NR/2024/18935/A/16404,NR/2024/19716/C,NR/2024/18996/A/17113,Total
,,PXIL,IEXL,NVVNL,HPXL,DIAPL,GMRETL,IEXL,IEXL,IEXL,ITCLH,PXIL,IEXL,HPXL,NVVNL,NVVNL,NVVNL,APPCPL,GMRETL,NVVNL,IEXL,IEXL,IEXL,PXIL,PXIL,DIAPL,PXIL,PXIL,IEXL,DIAPL,TPDDL,NVVNL,TPDDL,IEXL,DIAPL,IEXL,DIAPL,PXIL,IEXL,PTC,Total

,,NA,NA,NA,KERALA,HIMACHAL PRADESH,RAJASTHAN,NA,DELHI,NA,ANDHRA PRADESH,ODISHA,MAHARASHTRA,KERALA,NA,NA,NA,NAGALAND,RAJASTHAN,NA,ODISHA,NA,HIMACHAL PRADESH,KERALA,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,NA,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,KERALA,MAHARASHTRA,
,,MEENAKSHI,JPL,SORANG_HEP,KSEB,GBHHPL,RUVNL,MBMP,EDWPCL12,KWHEP,ITCWIND,FACORPOWER,SWPL,KSEB,RKM_POWER,RKM_POWER,SKS Raigarh,Nagaland_Ben,RUVNL,KAMENG,VSL,JHABUA_IPP,HP-GOVT,KSEB,SAKTHISUGARSLTD,GBHHPL,BIRLACARBONTN,SAKTHISUGRAR_TN,MCCPL,GBHHPL,JHAJJAR,SOLAPUR_SOLAR,JHAJJAR,SEIL,GBHHPL,HP,GBHHPL,SAKTHISUGARS_ELMTN,KSEB,JPL_DHULE,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,TPDDL,BRPL,DIAPL,BYPL,BRPL,UPPCL,BYPL,ITCLH,BRPL,BRPL,BRPL,NDMC,NDMC,NDMC,BYPL,BYPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,BRPL,BRPL,BYPL,DIAPL,TPDDL,MES (Delhi),TPDDL,TPDDL,DIAPL,BRPL,DIAPL,BRPL,BRPL,BRPL,
,,South-West-North,West-North,North-North,South-East-North,North-North,North-North,West-East-North,North-North,North-North,South-West-North,East-West-North,West-East-North,South-East-North,West-North,West-North,West-North,North East-East-North,North-North,North East-East-North,East-North,West-East-North,North-North,South-West-North,South-West-North,North-North,South-West-North,South-West-North,West-North,North-North,North-North,West-North,North-North,South-East-North,North-North,North-North,North-North,South-West-North,South-East-West-North,West-North,
1,00:00-00:15,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.530000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,15.440000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1534.19

2,00:15-00:30,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.530000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,15.440000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1534.19
