Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/2024/23685/C,NR/2024/23383/A/41032,NR/2024/23384/A/41034,NR/2024/23382/A/41182,NR/2024/23648/A/41046,NR/2024/23640/A/41065,NR/2024/23639/A/41066,NR/2024/23686/C,Total
,,APPCPL,PTC,PUNJAB,NDMC,BAWANA_GAS,NDMC,PTC,NDMC,DELHI,NDMC,NDMC,TPDDL,ITCLH,IEXL,NVVNL,DIAPL,SJVNL,SJVNL,NVVNL,
,,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,NA,NA,
,,BYPL,BYPL,BAWANA_GAS,TRN_ENERGY,BAWANA_GAS,JPL2,BRPL,RKM_POWER,CHANJUII,SKS_Raigarh,RKM_POWER,JHAJJAR,ITCWIND,NSLSUGAR,JITPL,GBHHPL,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,
,,MSEB_State,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,AEML,HP,PUNJAB,NDMC,HARYANA,NDMC,HP,NDMC,TPDDL,NDMC,NDMC,TPDDL,ITCLH,MES_Delhi,NDMC,DIAPL,NDMC,NDMC,MES_Delhi,
,,North-West,North-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,South-West-North,South-West-North,East-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0,632.6900000000002

2,00:15-00:30,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0,632.6900000000002

3,00:30-00:45,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0,632.6900000000002

4,00:45-01:00,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0,632.6900000000002

5,01:00-01:15,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,632.6400000000001

