Time,Block,NR/2023/11099/F,NR/2023/10181/A,NR/2023/11367/F,NR/2023/11100/F,NR/2023/11343/F,NR/2023/11154/F,NR/2023/11104/F,NR/2023/11097/F,NR/2023/11741/D,NR/2023/11760/C,NR/2023/11166/F,NR/2023/10182/A,NR/2023/11341/F,NR/2023/11096/F,NR/2023/10197/A,NR/2023/11369/F,NR/2023/10433/A,NR/2023/11758/C,NR/2023/11368/F,NR/2023/10486/A,NR/2023/11221/F,NR/2023/11695/D,NR/2023/11095/F,NR/2023/11102/F,NR/2023/11766/C,NR/2023/11767/C,NR/2023/11746/D,NR/2023/11748/D,NR/2023/11749/D,Total
,,SHPPBPL,NVVNL,SHPPBPL,SHPPBPL,IEXL,HPXL,SHPPBPL,SHPPBPL,SJVNL,IEXL,IEXL,NVVNL,IEXL,SHPPBPL,TPTCL,SHPPBPL,NVVNL,TPDDL,SHPPBPL,TPTCL,IEXL,TPTCL,APPCPL,SHPPBPL,IEXL,GBHHPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,NA,KARNATAKA,NA,TELANGANA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,NA,MANIPUR,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,NA,
,,SHPPBPL,ILFS,SHPPBPL,SHPPBPL,JSPL_DCPP,NIRANISUGAR,SHPPBPL,SHPPBPL,IPCL_WB,DIKCHU,VISHWARAJSUGAR,JPNIGRIE_JNSTPP,NAVABHARAT,SHPPBPL,JPL,SHPPBPL,SEIL,CHANJUII,SHPPBPL,APNRL,KPRSUGAR,MAHAN ENERGEN,Manipur_Ben,SHPPBPL,Teesta_III,GBHHPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,UHL,BRPL,BAL184,BMDRC,BRPL,BRPL,AISHER,MHIL,NDMC,BYPL,BRPL,BRPL,BRPL,MAX-HPTL,BRPL,BAL234,TPDDL,TPDDL,BAL224,TPDDL,BRPL,TPDDL,STT,JHPL-DL,BRPL,DIAPL,MES (Delhi),BYPL,BRPL,
,,North-North,South-West-North,North-North,North-North,West-North,South-East-North,North-North,North-North,East-North,East-West-North,South-West-North,West-North,South-West-North,North-North,West-North,North-North,South-West-North,North-North,North-North,East-North,South-West-North,West-North,North East-East-North,North-North,East-West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,61.630000,29.550000,0,0,0,659.03

2,00:15-00:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,16.370000,29.550000,0,0,0,613.77

3,00:30-00:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,597.4

4,00:45-01:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,597.4

5,01:00-01:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,597.4

6,01:15-01:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,597.4

7,01:30-01:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,597.4

8,01:45-02:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,79.920000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,597.4

9,02:00-02:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.48

