Block,Time,SINGRAULI_HYDRO,ANTA_CRF,AURY_GF,JHAJJAR,ANTA_RF,AURY_CRF,AURY_RF,CHAMERA1,SEWA2,ANTA_LF,DADRI_LF,TANDA2,TEHRI,DULHASTI,RAMPUR,URI2,TANAKPUR,KOTESHWR,UNCHAHAR3,URI,DADRT2,NJPC,RAPPB,PARBATI3,UNCHAHAR1,ANTA_GF,UNCHAHAR2,RIHAND1,KOLDAM,DADRI_CRF,RAPPC,SINGRAULI,DHAULIGNGA,RIHAND2,CHAMERA2,KISHANGANGA,SALAL,NAPP,AURY_LF,DADRI_RF,UNCHAHAR4,RIHAND3,BSIUL,CHAMERA3,DADRI_GF,SASAN,KHSTPP-I,FSTPP I & II,KUDGI,BRBCL,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,631.792092,0.000000,27.167975,0.000000,40.769838,10.212134,0.000000,0.000000,0.000000,43.876728,47.819981,0.000000,19.518179,12.886758,25.751461,25.431197,25.629581,664.293233,147.939346,0.000000,0.000000,19.331490,0.000000,20.502986,88.991600,0.000000,25.149800,49.345649,131.310975,35.395151,86.534561,38.218139,0.000000,83.176192,36.880827,0.000000,0.000000,0.000000,119.621759,1.064030,28.112454,0.000000,400.462200,30.531857,13.787119,0.00,14.509484,24.172827,142.691864,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,631.792092,0.000000,27.167975,0.000000,40.769838,10.212134,0.000000,0.000000,0.000000,43.876728,47.819981,0.000000,19.518179,12.886758,25.751461,25.527144,25.629581,663.935332,147.939346,0.000000,0.000000,19.331490,0.000000,20.502986,88.991600,0.000000,28.864232,49.345649,131.310975,35.395151,86.534561,38.218139,0.000000,83.176192,36.880827,0.000000,0.000000,0.000000,119.621759,1.064030,28.112454,0.000000,400.462200,30.531857,13.787119,9.67,14.042474,24.172827,142.691864,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,631.792092,0.000000,5.780686,0.000000,40.769838,10.212134,0.000000,0.000000,0.000000,43.876728,47.819981,0.000000,19.518179,12.886758,25.751461,25.527144,25.629581,664.322252,147.939346,0.000000,0.000000,19.331490,0.000000,20.502986,88.991600,0.000000,11.615633,49.345649,134.754563,35.395151,86.534561,38.218139,0.000000,83.176192,36.880827,0.000000,0.000000,0.000000,119.621759,1.064030,28.112454,0.000000,400.462200,30.531857,13.787119,9.67,14.509484,24.172827,142.691864,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,631.792092,0.000000,0.000000,0.000000,40.769838,10.212134,0.000000,0.000000,0.000000,43.876728,47.819981,0.000000,19.518179,12.886758,25.751461,25.527144,25.629581,664.322252,147.939346,0.000000,0.000000,19.331490,0.000000,20.502986,88.991600,0.000000,0.110126,49.345649,134.754563,35.395151,86.534561,38.218139,0.000000,83.176192,36.880827,0.000000,0.000000,0.000000,119.621759,1.064030,28.112454,0.000000,400.462200,30.531857,13.787119,9.67,14.509484,24.172827,142.691864,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,625.577189,0.000000,0.000000,0.000000,40.769838,10.212134,0.000000,0.000000,0.000000,43.876728,47.819981,0.000000,19.518179,12.886758,25.751461,18.184853,25.629581,664.322252,147.939346,0.000000,0.000000,13.745720,0.000000,20.502986,88.991600,0.000000,0.000000,49.345649,134.754563,35.395151,86.534561,38.218139,0.000000,83.176192,36.880827,0.000000,0.000000,0.000000,119.621759,6.307570,28.112454,0.000000,399.373988,30.531857,10.756376,9.67,14.166969,24.172827,142.691864,0,0,0,0,0

