Block,Time Block,NNTPP,NJPC,NLCIIST1,NAPP,KUDGI,NLCIIST2,MAPS,NLCTS2EXP,KOTESHWR,NLCEXP,DADRI_RF,DADRI_LF,DADRI_GF,DADRI_CRF,AURY_RF,ANTA_RF,ANTA_LF,AURY_LF,ANTA_GF,AURY_GF,ANTA_CRF,AURY_CRF,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,JHAJJAR,KOLDAM,RSTPSU1TO6,RSTPSU7,RIHAND3,SIMHST1,SEWA2,SIMHST2,SALAL,SASAN,CHAMERA1,DHAULIGNGA,DADRT2,BSIUL,CHAMERA2,CHAMERA3,UNCHAHAR4,UNCHAHAR3,VALLURNTECL,URI2,URI,UNCHAHAR2,UNCHAHAR1,BRBCL,DULHASTI,FSTPP I & II,TANAKPUR,TEHRIPSP,TEHRI,TelanganaSTPP,TANDA2,SINGRAULI_HYDRO,SINGRAULI,TALST2,TALA,RAPPD,RAMPUR,RAPPC,NTPL,PARBATI3,RIHAND2,PARBATI2,RIHAND1,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,572.38,8.33,0,0,126.3,0,17.7,0,74.59,329.05,40.69,40.99,665.47,18.88,45.48,32.77,1.94,26.43,0,36.11,42.63,42.39,20.9,18.25,36.99,18.78,12.66,185.89,76.67,0,5.36,0,94.09,0,23.52,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

2,00:15-00:30,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,467.15,8.33,0,0,126.3,0,17.7,0,74.59,329.05,40.69,40.99,665.47,18.88,45.48,32.77,1.94,26.43,0,36.11,42.63,42.39,20.9,14.6,36.99,18.78,12.66,185.89,76.67,0,5.36,0,94.09,0,23.52,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

3,00:30-00:45,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,458.33,8.33,0,0,126.3,0,17.7,0,74.59,329.05,40.69,40.99,665.47,18.88,45.48,32.77,1.94,26.43,0,36.11,42.63,42.39,20.9,13.48,36.99,18.78,12.66,185.89,76.67,0,5.36,0,94.09,0,23.52,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

4,00:45-01:00,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,400.42,8.33,0,0,126.3,0,17.7,0,74.59,329.05,40.69,40.99,595.9,18.88,45.48,32.77,1.94,26.43,0,36.11,42.63,42.39,20.9,13.44,36.99,18.78,12.66,185.89,76.67,0,5.36,0,94.09,0,23.52,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

5,01:00-01:15,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,342.5,8.33,0,0,126.3,0,17.7,0,74.59,329.05,40.69,40.99,495.64,18.88,45.48,32.77,1.94,25.77,0,36.11,42.63,41.65,20.49,13.51,36.99,18.78,12.66,185.89,76.67,0,4.08,0,94.09,0,23.52,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

6,01:15-01:30,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,291.34,8.33,0,0,126.3,0,17.7,0,74.59,329.05,40.69,40.99,408.77,18.88,45.48,32.77,1.94,25.77,0,36.11,42.63,41.65,20.49,13.51,36.99,18.78,12.66,185.89,76.67,0,4.08,0,94.09,0,23.55,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

7,01:30-01:45,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,269.02,8.33,0,0,126.3,0,17.7,0,74.59,339.91,40.69,40.99,297.76,18.88,45.48,32.77,1.94,25.77,0,36.11,42.63,41.65,20.49,13.66,36.99,18.78,12.66,185.89,76.67,0,4.08,0,94.09,0,23.59,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

8,01:45-02:00,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,249.71,8.33,0,0,126.3,0,17.7,0,74.59,353.18,40.69,40.99,230.19,18.88,45.48,32.77,1.94,23.34,0,36.11,42.63,36.14,17.71,13.61,36.99,18.78,12.66,185.89,76.67,0,4.08,0,94.09,0,23.55,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

9,02:00-02:15,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,249.71,8.33,0,0,126.3,0,17.7,0,74.59,360.88,40.69,40.99,186.75,18.88,45.48,32.77,1.94,18.83,0,36.11,50.54,30.69,14.53,13.53,36.99,17.11,12.66,185.89,76.67,0,4.08,0,94.09,0,23.55,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

10,02:15-02:30,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,249.71,8.33,0,0,126.3,0,17.7,0,74.59,361.62,40.69,40.99,186.75,18.88,45.48,32.77,1.94,18.83,0,36.11,50.54,30.69,14.53,13.56,36.99,16.59,12.66,185.89,76.67,0,4.08,0,94.09,0,23.55,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

11,02:30-02:45,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,249.71,8.33,0,0,126.3,0,17.7,0,74.59,361.62,40.69,40.99,186.75,18.88,45.48,32.77,1.94,18.83,0,36.11,50.54,30.69,14.53,14.55,36.99,16.6,12.66,185.89,76.67,0,2.94,0,94.09,0,23.59,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

12,02:45-03:00,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,249.71,8.33,0,0,126.3,0,17.7,0,74.59,361.62,40.69,40.99,152.96,18.88,45.48,32.77,1.94,18.83,0,36.11,50.54,30.69,14.53,15.23,36.99,16.7,12.66,185.89,76.67,0,2.94,0,94.09,0,23.55,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

13,03:00-03:15,0,169.7,0,23.39,0,0,0,0,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,94.16,0,0,6.73,244.82,8.33,0,0,126.3,0,17.7,0,74.59,361.62,40.69,40.99,104.7,18.88,45.48,32.77,1.33,18.83,0,31.6,42.63,30.69,14.53,13.55,36.99,16.7,11.5,185.89,76.67,0,2.94,0,94.09,0,23.55,38.76,5.48,62.85,0,35.17,120.92,37.37,45.65,0,0,0,0,0,0

