,,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,SIKKIM,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,UTTARAKHAND,MEGHALAYA,DELHI,NA,TAMIL NADU,NA,NA,GOA,NA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MP,TAMIL NADU,
,,Meghalaya_Ben,Meghalaya_Ben,HP,Teesta_III,SIKKIM,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,ITCWIND,JPL,UTTARAKHAND,Meghalaya_Ben,BYPL,KAMENG,OPGPGPLU4TN,KAMENG,SOLAPUR_SOLAR,GOA_Beneficiary,SKS Raigarh,KAMENG,KAMENG,HP,ITCWIND,EDWPCL12,HP,GBHHPL,CHANJUII,PPGCL,JP BINA,OPGPGUNIT1TN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,ITCLH,BRPL,BYPL,BYPL,NPCL(UP),BRPL,BRPL,TPDDL,MES (Delhi),BRPL,NDMC,TPDDL,BRPL,BYPL,ITCLH,DEENDAYALPT,BRPL,DIAPL,TPDDL,BRPL,BRPL,BRPL,
,,North East-East-North,North East-East-North,North-North,East-North,East-North,North-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,West-North,North-North,North East-East-North,North-North,North East-East-North,South-East-North,North East-East-North,West-North,West-North,West-North,North East-East-North,North East-East-North,North-North,South-East-North,North-East-West,North-North,North-North,North-North,North-North,West-North,South-East-North,
8,01:45-02:00,36.470000,20.300000,58.430000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.460000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.160000,2.000000,70.040000,7.070000,11.910000,0.000000,50.030000,4.830000,1518.65

9,02:00-02:15,36.470000,20.300000,58.430000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,7.070000,11.720000,0.000000,50.030000,4.830000,1518.47

10,02:15-02:30,36.470000,20.300000,58.430000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,7.070000,11.720000,0.000000,50.030000,4.830000,1518.47

11,02:30-02:45,36.470000,20.300000,58.430000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,8.070000,11.720000,0.000000,50.030000,4.830000,1519.47

12,02:45-03:00,36.470000,20.300000,58.430000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,8.070000,11.720000,0.000000,50.030000,4.830000,1519.47

13,03:00-03:15,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,8.070000,11.630000,0.000000,50.030000,4.830000,1424.48

14,03:15-03:30,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,8.070000,11.630000,0.000000,50.030000,4.830000,1424.48

15,03:30-03:45,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,8.070000,11.630000,0.000000,50.030000,4.830000,1424.48

16,03:45-04:00,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.630000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,8.070000,11.630000,0.000000,50.030000,4.830000,1424.48

17,04:00-04:15,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.630000,0.000000,50.030000,4.830000,1422.41

18,04:15-04:30,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.630000,0.000000,50.030000,4.830000,1422.41

19,04:30-04:45,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.630000,0.000000,50.030000,4.830000,1422.41

20,04:45-05:00,0.000000,20.300000,0.000000,145.000000,29.580000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.630000,0.000000,50.030000,4.830000,1422.41

21,05:00-05:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.530000,0.000000,50.030000,4.830000,1392.73

22,05:15-05:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.530000,0.000000,50.030000,4.830000,1392.73

23,05:30-05:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.530000,0.000000,50.030000,4.830000,1392.73

24,05:45-06:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.580000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,30.020000,0.000000,2.000000,70.040000,6.050000,11.530000,0.000000,50.030000,4.830000,1392.73

25,06:00-06:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.450000,0.000000,50.030000,4.830000,1292.69

26,06:15-06:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.450000,0.000000,50.030000,4.830000,1292.69

27,06:30-06:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0.16,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.450000,0.000000,50.030000,4.830000,1292.85

