Column1,Block,GNA/WR/2025/01/01/8625,NR/2025/24882/A/54104,NR/2025/24992/A/54103,NR/2024/24418/A/54099,NR/2025/25070/A/54431,WR/2025/26047/A/54362,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/16/1676,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2143,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/16/1380,NR/2025/25267/A/54209,NR/2025/25266/A/54205,NR/2025/25265/A/54207,NR/2025/25330/C,NR/2025/25331/C,Total
,,TPTCL,IEXL,IEXL,ITCLH,NVVNL,APPCPL,NDMC,NDMC,PTC,BAWANA_GAS,APPCPL,DELHI,PUNJAB,NDMC,APPCPL,MANIKARAN,APPCPL,NDMC,NDMC,PTC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,SJVNL,SJVNL,
,,DELHI_UT,TELANGANA_State,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,
,,BYPL,NSLKSLWPRTY,NSLSUGARALAND,ITCWIND,JIPL,BRPL,RKM_POWER,SKS_Raigarh,BRPL,BAWANA_GAS,BYPL,CHANJUII,BAWANA_GAS,RKM_POWER,BYPL,BRPL,BYPL,TRN_ENERGY,JPL2,BYPL,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,RSRPL_BKN,
,,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,KERALA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,MSEB_State,KERALA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPC_MSEB,MES_Delhi,MES_Delhi,ITCLH,NDMC,GOA_Beneficiary,NDMC,NDMC,HP,HARYANA,KSEB,TPDDL,PUNJAB,NDMC,AEML,AEML,KSEB,NDMC,NDMC,HP,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,NDMC,NDMC,
,,North-West,South-West-North,South-West-North,South-West-North,East-North,North-West,West-North,West-North,North-North,North-North,North-West-South,North-North,North-North,West-North,North-West,North-West,North-West-South,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

2,00:15-00:30,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

3,00:30-00:45,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

4,00:45-01:00,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

5,01:00-01:15,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

6,01:15-01:30,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

7,01:30-01:45,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

8,01:45-02:00,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

9,02:00-02:15,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

10,02:15-02:30,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

11,02:30-02:45,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

12,02:45-03:00,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

13,03:00-03:15,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

14,03:15-03:30,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

15,03:30-03:45,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

16,03:45-04:00,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

17,04:00-04:15,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

18,04:15-04:30,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

19,04:30-04:45,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

20,04:45-05:00,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

21,05:00-05:15,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

22,05:15-05:30,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

23,05:30-05:45,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

24,05:45-06:00,0,2.88,6.73,0.38,17.3,0,23.07,8.65,23.78,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,7.93,0,0,0,0,0,275.68

25,06:00-06:15,0,4.81,9.61,0.43,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0,0,0,0,0,248.83

26,06:15-06:30,0,4.81,9.61,0.43,17.3,0,23.07,8.65,0,12.6,75,1.19,32,23.07,0,0,0,8.65,23.07,0,0,0,0,0,0,239.45

27,06:30-06:45,0,4.81,9.61,0.43,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,315.57

28,06:45-07:00,0,4.81,9.61,0.43,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,315.57

29,07:00-07:15,0,4.81,9.61,0.48,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,315.61999999999995

30,07:15-07:30,0,4.81,9.61,0.48,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,315.61999999999995

31,07:30-07:45,0,4.81,9.61,0.48,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,315.61999999999995

32,07:45-08:00,0,4.81,9.61,0.48,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,315.61999999999995

33,08:00-08:15,0,4.81,9.61,0.87,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,316.01

34,08:15-08:30,0,4.81,9.61,0.87,17.3,0,36.53,13.46,0,32,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0,0,0,0,316.01

35,08:30-08:45,0,4.81,9.61,0.87,17.3,0,36.53,13.46,0,9.13,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0,0.01,0.01,0,0,293.15999999999997

36,08:45-09:00,0,4.81,9.61,0.87,17.3,0,36.53,13.46,0,9.13,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0.05,0.12,0.1,0,0,293.41

37,09:00-09:15,0,4.81,9.61,0.87,17.3,0,36.53,13.46,0,25.87,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0.12,0.28,0.2,25.95,23.07,359.49999999999994

38,09:15-09:30,0,4.81,9.61,0.87,17.3,0,36.53,13.46,0,25.87,75,1.19,32,36.53,0,0,0,13.46,43.25,0,0.19,0.52,0.38,26.05,26.82,363.84

39,09:30-09:45,0,4.81,9.61,0.87,17.3,0,23.07,8.65,0,25.87,75,1.19,32,23.07,0,0,0,8.65,23.07,0,0.32,0.64,0.48,19.22,33.64,307.4599999999999

40,09:45-10:00,0,4.81,9.61,0.87,17.3,0,23.07,8.65,0,25.87,75,1.19,32,23.07,0,0,0,8.65,23.07,0,0.36,0.87,0.62,14.42,38.45,307.88

41,10:00-10:15,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,25.87,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.48,0.96,0.58,14.42,38.45,298.23

42,10:15-10:30,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,25.87,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.38,1.06,0.77,14.42,38.45,298.42

43,10:30-10:45,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,25.87,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.38,1.06,0.77,14.42,38.45,298.42

44,10:45-11:00,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,25.87,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.38,1.06,0.77,14.42,38.45,298.42

45,11:00-11:15,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.38,1.06,0.77,14.42,38.45,299.54

46,11:15-11:30,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.64

47,11:30-11:45,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.64

48,11:45-12:00,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.64

49,12:00-12:15,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.64

50,12:15-12:30,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.19,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.64

51,12:30-12:45,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.83

52,12:45-13:00,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.83

53,13:00-13:15,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.83

54,13:15-13:30,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.19,14.42,38.45,299.25

55,13:30-13:45,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,0.76,0.49,14.42,38.45,299.25

