Block,Time Block,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RAMPUR,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,PARBATI3,TelanganaSTPP,TANDA2,UNCHAHAR2,URI,UNCHAHAR1,VALLURNTECL,TALST2,UNCHAHAR4,TANAKPUR,URI2,TALA,UNCHAHAR3,TEHRI,NLCEXP,MAPS,NLCIIST1,NJPC,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,CHAMERA1,JHAJJAR,BRBCL,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,KOTESHWR,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,119.43,0,114.09,402.31,79.66,0,0,0,0,51.08,0,0,12.28,0,134.19,0,0,0,15.27,35,14.89,0,0,0,9.85,18.09,0,19.26,0,0,0,0,0,41.24,0,0,0,0,0,230.57,19.21,0,0,1.8,0,17.22,13.57,323.48,43.44,8.52,0,94.98,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,119.43,0,114.09,402.31,87.02,0,0,0,0,51.08,0,0,1.34,0,134.19,0,0,0,15.27,35,14.89,0,0,0,9.85,18.09,0,19.26,0,0,0,0,0,41.24,0,0,0,0,0,230.57,19.21,0,0,1.8,0,17.22,13.57,303.69,37.45,8.52,0,94.98,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,119.43,0,114.09,402.31,88.38,0,0,0,0,51.08,0,0,1.34,0,134.19,0,0,0,15.27,2.65,14.89,0,0,0,3.07,18.09,0,19.26,0,0,0,0,0,41.24,0,0,0,0,0,230.57,18.97,0,0,1.8,0,17.22,13.57,283.76,37.45,8.52,0,81.88,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,119.43,0,114.09,402.31,88.38,0,0,0,0,51.08,0,0,1.34,0,134.19,0,0,0,15.27,1.59,11.54,0,0,0,3.07,18.09,0,19.26,0,0,0,0,0,41.24,0,0,0,0,0,230.57,17.17,0,0,1.8,0,17.22,13.57,273.94,37.45,8.52,0,81.88,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,119.43,0,114.09,402.31,88.38,0,0,0,0,51.08,0,0,1.34,0,134.19,0,0,0,11.19,1.59,11.54,0,0,0,3.07,18.09,0,13.94,0,0,0,0,0,41.24,0,0,0,0,0,230.57,16.14,0,0,1.8,0,17.22,3.7,273.94,37.45,8.52,0,81.88,0,0,0,0,0,0,0,0,0,0,0

