Block,Time Block,BSIUL,CHAMERA1,BRBCL,TelanganaSTPP,TEHRIPSP,TEHRI,UNCHAHAR2,URI2,AURY_LF,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,UNCHAHAR4,UNCHAHAR1,UNCHAHAR3,URI,VALLURNTECL,TANDA2,TANAKPUR,PARBATI2,NTPL,JHAJJAR,DADRT2,CHAMERA3,CHAMERA2,DHAULIGNGA,DULHASTI,FSTPP I & II,NLCTS2EXP,NNTPP,NLCIIST2,NLCEXP,NJPC,NLCIIST1,DADRI_LF,AURY_RF,DADRI_GF,DADRI_RF,DADRI_CRF,NAPP,MAPS,RAMPUR,PARBATI3,TALST2,SEWA2,SINGRAULI,SASAN,SINGRAULI_HYDRO,TALA,SALAL,SIMHST2,SIMHST1,RAPPD,RIHAND3,RAPPB,RSTPSU7,RAPPC,RIHAND2,RIHAND1,RSTPSU1TO6,KISHANGANGA,KOLDAM,KKNP,KKNPPU2,KUDGI,KOTESHWR,KGSU3AND4,KHSTPP-II,KGSU1AND2,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.6,40.73,17.64,0,60.29,32.64,42.39,38.88,0,0,0,0,0,0,0,2.75,20.77,26.31,35.21,0,3.89,11.76,56.1,0,191.65,564.41,33.91,47.26,42.38,38.4,17.59,0,0,0,0,175.07,0,0,0,0,0,0,23.79,0,6.8,0,0,0,150.35,337.25,1.12,28.39,82.54,0,0,25.26,127.92,0,0,66.26,121.49,90.17,0,8.42,10.29,0,0,0,10.09,0,143.32,0,44,0,0,0,0,0

2,00:15-00:30,12.6,40.73,13.9,0,60.29,32.64,43,38.88,0,0,0,0,0,0,0,1.93,20.77,26.51,35.21,0,3.74,11.76,56.1,0,158.49,564.41,33.91,47.26,42.38,38.4,17.59,0,0,0,0,175.07,0,0,0,0,0,0,23.79,0,6.8,0,0,0,150.35,337.25,1.12,28.43,82.54,0,0,25.26,127.92,0,0,66.26,121.49,90.17,0,8.42,10.29,0,0,0,10.09,0,143.32,0,44,0,0,0,0,0

3,00:30-00:45,12.6,40.73,13.53,0,60.29,32.64,43,27.21,0,0,0,0,0,0,0,1.87,20.77,26.51,35.21,0,3.74,11.76,56.1,0,138.2,526.88,33.91,47.26,42.38,38.4,17.59,0,0,0,0,175.07,0,0,0,0,0,0,23.79,0,6.8,0,0,0,150.35,337.25,1.12,28.62,82.54,0,0,25.26,127.92,0,0,66.26,121.49,90.17,0,8.42,10.29,0,0,0,10.09,0,143.32,0,44,0,0,0,0,0

4,00:45-01:00,12.6,40.73,13.53,0,60.29,32.64,43,27.21,0,0,0,0,0,0,0,2.16,20.77,26.51,35.21,0,3.74,11.76,56.1,0,134.33,485.33,33.91,47.26,42.38,38.4,17.59,0,0,0,0,175.07,0,0,0,0,0,0,23.79,0,6.8,0,0,0,150.35,337.25,1.12,28.62,82.54,0,0,25.26,127.92,0,0,66.26,121.49,90.17,0,8.42,10.29,0,0,0,10.09,0,143.32,0,44,0,0,0,0,0

5,01:00-01:15,6.3,40.73,13.53,0,60.29,32.64,37.01,27.21,0,0,0,0,0,0,0,1.93,18.39,22.47,50.6,0,3.74,11.76,56.1,0,127.56,445.7,33.91,47.26,42.38,38.4,17.59,0,0,0,0,175.07,0,0,0,0,0,0,23.79,0,6.8,0,0,0,150.35,337.25,1.12,24.8,82.54,0,0,25.26,127.92,0,0,66.26,121.49,90.17,0,8.42,10.29,0,0,0,10.09,0,143.32,0,44,0,0,0,0,0

