Block,Time,TANAKPUR,NJPC,CHAMERA2,KOTESHWR,ANTA_GF,RIHAND1,AURY_LF,CHAMERA1,UNCHAHAR2,AURY_RF,RAPPB,TEHRI,CHAMERA3,UNCHAHAR1,BSIUL,ANTA_RF,RAMPUR,AURY_CRF,SINGRAULI_HYDRO,UNCHAHAR4,URI2,RIHAND3,JHAJJAR,RIHAND2,DHAULIGNGA,DADRT2,DADRI_GF,ANTA_CRF,TANDA2,KISHANGANGA,DADRI_CRF,URI,UNCHAHAR3,KOLDAM,ANTA_LF,SINGRAULI,DADRI_LF,DADRI_RF,SEWA2,PARBATI3,AURY_GF,RAPPC,SALAL,NAPP,KHSTPP-I,BRBCL,DULHASTI,SASAN,KHSTPP-II,TALA,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,43.844976,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,31.206488,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,46.953562,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,36.377024,14.499000,47.785375,337.319235,142.588603,17.050824,20.39,18.272606,0,0,0,0,0

2,00:15-00:30,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,29.229984,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,31.206488,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,46.953562,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,36.377024,14.499000,47.785375,337.319235,142.588603,17.050824,18.37,18.272606,0,0,0,0,0

3,00:30-00:45,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,14.614992,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,31.206488,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,16.006896,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,37.550477,14.499000,47.785375,337.319235,142.588603,17.050824,16.43,18.138249,0,0,0,0,0

4,00:45-01:00,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,0.000000,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,31.206488,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,12.805517,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,37.550477,14.499000,47.785375,337.319235,142.588603,17.050824,14.50,18.138249,0,0,0,0,0

5,01:00-01:15,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,0.000000,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,31.206488,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,12.805517,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,37.550477,13.809814,47.785375,337.319235,142.588603,17.050824,12.57,18.138249,0,0,0,0,0

6,01:15-01:30,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,0.000000,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,31.206488,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,12.805517,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,37.550477,12.747521,47.785375,337.319235,142.588603,17.050824,10.63,18.138249,0,0,0,0,0

7,01:30-01:45,12.877432,67.828932,25.460321,8.577608,0.000000,88.927200,0.000000,0.000000,40.974271,0.000000,0.000000,0.000000,9.354600,19.317501,0.000000,0.000000,0.000000,0.000000,0.832098,0.000000,13.002703,119.535193,631.334887,56.024039,26.431387,663.841506,0.000000,0.000000,0.000000,0.000000,0.000000,12.805517,25.508671,0.000000,0.000000,100.043100,0.000000,0.000000,0.000000,3.076204,0.000000,49.064616,33.695676,38.092933,37.550477,12.747521,47.785375,337.319235,142.588603,17.050824,9.67,18.138249,0,0,0,0,0

