Column1,Time,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2594,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/SR/2025/02/01/7432,NR/01102023/22052037/LT-59,GNA/NR/2025/02/01/5886,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,GNA/NR/2025/02/01/4863,NR/30092023/26122029/SH-06,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,GNA/SR/2025/02/01/6460,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,100.2,23.08,23.08,135.61,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,9.8,0,0,0,0,0,0,0,0,0,0,39.66,7.5,0,7.5,7.33,39.67,22.5,0,0,0,0.92,0,0,1.25,0,75,0,132.73

2,00:15-00:30,100.2,23.08,23.08,135.61,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,9.4,0,0,0,0,0,0,0,0,0,0,39.66,7.5,0,7.5,7.33,39.67,22.5,0,0,0,0.92,0,0,1.25,0,75,0,132.73

3,00:30-00:45,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,8.8,0,0,0,0,0,0,0,0,0,0,40,7.5,0,7.5,7.33,40,22.5,0,0,0,0.92,0,0,1.25,0,75,0,132.73

4,00:45-01:00,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,8.2,0,0,0,0,0,0,0,0,0,0,40.34,7.5,0,7.5,7.33,40.33,22.5,0,0,0,0.92,0,0,1.25,0,75,0,132.73

5,01:00-01:15,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,7.6,0,0,0,0,0,0,0,0,0,0,33.66,12.5,0,12.5,7.33,33.67,37.5,0,0,0,0.92,0,0,1.25,0,75,0,132.73

6,01:15-01:30,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,7,0,0,0,0,0,0,0,0,0,0,33.34,12.33,0,12.33,7.33,33.33,37.01,0,0,0,0.92,0,0,1.25,0,75,0,132.73

7,01:30-01:45,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0,8.66,0,1.29,70.16,8.66,26.91,7,0,0,0,0,0,0,0,0,0,0,45,13.67,0,13.67,9.33,45,40.99,0,0,0,0.92,0,0,1.25,0,75,0,132.73

8,01:45-02:00,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0,8.66,0,1.29,70.16,8.66,26.91,7,0,0,0,0,0,0,0,0,0,0,44.34,13.83,0,13.83,9.67,44.33,41.51,0,0,0,0.92,0,0,1.25,0,75,0,132.73

9,02:00-02:15,100.2,23.08,23.08,170.16,23.08,0,26.91,59.47,0,0.63,8.66,0,1.29,70.16,8.66,26.91,7,0,0,0,0,0,0,0,0,0,0,43.66,13.83,0,13.83,9.67,43.67,41.51,0,0,0,0.92,0,0,1.25,0,75,0,132.73

