Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_02,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/jitpl,NR/01102023/31102037/L_NR_2019_11,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0,0,0,0,0,0,76.67,0,0,0,0,53.29,23.4417,23.4417,70.6,0,0,0,0,0,35.83,107.5,228.25,24.22,0,14.71,76.82,21.32,0,0,96.89,0,4.94,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,35,35.84,76.67,34.41

2,00:15-00:30,0,0,0,0,0,0,76.67,0,0,0,0,53.29,23.4417,23.4417,70.6,0,0,0,0,0,35.83,107.5,228.25,24.22,0,14.71,76.82,21.32,0,0,96.89,0,4.94,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,35,35.84,76.67,34.61

3,00:30-00:45,0,0,0,0,0,0,76.67,0,0,0,0,53.29,23.4417,23.4417,70.6,0,0,0,0,0,35.83,107.5,228.25,24.22,0,14.71,76.82,21.32,0,0,96.89,0,4.94,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,35.34,35.84,76.67,35.45

4,00:45-01:00,0,0,0,0,0,0,76.67,0,0,0,0,53.29,23.4417,23.4417,70.6,0,0,0,0,0,35.83,107.5,228.25,24.22,0,14.71,76.82,21.32,0,0,96.89,0,4.94,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,35.66,35.84,76.67,35.21

5,01:00-01:15,0,0,0,0,0,0,76.67,0,0,0,0,53.29,23.4417,23.4417,70.6,0,0,0,0,0,35.83,107.5,172.12,24.22,0,14.71,57.84,21.32,0,0,96.89,0,4.75,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,36,35.84,76.67,35.01

6,01:15-01:30,0,0,0,0,0,0,76.67,0,0,0,0,53.29,23.4417,23.4417,70.6,0,0,0,0,0,35.83,107.5,172.12,24.22,0,14.71,57.84,21.32,0,0,96.89,0,4.75,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,36,35.84,76.67,35.41

7,01:30-01:45,0,0,0,0,0,0,76.67,0,0,0,4.39,53.29,26.8708,26.8708,70.6,0,0,0,0,0,35.83,107.5,172.12,24.22,0,14.71,57.84,21.32,0,0,96.89,0,4.75,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,36.34,35.84,76.67,35.81

8,01:45-02:00,0,0,0,0,0,0,76.67,0,0,0,4.39,53.29,26.8708,26.8708,70.6,0,0,0,0,0,35.83,107.5,172.12,24.22,0,14.71,57.84,21.32,0,0,96.89,0,4.75,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,36.66,35.84,76.67,35.88

9,02:00-02:15,0,0,0,0,0,0,76.67,0,0,0,0,53.29,26.8708,26.8708,70.6,0,0,0,0,0,31.67,95,172.12,24.22,0,14.71,57.84,21.32,0,0,96.89,0,4.56,273.96,30.78,17.482,0,96.89,48.44,0,38.76,8.81,37.34,31.66,76.67,35.15

10,02:15-02:30,0,0,0,0,0,0,76.67,0,0,0,4.39,53.29,26.8708,26.8708,70.6,0,0,0,0,0,31.67,95,172.12,24.22,0,14.71,57.84,21.32,0,0,96.89,0,4.56,273.96,30.28,17.482,0,96.89,48.44,0,38.76,8.81,37.66,31.66,76.67,34.37

