Block,Time,BRBCL,MAPS,NAPP,NLCIIST1,PARBATI3,RAPPD,RIHAND1,RSTPSU1TO6,SIMHST2,SINGRAULI,UNCHAHAR2,URI2,VALLURNTECL,AURY_LF,AURY_RF,CHAMERA3,JHAJJAR,KGSU1AND2,NLCTS2EXP,RAPPB,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR1,DADRI_CRF,DADRI_RF,BSIUL,DULHASTI,KKNP,NJPC,NNTPP,PARBATI2,RIHAND2,RIHAND3,SALAL,TEHRI,UNCHAHAR4,URI,ANTA_CRF,ANTA_LF,CHAMERA2,KISHANGANGA,KKNPPU2,KOLDAM,KUDGI,RSTPSU7,TALST2,TANAKPUR,AURY_CRF,DADRI_LF,CHAMERA1,DADRT2,FSTPP I & II,KHSTPP-II,SASAN,ANTA_GF,KGSU3AND4,KHSTPP-I,SIMHST1,AURY_GF,KOTESHWR,NLCEXP,NTPL,RAMPUR,RAPPC,DHAULIGNGA,NLCIIST2,TALA,TANDA2,TEHRIPSP,UNCHAHAR3,ANTA_RF,DADRI_GF
1,00:00-00:15,24.99,0,24.36,0,41.62,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,12.22,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,52.99,0,0,47.12,6.96,0,8.62,0,0,0,0,0,23.71,42.15,588.45,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.05,5.73,0,27.69,51.96,0

2,00:15-00:30,24.99,0,24.36,0,41.62,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,12.22,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,52.99,0,0,47.12,6.96,0,8.62,0,0,0,0,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.05,5.73,0,27.69,51.96,0

3,00:30-00:45,24.99,0,24.36,0,41.62,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,52.99,0,0,47.12,6.96,0,8.62,0,0,0,0,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.05,5.73,0,27.69,51.96,0

4,00:45-01:00,24.99,0,24.36,0,41.62,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,0,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.05,5.73,0,27.69,51.96,0

5,01:00-01:15,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,3.85,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.55,5.73,0,27.69,51.96,0

6,01:15-01:30,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,7.68,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.55,5.73,0,27.69,51.96,0

7,01:30-01:45,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,11.91,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,51.96,0

8,01:45-02:00,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,11.91,0,23.71,42.15,589.38,20.15,98.87,266.62,0,0,45.53,0,0,40.57,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,51.96,0

9,02:00-02:15,24.99,0,24.36,0,34.19,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,11.91,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,22.54,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,51.96,0

10,02:15-02:30,24.99,0,24.36,0,34.19,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,11.91,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,51.96,0

11,02:30-02:45,24.99,0,24.36,0,34.19,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,11.91,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,51.96,0

12,02:45-03:00,24.99,0,24.36,0,34.19,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,11.91,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,51.96,0

13,03:00-03:15,24.99,0,24.36,0,32.71,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

14,03:15-03:30,24.99,0,24.36,0,32.71,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

15,03:30-03:45,24.99,0,24.36,0,32.71,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

16,03:45-04:00,24.99,0,24.36,0,32.71,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,13.04,55.38,0,175.79,0,11.25,125.27,130.84,69.72,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

17,04:00-04:15,24.99,0,24.36,0,34.19,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

18,04:15-04:30,24.99,0,24.36,0,34.19,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

19,04:30-04:45,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

20,04:45-05:00,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,20.29,0,0,5.7,65.42,42.46,0,26.84,5.73,0,27.69,52.59,0

21,05:00-05:15,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,10.14,0,0,5.7,65.42,42.46,0,26.67,5.73,0,27.69,52.59,0

22,05:15-05:30,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,37.42,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,10.14,0,0,5.7,65.42,42.46,0,26.67,5.73,0,27.69,52.59,0

23,05:30-05:45,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,10.14,0,0,5.7,65.42,42.46,0,26.52,5.73,0,27.69,52.59,0

24,05:45-06:00,24.99,0,24.36,0,37.17,24.33,98.32,0,0,74.94,45,30.39,0,0,80.78,33.94,667.25,0,0,0,18.34,0,0,21.65,0,80.36,19.56,55.38,0,175.79,0,11.25,125.27,130.84,66.23,66,3.22,48.57,0,0,47.12,6.96,0,8.62,0,0,0,13.06,0,23.71,42.15,689.38,20.15,98.87,266.62,0,0,45.53,0,0,10.14,0,0,5.7,65.42,42.46,0,26.37,5.73,0,27.69,52.59,0

