Block,Time,L_NR_2020_02,LT-31,L_NR_2019_11,L_NR_2012_02,SH-07,L_NR_2023_04,SH-06,LT-05,L_NR_2012_07,LT-35,L_NR_2012_01,LT-36,L_NR_2012_04,LT-59,L_NR_2022_08,L_NR_2021_15,L_NR_2022_10,L_NR_2023_10,L_NR_2019_07,L_NR_2021_12,L_NR_2021_13,L_NR_2020_06,L_NR_2019_19,L_NR_2019_05,L_NR_2021_14,L_NR_2020_07,L_NR_2019_06,L_NR_2022_09,L_NR_2021_17,L_NR_2023_07,L_NR_2018_61,L_NR_2020_05,L_NR_2021_16
1,00:00-00:15,11.910000,0.000000,10.780000,261.860000,30.970000,29.750000,30.970000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,22.93,0,59.33,0,0,0,0,27.55,0,0,0,27.56,0,59.33,0,0,10.06,82.66,0

2,00:15-00:30,11.910000,0.000000,10.780000,261.860000,30.970000,29.750000,30.970000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,23,0,59.73,0,0,0,0,27.21,0,0,0,27.21,0,59.73,0,0,7.2,81.62,0

3,00:30-00:45,11.910000,0.000000,10.780000,261.860000,30.640000,29.750000,30.640000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,25.88,0,64,0,0,0,0,29.11,0,0,0,29.12,0,64,0,0,7.2,87.34,0

4,00:45-01:00,11.910000,0.000000,10.780000,261.860000,30.640000,29.750000,30.640000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,25.93,0,64,0,0,0,0,29.22,0,0,0,29.22,0,64,0,0,7.2,87.66,0

5,01:00-01:15,11.910000,0.000000,10.780000,261.860000,29.810000,29.750000,29.810000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,25.97,0,64,0,0,0,0,29.39,0,0,0,29.38,0,64,0,0,7.2,88.16,0

6,01:15-01:30,11.910000,0.000000,10.780000,261.860000,29.810000,30.760000,29.810000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,26.02,0,64,0,0,0,0,29.73,0,0,0,29.73,0,64,0,0,7.2,89.19,0

7,01:30-01:45,11.910000,0.000000,10.780000,261.860000,29.810000,30.760000,29.810000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,26.08,0,64,0,0,0,0,29.74,0,0,0,29.74,0,64,0,0,7.2,89.22,0

8,01:45-02:00,11.910000,0.000000,10.780000,261.860000,29.810000,30.760000,29.810000,116.130000,74.200000,0.000000,101.370000,0.000000,272.170000,10.390000,26.13,0,64,0,0,0,0,29.89,0,0,0,29.88,0,64,0,0,7.2,89.66,0

