Block,Time Block,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,JHAJJAR,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TALST2,TALA,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,URI,UNCHAHAR2,UNCHAHAR1,TelanganaSTPP,FSTPP I & II,DULHASTI,DHAULIGNGA,TEHRI,TANDA2,TANAKPUR,RSTPSU1TO6,SASAN,RSTPSU7,SALAL,SEWA2,SIMHST1,BRBCL,CHAMERA1,BSIUL,DADRT2,CHAMERA3,CHAMERA2,MAPS,KOTESHWR,KGSU1AND2,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-II,KKNP,KUDGI,RAPPC,RIHAND3,RAPPB,RIHAND2,RIHAND1,KHSTPP-I,KGSU3AND4,RAMPUR,NTPL,PARBATI3,AURY_RF,AURY_LF,DADRI_GF,DADRI_LF,AURY_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.01,0,0,0,0,0,0,0,0,0,0,0,236.97,0,0,134.86,0,0,0,0,4.41,0,37.84,30.68,14.97,0,15.56,15.91,8.8,14.41,0,11.5,0,404.32,0,12.34,0,0,19.31,0,0,227.45,0,2.32,0,8.56,0,0,0,0,143.18,0,0,50.23,120.03,0,114.66,88.83,43.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,40.01,0,0,0,0,0,0,0,0,0,0,0,236.97,0,0,134.86,0,0,0,0,4.41,0,37.84,30.68,14.97,0,15.56,15.91,8.8,14.41,0,11.5,0,404.32,0,76.64,0,0,19.31,0,0,219.66,0,2.32,0,8.56,0,0,0,0,143.18,0,0,50.23,120.03,0,114.66,88.83,43.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,40.01,0,0,0,0,0,0,0,0,0,0,0,236.97,0,0,134.86,0,0,0,0,4.41,0,2.66,30.68,14.97,0,13.52,15.91,8.8,14.41,0,6.81,0,404.32,0,76.64,0,0,16.95,0,0,217.8,0,2.32,0,8.56,0,0,0,0,125.16,0,0,50.23,120.03,0,114.66,88.83,38.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,40.01,0,0,0,0,0,0,0,0,0,0,0,236.97,0,0,134.86,0,0,0,0,4.41,0,1.6,30.68,14.97,0,13.52,15.91,8.8,14.41,0,6.81,0,404.32,0,76.64,0,0,15.86,0,0,217.8,0,2.32,0,8.56,0,0,0,0,125.16,0,0,50.23,120.03,0,114.66,88.83,38.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,40.01,0,0,0,0,0,0,0,0,0,0,0,236.97,0,0,117.63,0,0,0,0,4.41,0,1.6,30.68,14.97,0,13.52,15.91,8.8,14.41,0,6.81,0,404.32,0,76.64,0,0,15.45,0,0,217.8,0,2.32,0,8.56,0,0,0,0,105.39,0,0,50.23,120.03,0,114.66,88.83,32.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

