Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/64762,NR/2025/26022/C,NR/2025/25955/A/65155,NR/2025/25945/A/65158,NR/2025/25947/A/65157,NR/2025/25948/A/65156,NR/2025/25924/A/64893,WR/2025/27361/A/65164,WR/2025/27350/A/64903,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/2139,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,Total
,,SECI_Trader,IEXL,TPDDL,APPCPL,APPCPL,APPCPL,APPCPL,DIAPL,APPCPL,KEIPL,NDMC,IEXL,PXIL,IEXL,HPXL,HPXL,HPXL,HPXL,PowerPulse,IVPL_Trader,PUNJAB,BAWANA_GAS,DELHI,NDMC,APPCPL,IEXL,IEXL,IEXL,IEXL,IEXL,
,,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,SIKKIM_STATE,UTTARPRADESH_STATE,SIKKIM_STATE,CSEB_State,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,SIKKIM_STATE,HIMACHAL_STATE,NA,SIKKIM_STATE,HIMACHAL_STATE,
,,APSEPL_FTG,TPSL_BKN2,JHAJJAR,JIPL,RKM_POWER,RKM_POWER,TRN_ENERGY,GBHHPL,BYPL,BYPL,JPL2,RCHEP,LAPL_UP,MEYONGCHU_HEP,MSPLTD,JPL2,SIMHAPURI,JPL,APL_Raipur_TPP,BYPL,BAWANA_GAS,BAWANA_GAS,CHANJUII,SKS_Raigarh,BYPL,LLHEP1234,RHPPL_HP,JPNIGRIE_JNSTPP,Kalez_Khola_HEP,KGEPL_HP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,MES_Delhi,TPDDL,NDMC,NDMC,NDMC,NDMC,DIAPL,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPC_MSEB,PUNJAB,HARYANA,TPDDL,NDMC,KSEB,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,East-North,West-North,West-North,West-North,North-North,North-West,North-West,West-North,East-North,North-North,East-North,West-North,West-North,South-East-North,West-North,West-North,North-West,North-North,North-North,North-North,West-North,North-West-South,East-North,North-North,West-North,East-North,North-North,
1,00:00-00:15,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,32,32,13.63,14.58,52.5,9.62,1.92,19.25,2.89,9.62,904.22

2,00:15-00:30,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,32,32,13.63,14.58,52.5,9.62,1.92,19.25,2.89,9.62,904.22

