Column1,Time,NR/01102023/22052037/LT-59,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/01/01/3945,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/7459,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625
1,00:00-00:15,0,0,14,0,0,0,0,26.67,71.67,0,26.67,0,0,0,79.99,25,71.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,95.8,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

2,00:15-00:30,0,0,14,0,0,0,0,26.67,71.33,0,26.67,0,0,0,79.99,24.67,71.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

3,00:30-00:45,0,0,14,0,0,0,0,26.33,66.67,0,26.33,0,0,0,79.01,24.33,66.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

4,00:45-01:00,0,0,14,0,0,0,0,25.83,66.67,0,25.83,0,0,0,77.51,24,66.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

5,01:00-01:15,0,0,16.01,0,0,0,0,27.5,66.67,0,27.5,0,0,0,82.5,23.67,66.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.74,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

6,01:15-01:30,0,0,16.21,0,0,0,0,27.33,67.33,0,27.33,0,0,0,82.01,23.33,67.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.74,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

7,01:30-01:45,0,0,16.61,0,0,0,0,27.17,60,0,27.17,0,0,0,81.49,20,60,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.74,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

8,01:45-02:00,0,0,17.01,0,0,0,0,27,60.67,0,27,0,0,0,81,20,60.67,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.74,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,1.03,59.23,1.47,0

9,02:00-02:15,0,0,15,0,0,0,0,23.34,51.67,0,23.33,0,0,0,70,20,51.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,0.99,59.23,1.47,0

10,02:15-02:30,0,0,15,0,0,0,0,23.5,51.67,0,23.5,0,0,0,70.5,20,51.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,0.99,59.23,1.47,0

11,02:30-02:45,0,0,15.2,0,0,0,0,19,48.33,0,19,0,0,0,57,13.33,48.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,0.99,59.23,1.47,0

12,02:45-03:00,0,0,15.2,0,0,0,0,19.33,48.33,0,19.33,0,0,0,58.01,13.33,48.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.48,0.99,59.23,1.47,0

13,03:00-03:15,0,0,15.6,0,0,0,0,19.67,41.67,0,19.67,0,0,0,58.99,13.33,41.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.37,0

14,03:15-03:30,0,0,15.6,0,0,0,0,19.67,41.67,0,19.67,0,0,0,58.99,13.33,41.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.37,0

15,03:30-03:45,0,0,16,0,0,0,0,23.33,51.67,0,23.33,0,0,0,70.01,21.67,51.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.37,0

16,03:45-04:00,0,0,16.2,0,0,0,0,23.5,51.33,0,23.5,0,0,0,70.5,21.67,51.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,3,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.37,0

17,04:00-04:15,0,0,16.6,0,0,0,0,23.67,61.67,0,23.67,0,0,0,70.99,21.67,61.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,8,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

18,04:15-04:30,0,0,17,0,0,0,0,23.83,61.33,0,23.83,0,0,0,71.51,21.33,61.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,12,0,25.23,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

19,04:30-04:45,0,0,17.2,0,0,0,0,24.17,61,0,24.17,0,0,0,72.49,20.67,61,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,18,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

20,04:45-05:00,0,0,17.6,0,0,0,0,24.33,60.67,0,24.33,0,0,0,73.01,20,60.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

21,05:00-05:15,0,0,18,0,0,0,0,24.5,60.67,0,24.5,0,0,0,73.5,19.67,60.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

22,05:15-05:30,0,0,18.2,0,0,0,0,24.67,60,0,24.67,0,0,0,73.99,19.33,60,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,74.49,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

23,05:30-05:45,0,0,18.4,0,0,0,0,23.33,66.67,0,23.33,0,0,0,70.01,19,66.66,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,95.8,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

24,05:45-06:00,0,0,18.6,0,0,0,0,23.17,65.33,0,23.17,0,0,0,69.49,18.67,65.34,0,0,0,0,25.87,65.14,8.62,0,69.87,47.9,28.74,52.69,0,25.87,0,114.96,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,59.23,1.47,0

25,06:00-06:15,0,0,17.01,0,0,0,0,16.67,51.67,0,16.67,0,0,0.53,49.99,16.67,51.66,0,0,0,0.22,43.11,130.05,8.62,0,65.74,47.9,28.74,99.8,0,25.87,0,147.53,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,63.82,1.47,0

26,06:15-06:30,0,0.08,17.01,0,0,0,0,16.67,50.67,0,16.67,0,0,0.97,49.99,16.33,50.66,0,0,0,1.23,43.11,130.05,8.62,0,65.74,47.9,28.74,99.8,0,25.87,0,155.2,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,25.87,1.43,0.99,86.41,1.47,0

27,06:30-06:45,0,0.18,17.01,0,0,0,0,16.67,50,0,16.67,0,0,1.78,49.99,16.33,50,0,0,0,3.57,43.11,130.05,8.62,0,65.74,47.9,28.74,99.8,0,33.53,0,155.2,0,27,0,24.73,0,47.9,19.16,26.82,20.12,47.9,33.53,1.43,0.99,86.41,1.47,0

28,06:45-07:00,0,0.27,17.01,0,0,0,0,16.67,49.67,0,16.67,0,0,3,49.99,16,49.66,0,1,0,7.77,43.11,130.05,8.62,0,65.74,47.9,28.74,99.8,0,33.53,0.09,162.86,0,27,0.09,24.22,0.1,47.9,19.16,26.82,20.12,47.9,33.53,1.43,0.99,86.41,1.47,0

29,07:00-07:15,0,0.95,17.01,0,0.13,0,0,20,49.33,2,20,0,0,6.32,60,16.67,49.34,0,3,1,15.85,43.11,130.05,14.37,0,82.63,47.9,28.74,99.8,0,36.4,0.22,171.48,0,32,0.22,23.21,0.23,47.9,19.16,26.82,20.12,47.9,36.4,1.43,0.99,86.41,1.47,50

30,07:15-07:30,0,2.11,16.81,0,0.73,0,1,19.83,48.33,3,19.83,1,0,13.17,59.51,16.67,48.34,0,7,2,25.85,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,0.5,171.48,0,32,0.5,23.21,0.52,47.9,19.16,26.82,20.12,47.9,36.4,1.43,0.99,86.41,1.47,50

31,07:30-07:45,0,5.85,19.01,0.26,3.14,0.05,4,19.67,53.33,5,19.67,2,1,26.5,58.99,16.67,53.34,1,10,3,32.9,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,0.92,171.48,0,32,0.92,23.21,0.94,47.9,19.16,26.82,20.12,47.9,36.4,1.43,0.99,86.41,1.47,50

32,07:45-08:00,0,7.29,18.41,25,7.16,5,7,19.5,53,7,19.5,2,3,29.75,58.5,16.67,53,2,18,5,29.75,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,1.66,171.48,0,32,1.66,23.21,1.7,47.9,19.16,26.82,20.12,47.9,36.4,1.43,0.99,86.41,1.47,50

33,08:00-08:15,0,8.75,15.01,25.83,12.98,5.17,11,19.17,55,8,19.17,3,4,31.35,57.49,16.67,55,3,25,7,31.35,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,2.24,171.48,0,32,2.24,23.72,2.3,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,50

34,08:15-08:30,0,9.05,14.81,26.67,20.43,5.33,14,19,53.67,9,19,5,6,29.57,57,16.67,53.66,4,29.56,9,29.57,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,2.74,171.48,0,32,2.74,23.72,2.81,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,50

35,08:30-08:45,0,9.45,14.81,27.5,28.95,5.5,18,18.67,52.67,10,18.67,5,7,30.07,55.99,16.33,52.66,5,30.06,11,30.07,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,3.06,171.48,0,32,3.06,24.22,3.13,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,50

36,08:45-09:00,0,9.78,14.61,28.33,28.92,5.67,21,18.33,51.33,10,18.33,6,9,30.47,55.01,16,51.34,7,30.46,12,30.47,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,3.54,171.48,0,32,3.54,24.73,3.63,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,50

37,09:00-09:15,0,10.05,14.61,29.17,37.13,5.83,21,19.17,49,13,19.17,6,9,30.47,57.49,15.67,49,6,30.46,12,30.47,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,4.09,171.48,0,32,4.09,24.73,4.18,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

38,09:15-09:30,0,10.38,14.41,30.83,44.99,6.17,25,19.17,47,14,19.17,7,10,30.47,57.49,15.33,47,7,30.46,13,30.47,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,4.81,171.48,0,32,4.81,24.73,4.94,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

39,09:30-09:45,0,11.95,13.01,35.82,52.72,7.16,28,19.17,45,15,19.17,8,12,30.47,57.49,10.67,45,8,30.46,15,30.47,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,6.35,171.48,0,31,6.35,25.23,6.51,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

40,09:45-10:00,0,17.39,13.01,49.02,60.61,9.8,32,19.17,43.33,17,19.17,9,13,30.47,57.49,10.33,43.34,9,30.46,17,30.47,43.11,120.71,14.37,0,114.58,47.9,28.74,99.8,0,36.4,7.71,171.48,0,31,7.71,25.23,7.9,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

41,10:00-10:15,0,22.41,13.61,61.29,64.52,12.26,43,14.17,41.67,17,14.17,12,19,30.47,42.49,10.33,41.66,9,30.46,23,30.47,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,3.99,171.48,0,31,3.99,25.23,3.71,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

42,10:15-10:30,0,29.37,14.41,78.57,70.83,15.71,50,13.83,40.33,18,13.83,13,22,30.47,41.51,10.33,40.34,10,30.46,27,30.47,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,5.03,171.48,0,31,5.03,25.23,4.69,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

43,10:30-10:45,0,36.96,14.61,166.17,75.94,33.23,42,10,28.33,17,10,12,18,30.47,30,8.33,28.34,9,30.46,23,30.47,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,6.26,171.48,0,32,6.26,25.23,5.84,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

44,10:45-11:00,0,45.69,15.01,187.97,80.03,37.59,49,9.17,25.67,18,9.17,13,21,30.47,27.49,7.67,25.66,10,30.46,27,30.47,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,7.53,171.48,0,32,7.53,25.23,7.02,47.9,19.16,26.82,20.12,47.9,36.4,1.38,0.99,86.41,1.47,0

45,11:00-11:15,0,57.51,15.41,204.63,92.32,40.93,56,8,24.33,23,8,14,24,30.8,24,7,24.34,11,30.8,28,30.8,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,9.27,180.1,0,31,9.27,25.23,8.64,47.9,19.16,26.82,0,47.9,36.4,1.43,1.03,86.41,1.37,0

46,11:15-11:30,0,69.92,15.41,221.3,114.36,44.26,70,7.5,21.67,25,7.5,16,30,30.8,22.5,6.67,21.66,12,30.8,31,30.8,43.11,130.05,14.37,0,114.58,47.9,28.74,99.8,0,36.4,11.06,187.77,0,32,11.06,24.73,10.3,47.9,19.16,26.82,0,47.9,36.4,1.43,1.03,86.41,1.37,0

47,11:30-11:45,0,85.63,15.41,229.17,119.9,45.83,63,7.5,21.67,33,7.5,16,27,30.8,22.5,6.67,21.66,17,30.8,31,30.8,43.11,130.05,14.37,0,93.91,47.9,28.74,99.8,0,36.4,11.96,187.77,0,32,11.96,24.73,11.14,47.9,19.16,26.82,0,47.9,36.4,1.43,1.03,62.83,1.37,0

48,11:45-12:00,0,85.63,15.41,233.8,124.58,46.76,70,7.5,21.67,42,7.5,17,30,30.8,22.5,6.67,21.66,21,30.8,33,30.8,43.11,81.87,14.37,0,65.74,47.9,28.74,99.8,0,36.4,14.11,187.77,0,32,14.11,24.73,13.15,47.9,19.16,26.82,0,47.9,36.4,1.43,1.03,59.23,1.37,0

49,12:00-12:15,0,85.63,15.41,233.8,129.5,46.76,67,7.5,21.67,60,7.5,17,28,30.8,22.5,6.67,21.66,25,30.8,33,30.8,43.11,100.04,14.37,0,65.74,47.9,28.74,99.8,0,36.4,14.51,187.77,0,32,14.51,24.73,13.51,47.9,19.16,26.82,0,47.9,36.4,1.43,1.03,59.23,1.47,0

50,12:15-12:30,0,85.63,14.81,233.8,129.59,46.76,70,7.5,21.67,68,7.5,18,30,30.8,22.5,6.67,21.66,29,30.8,35,30.8,43.11,100.04,14.37,0,65.74,47.9,28.74,99.8,0,36.4,14.55,187.77,0,32,14.55,24.73,13.56,47.9,19.16,26.82,0,47.9,36.4,1.43,1.03,62.83,1.47,0

51,12:30-12:45,0,85.63,14.01,233.8,129.7,46.76,70,7.5,21.67,70,7.5,20,30,30.8,22.5,6.67,21.66,34,30.8,40,30.8,43.11,100.04,14.37,0,65.74,47.9,28.74,99.8,0,36.4,14.55,187.77,0,3.98,14.55,24.73,13.55,47.9,19.16,26.82,20.12,47.9,36.4,1.43,1.03,62.83,1.47,0

52,12:45-13:00,0,85.63,13.01,233.8,128.79,46.76,81,7.5,21.67,75,7.5,22,34,30.8,22.5,6.67,21.66,38,30.8,43,30.8,43.11,100.04,14.37,0,65.74,47.9,28.74,99.8,0,36.4,14.48,187.77,0,3.98,14.48,24.73,13.48,47.9,19.16,26.82,20.12,47.9,36.4,1.43,1.03,62.83,1.47,0

53,13:00-13:15,0,85.63,12.81,205.61,127.39,41.12,126,11.83,26.67,78,11.83,28,54,30.8,35.51,6.67,26.66,39,30.8,57,30.8,43.11,122.6,14.37,0,69.87,47.9,28.74,80.47,0,36.4,13.04,187.77,0,32,13.04,24.22,13.36,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,59.23,1.47,0

54,13:15-13:30,0,85.63,12.61,205.09,116.95,41.02,147,12.17,27.67,78,12.17,32,63,30.8,36.49,6.67,27.66,38,30.8,63,30.8,43.11,122.6,14.37,0,69.87,47.9,28.74,80.47,0,36.4,11.3,195.43,0,32,11.3,23.72,11.58,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,59.23,1.47,0

55,13:30-13:45,0,45.03,12.01,164.56,107.68,32.91,161,12.33,28.33,73,12.33,38,69,30.8,37.01,6.67,28.34,36,30.8,77,30.8,43.11,128.78,14.37,0,69.87,47.9,28.74,99.8,0,36.4,11.1,203.1,0,32,11.1,23.72,11.37,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,59.23,1.47,0

56,13:45-14:00,0,45.03,11,165.97,105.89,33.2,161,12.5,29.67,70,12.5,38,69,30.8,37.5,6.67,29.66,35,30.8,75,30.8,43.11,128.78,14.37,0,69.87,47.9,28.74,99.8,0,36.4,10.84,203.1,0,32,10.84,23.21,11.12,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,59.23,1.47,0

57,14:00-14:15,0,45.03,10.4,204.93,103.61,40.99,123,10.83,30.33,78,10.83,35,52,30.8,32.51,6.67,30.34,38,30.8,70,30.8,43.11,128.78,14.37,0,69.87,47.9,28.74,99.8,0,36.4,10.51,203.1,0,32,10.51,23.72,10.78,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,62.83,1.47,0

58,14:15-14:30,0,45.03,10,204.63,100.85,40.93,123,10.83,31,77,10.83,33,52,30.8,32.51,6.67,31,36,30.8,67,30.8,43.11,128.78,14.37,0,69.87,47.9,28.74,99.8,0,36.4,10.14,203.1,0,32,10.14,23.72,10.4,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,62.83,1.47,0

59,14:30-14:45,0,54.52,11.61,216.67,83.02,43.33,126,10.83,32.33,70,10.83,34,54,30.8,32.51,9,32.34,34,30.8,69,30.8,43.11,128.78,14.37,0,69.87,47.9,28.74,99.8,0,36.4,9.71,203.1,0,32,9.71,23.72,9.96,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,62.83,1.47,0

60,14:45-15:00,0,51.83,12.01,205.64,75.39,41.13,123,10.83,33.67,68,10.83,33,52,30.8,32.51,9.67,33.66,32,30.8,66,30.8,43.11,100.04,14.37,0,69.87,47.9,28.74,99.8,0,36.4,11.71,203.1,0,32,11.71,23.72,11.99,47.9,19.16,26.82,20.12,47.9,36.4,1.48,1.06,62.83,1.47,0

61,15:00-15:15,0,47.84,9.6,196.3,67.84,39.26,84,11,34.33,58,11,28,36,31.3,33,10.33,34.34,30,31.3,55,31.3,43.11,100.04,14.37,0,69.87,47.9,28.74,99.8,0,36.4,11.04,203.1,0,32,11.04,24.22,11.32,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,62.83,1.37,0

62,15:15-15:30,0,43.85,9.6,186.91,60.29,37.38,84,11.17,34.67,55,11.17,24,36,31.3,33.49,11,34.66,27,31.3,48,31.3,43.11,100.04,14.37,0,69.87,47.9,28.74,99.8,0,36.4,10.26,203.1,0,32,10.26,24.22,10.51,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,62.83,1.37,0

63,15:30-15:45,0,39.86,9.6,169.38,52.57,33.87,84,22.5,35,52,22.5,22,36,32.88,67.5,20,35,24,27,43,32.88,43.11,100.04,14.37,0,65.74,47.9,28.74,99.8,0,36.4,9.36,211.72,0,32,9.36,24.22,9.6,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,62.83,1.37,0

64,15:45-16:00,0,35.87,9.6,151.85,44.51,30.37,81,23,35.67,47,23,18,34,32.92,69,20.67,35.66,21,18.99,37,32.92,43.11,130.05,14.37,0,65.74,47.9,28.74,99.8,0,36.4,8.34,211.72,0,32,8.34,24.73,8.55,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,86.41,1.37,0

65,16:00-16:15,0,31.09,8,131.56,36.97,26.31,70,25,42.33,45,25,16,30,33,75,23.33,42.34,18,11,32,33,43.11,130.05,14.37,0,65.74,47.9,28.74,99.8,0,36.4,7.19,211.72,0,32,7.19,24.73,7.37,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,86.41,1.47,0

66,16:15-16:30,0,26.32,8,111.27,42.25,22.25,60,25,43,38,25,13,25,33,75,23.67,43,14,5,27,33,43.11,130.05,14.37,0,65.74,47.9,28.74,99.8,0,36.4,5.86,211.72,0,32,5.86,24.73,6.01,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,86.41,1.47,0

67,16:30-16:45,0,21.54,8,90.98,32.91,18.2,49,25.67,54.33,28,25.67,9,21,26.79,76.99,24.33,54.34,9,1,19,33,43.11,100.04,14.37,0,82.65,47.9,28.74,99.8,0,36.4,4.35,211.72,0,32,4.35,24.73,4.45,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,62.83,1.47,0

68,16:45-17:00,0,16.77,8,70.69,25.63,14.14,39,26.33,55,19,26.33,6,16,15.79,79.01,25,55,7,0,11,32.23,43.11,100.04,14.37,0,114.58,47.9,28.74,99.8,0,36.4,2.87,211.72,0,32,2.87,24.73,2.94,47.9,19.16,26.82,20.12,47.9,36.4,1.52,1.14,62.83,1.47,0

