Time,Block,NR/2023/15216/C,NR/2023/15217/C,NR/2023/14688/F,NR/2023/11739/A,NR/2023/11654/A,NR/2023/15182/D,NR/2023/13859/A,NR/2023/15205/C,NR/2023/11203/A,NR/2023/14688/F/II,NR/2023/13983/F,NR/2023/15191/D,NR/2023/12646/A,NR/2023/15196/C,NR/2023/15213/C,ER/2023/9344/C,NR/2023/15203/C,NR/2023/13573/A,NR/2023/11470/A,ER/2023/9345/C,NR/2023/11328/A,NR/2023/13284/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/11954/A,NR/2023/15181/D,NR/2023/13983/F/II,NR/2023/15218/C,NR/2023/13858/A,NR/2023/11469/A,NR/2023/15187/D,NR/2023/15190/D,NR/2023/15204/C,NR/2023/11325/A,NR/2023/14187/F,NR/2023/11697/A,NR/2023/11315/A,Total
,,HPXL,IEXL,GMRETL,NVVNL,TPTCL,NVVNL,MANIKARAN,PXIL,KEIPL,GMRETL,ITCLH,SJVNL,MANIKARAN,GBHHPL,PXIL,IEXL,HPXL,NVVNL,NVVNL,IEXL,APPCPL,APPCPL,APPCPL,STATKRAFT,KEIPL,NVVNL,ITCLH,IEXL,MANIKARAN,NVVNL,SJVNL,SJVNL,HPXL,APPCPL,GBHHPL,APPCPL,GMRETL,Total

,,NA,NA,GOA,MP,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,MEGHALAYA,GOA,ANDHRA PRADESH,UTTAR PRADESH,TAMIL NADU,HIMACHAL PRADESH,DELHI,DELHI,UTTAR PRADESH,NA,NA,DELHI,UTTARAKHAND,HIMACHAL PRADESH,GOA,TAMIL NADU,MEGHALAYA,NA,ANDHRA PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,NA,WEST BENGAL,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,
,,SIMHAPURI,SIMHAPURI,GOA_Beneficiary,JP BINA,JPL-2,KAMENG,HP,LAPL-UP,Meghalaya_Ben,GOA_Beneficiary,ITCWIND,BCMLB001,TANGEDCO,GBHHPL,BYPL,BYPL,PPGCL,SKS Raigarh,KAMENG,BYPL,UTTARAKHAND,HP,GOA_Beneficiary,TANGEDCO,Meghalaya_Ben,SOLAPUR_SOLAR,ITCWIND,NSLSUGAR,HP,JPNIGRIE_JNSTPP,DIKCHU,IPCL_WB,Teesta_III,Meghalaya_Ben,GBHHPL,HP,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,BIHAR,DELHI,DELHI,DELHI,BIHAR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BRPL,BYPL,TPDDL,ITCLH,NDMC,BRPL,DIAPL,ASIL_UP,BSPHCL,BRPL,NDMC,BRPL,BSPHCL,BYPL,BRPL,BRPL,BYPL,BYPL,MES (Delhi),ITCLH,MES (Delhi),BRPL,BRPL,NDMC,NDMC,BRPL,BYPL,DIAPL,BYPL,BYPL,
,,South-East-North,South-West-North,West-East-North,West-North,West-North,North East-East-North,North-North,North-North,North East-East-North,West-North,South-East-North,North-North,South-West-North,North-North,North-North,North-East,North-North,West-North,North East-East-North,North-East,North-North,North-North,West-North,South-West-North,North East-East-North,West-North,South-West-North,South-West-North,North-North,West-North,East-North,East-North,East-North,North East-East-North,North-North,North-North,North East-East-North,
1,00:00-00:15,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,38.640000,63.030000,0.000000,0.240000,0.000000,23.120000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.630000,0.000000,84.520000,84.990000,0.000000,0.000000,519.710000,24.150000,3.860000,35.070000,22.220000,1878.34

2,00:15-00:30,0.000000,48.300000,24.150000,42.490000,152.630000,193.200000,188.370000,38.640000,63.030000,0.000000,0.240000,0.000000,23.120000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.630000,6.760000,84.520000,84.990000,0.000000,0.000000,482.030000,24.150000,3.860000,35.070000,22.220000,1895.72
