Time,Block,NR/2023/11097/F,NR/2023/10182/A,NR/2023/11986/D,NR/2023/11102/F,NR/2023/11154/F,NR/2023/11104/F,NR/2023/12005/C,NR/2023/11096/F,NR/2023/11984/D,NR/2023/10486/A,NR/2023/11997/C,NR/2023/11995/C,NR/2023/10197/A,NR/2023/11221/F,NR/2023/10181/A,NR/2023/11988/C,NR/2023/11166/F,NR/2023/11367/F,NR/2023/11099/F,NR/2023/11095/F,NR/2023/11998/C,NR/2023/11100/F,NR/2023/11368/F,NR/2023/11343/F,NR/2023/10433/A,NR/2023/11341/F,NR/2023/11985/D,NR/2023/11369/F,Total
,,SHPPBPL,NVVNL,TS1PL_BKN,SHPPBPL,HPXL,SHPPBPL,SJVNL,SHPPBPL,TS1PL_BKN,TPTCL,PXIL,TPDDL,TPTCL,IEXL,NVVNL,GBHHPL,IEXL,SHPPBPL,SHPPBPL,APPCPL,PXIL,SHPPBPL,SHPPBPL,IEXL,NVVNL,IEXL,NVVNL,SHPPBPL,Total

,,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,NA,KARNATAKA,NA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TELANGANA,NA,HIMACHAL PRADESH,
,,SHPPBPL,JPNIGRIE_JNSTPP,TS1PL_BKN,SHPPBPL,NIRANISUGAR,SHPPBPL,IPCL_WB,SHPPBPL,TS1PL_BKN,APNRL,BYPL,CHANJUII,JPL,KPRSUGAR,ILFS,GBHHPL,VISHWARAJSUGAR,SHPPBPL,SHPPBPL,Manipur_Ben,BYPL,SHPPBPL,SHPPBPL,JSPL_DCPP,SEIL,NAVABHARAT,SOLAPUR_SOLAR,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MHIL,BRPL,BRPL,JHPL-DL,BRPL,AISHER,NDMC,MAX-HPTL,BYPL,TPDDL,ASIL_UP,TPDDL,BRPL,BRPL,BRPL,DIAPL,BRPL,BAL184,UHL,STT,AMBASTL,BMDRC,BAL224,BRPL,TPDDL,BRPL,MES (Delhi),BAL234,
,,North-North,West-North,North-North,North-North,South-East-North,North-North,East-North,North-North,North-North,East-North,North-North,North-North,West-North,South-West-North,South-West-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,North-North,
1,00:00-00:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.410000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,24.110000,115.740000,0,0.610000,495.68

2,00:15-00:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.410000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,24.110000,115.740000,0,0.610000,495.68

3,00:30-00:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.410000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,24.110000,115.740000,0,0.610000,495.68

4,00:45-01:00,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.410000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,24.110000,115.740000,0,0.610000,495.68

5,01:00-01:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.310000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,24.110000,115.740000,0,0.610000,495.58

6,01:15-01:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.310000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,24.110000,115.740000,0,0.610000,495.58

7,01:30-01:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.310000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.35

8,01:45-02:00,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.310000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.35

9,02:00-02:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.220000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.26

10,02:15-02:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.220000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.26

11,02:30-02:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.220000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.26

12,02:45-03:00,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.220000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.26

13,03:00-03:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.130000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.17

14,03:15-03:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.130000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.17

15,03:30-03:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.130000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.17

16,03:45-04:00,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.130000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.17

17,04:00-04:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.040000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.08

18,04:15-04:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.040000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.08

19,04:30-04:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.040000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.08

20,04:45-05:00,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,10.040000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,484.08

21,05:00-05:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.940000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,483.98

22,05:15-05:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.940000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,483.98

23,05:30-05:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.940000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,483.98

24,05:45-06:00,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.940000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,483.98

25,06:00-06:15,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.850000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,483.89

26,06:15-06:30,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.850000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0,0.610000,483.89

27,06:30-06:45,0.360000,49.910000,0,0.600000,9.640000,0.450000,0.000000,0.530000,0,20.590000,0.000000,9.850000,49.910000,17.360000,99.830000,28.540000,14.470000,0.310000,0.360000,2.890000,0.000000,0.530000,0.310000,48.220000,12.880000,115.740000,0.26,0.610000,484.15

