Column1,Time,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/10/15/7089,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/5428,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/9061,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/3646,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9042,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5474,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,GNA/WR/2024/11/01/4200
1,00:00-00:15,192.14,0,0,25.94,70.04,57.35,0,1.91,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.26,169.7,1.39,0,8.65,190.26,0,11.61,0,0,6.66,13,0,13,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

2,00:15-00:30,149.4,0,0,25.94,70.04,57.35,0,1.91,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.26,169.7,1.39,0,8.65,190.26,0,11.41,0,0,6.66,13.66,0,13.67,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

3,00:30-00:45,149.4,0,0,25.94,70.04,57.35,0,1.91,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.75,169.7,1.39,0,8.65,190.26,0,11.41,0,0,6.66,14,0,14,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

4,00:45-01:00,149.4,0,0,25.94,70.04,57.35,0,1.91,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.75,169.7,1.39,0,8.65,190.26,0,11.41,0,0,6.66,14.66,0,14.67,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

5,01:00-01:15,149.4,0,0,25.94,70.04,57.35,0,1.83,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.75,169.7,1.39,0,8.65,190.26,0,11.61,0,0,6.66,14,0,14,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

6,01:15-01:30,149.4,0,0,25.94,70.04,57.35,0,1.83,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.75,169.7,1.39,0,8.65,190.26,0,11.81,0,0,6.66,13.66,0,13.67,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

7,01:30-01:45,149.4,0,0,25.94,70.04,57.35,0,1.83,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.75,169.7,1.39,0,8.65,190.26,0,22.21,0,0,6.66,13.66,0,13.67,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

8,01:45-02:00,149.4,0,0,25.94,70.04,57.35,0,1.83,25.94,1.89,52.84,2.75,63.42,0,25.94,8.65,17.29,27.75,169.7,1.39,0,8.65,190.26,0,22.41,0,0,6.66,13.66,0,13.67,0,6.66,0,0,0,0,6.67,20,0,0,0,0,0

