Column1,Block,GNA/SR/2025/02/01/7432,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/6460,NR/2024/24418/A/52303,NR/2025/24992/A/52310,NER/2025/2918/A/52590,NR/2025/24882/A/52311,ER/2025/15683/A/52588,NR/2025/25202/C,WR/2025/26047/A/52592,NR/2025/25070/A/52545,NR/2025/25203/C,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/5886,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,Total
,,APPCPL,DELHI,APPCPL,ITCLH,IEXL,APPCPL,IEXL,APPCPL,SJVNL,APPCPL,NVVNL,SJVNL,NDMC,NDMC,NDMC,NDMC,NDMC,MANIKARAN,BAWANA_GAS,APPCPL,PUNJAB,TPTCL,
,,DELHI_UT,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,DELHI_UT,TELANGANA_State,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,CHANJUII,BYPL,ITCWIND,NSLSUGARALAND,BYPL,NSLKSLWPRTY,BYPL,TPSL_BKN2,BRPL,JIPL,RSRPL_BKN,RKM_POWER,SKS_Raigarh,RKM_POWER,JPL2,TRN_ENERGY,BRPL,BAWANA_GAS,BYPL,BAWANA_GAS,BYPL,
,,KERALA_State,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,SIKKIM_STATE,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HARYANA_STATE,MSEB_State,PUNJAB_STATE,MSEB_State,
,,KSEB,TPDDL,KSEB,ITCLH,MES_Delhi,Manipur_Ben,MES_Delhi,SIKKIM,NDMC,GOA_Beneficiary,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,AEML,HARYANA,AEML,PUNJAB,TPC_MSEB,
,,North-West-South,North-North,North-West-South,South-West-North,South-West-North,North-East-North East,South-West-North,North-East,North-North,North-West,East-North,North-North,West-North,West-North,West-North,West-North,West-North,North-West,North-North,North-West,North-North,North-West,
1,00:00-00:15,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

2,00:15-00:30,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

3,00:30-00:45,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

4,00:45-01:00,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

5,01:00-01:15,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

6,01:15-01:30,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

7,01:30-01:45,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

8,01:45-02:00,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

9,02:00-02:15,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

10,02:15-02:30,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

11,02:30-02:45,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

12,02:45-03:00,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

13,03:00-03:15,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

14,03:15-03:30,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

15,03:30-03:45,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

16,03:45-04:00,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

17,04:00-04:15,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

18,04:15-04:30,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

19,04:30-04:45,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

20,04:45-05:00,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

21,05:00-05:15,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

22,05:15-05:30,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

23,05:30-05:45,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

24,05:45-06:00,0,1.38,75,0.38,6.73,9.18,2.89,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,260.74999999999994

25,06:00-06:15,0,1.29,75,0.43,9.62,9.18,4.81,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.12,0,32,0,269.65999999999997

26,06:15-06:30,0,1.29,75,0.43,9.62,9.18,4.81,7.34,0,0,17.31,0,23.08,8.66,23.08,23.08,8.66,0,26.12,0,32,0,269.65999999999997

27,06:30-06:45,0,1.29,75,0.43,9.62,9.18,4.81,7.34,0,0,17.31,0,36.55,8.66,36.55,36.55,8.66,0,3.58,0,32,0,287.53000000000003

28,06:45-07:00,0,1.29,75,0.43,9.62,9.18,4.81,7.34,0,0,17.31,0,36.55,8.66,36.55,36.55,8.66,0,3.58,0,32,0,287.53000000000003

29,07:00-07:15,0,1.29,75,0.48,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,343.89

30,07:15-07:30,0,1.29,75,0.48,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,343.89

31,07:30-07:45,0,1.29,75,0.48,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,343.89

32,07:45-08:00,0,1.29,75,0.48,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,343.89

33,08:00-08:15,0,1.29,75,0.87,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,344.28

34,08:15-08:30,0,1.29,75,0.87,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,344.28

35,08:30-08:45,0,1.29,75,0.87,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,344.28

36,08:45-09:00,0,1.29,75,0.87,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,32,0,32,0,344.28

37,09:00-09:15,0,1.29,75,0.87,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,23.41,0,32,0,335.69

38,09:15-09:30,0,1.29,75,0.87,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,13.47,36.55,43.28,13.47,0,26.12,0,32,0,338.4

39,09:30-09:45,0,1.29,75,0.87,9.62,9.18,4.81,7.34,14.43,0,28.85,38.47,34.62,8.66,34.62,34.62,8.66,0,26.12,0,32,0,369.16

