Block,Time,DULHASTI,KGSU1AND2,NLCIIST1,NLCTS2EXP,RAPPD,RIHAND2,SIMHST1,TelanganaSTPP,VALLURNTECL,ANTA_CRF,AURY_GF,DADRI_CRF,CHAMERA1,DADRT2,KKNPPU2,KOTESHWR,RIHAND3,SALAL,ANTA_LF,KGSU3AND4,KKNP,KUDGI,SEWA2,AURY_RF,DHAULIGNGA,KOLDAM,NLCEXP,RAPPC,RIHAND1,SIMHST2,SINGRAULI,TALST2,TANDA2,TEHRIPSP,UNCHAHAR4,URI,AURY_CRF,NJPC,NLCIIST2,UNCHAHAR2,UNCHAHAR3,BRBCL,BSIUL,FSTPP I & II,JHAJJAR,KHSTPP-I,MAPS,NAPP,PARBATI2,SASAN,URI2,ANTA_RF,CHAMERA2,KHSTPP-II,KISHANGANGA,NNTPP,PARBATI3,RAMPUR,RAPPB,SINGRAULI_HYDRO,TALA,TEHRI,AURY_LF,DADRI_LF,DADRI_RF,CHAMERA3,NTPL,RSTPSU1TO6,RSTPSU7,TANAKPUR,UNCHAHAR1,ANTA_GF,DADRI_GF
1,00:00-00:15,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,685.7,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.86,0,1.53,44.16,0,175.79,0,43.62,27.01,24.99,19.56,20.15,574.28,45.53,0,24.23,24.63,345.38,37.42,52.09,47.12,98.87,4.64,0,56.49,5.67,0,0,20.08,74.94,0,0,105.39,33.94,0,0,0,13.06,21.23,0,0

2,00:15-00:30,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,685.7,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.87,0,1.53,44.16,0,175.79,0,43.63,27,24.99,19.56,20.15,563.78,45.53,0,24.23,24.63,345.38,37.42,52.09,47.12,98.87,4.64,0,56.49,5.67,0,0,20.08,74.94,0,0,105.39,33.94,0,0,0,13.06,21.23,0,0

3,00:30-00:45,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,685.7,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.89,0,1.55,44.16,0,175.79,0,43.63,27.02,24.99,19.56,20.15,466.78,45.53,0,24.23,24.63,345.38,32.74,52.09,47.12,98.87,4.64,0,56.49,5.67,0,0,20.08,74.94,0,0,105.39,33.94,0,0,0,13.06,21.24,0,0

4,00:45-01:00,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,685.7,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.9,0,1.55,52.36,0,175.79,0,43.61,27.02,24.99,19.56,20.15,667.25,45.53,0,24.23,24.63,345.38,32.74,52.09,47.12,98.87,4.64,0,56.49,5.67,0,0,20.22,74.94,0,0,105.39,33.94,0,0,0,13.06,21.24,0,0

5,01:00-01:15,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,685.7,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.88,0,1.53,52.36,0,175.79,0,43.63,27.04,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,37.42,52.34,47.12,98.87,4.64,0,56.49,5.67,0,0,20.22,74.94,0,0,105.39,33.94,0,0,0,13.06,21.24,0,0

6,01:15-01:30,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,685.7,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.94,0,1.52,44.16,0,175.79,0,43.67,27.05,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,37.42,52.34,47.12,98.87,4.64,0,56.49,5.67,0,0,20.22,74.94,0,0,105.39,33.94,0,0,0,13.06,21.24,0,0

7,01:30-01:45,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,689.38,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.88,0,1.53,44.16,0,175.79,0,43.63,27.02,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,32.74,52.34,47.12,98.87,4.64,0,56.49,5.67,0,0,20.22,74.94,0,0,105.39,33.94,0,0,0,13.06,21.24,0,0

8,01:45-02:00,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,689.38,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.89,0,1.54,44.16,0,175.79,0,43.63,27.02,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,32.74,52.34,47.12,98.87,4.64,0,56.49,5.67,0,0,20.22,74.94,0,0,105.39,33.94,0,0,0,13.06,21.23,0,0

9,02:00-02:15,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,689.38,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.83,0,2.72,44.16,0,175.79,0,44.47,27.45,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,37.42,52.59,47.12,98.87,4.64,0,56.49,5.67,0,0,20.31,74.94,0,0,105.39,33.94,0,0,0,13.06,21.29,0,0

10,02:15-02:30,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,689.38,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.83,0,1.83,44.16,0,175.79,0,43.61,27.01,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,37.42,52.59,47.12,98.87,4.64,0,56.49,5.67,0,0,20.31,74.94,0,0,105.39,33.94,0,0,0,13.06,21.65,0,0

11,02:30-02:45,53.88,0,0,0,24.14,125.27,0,0,0,0,0,0,42.15,689.38,0,40.57,130.84,83.67,0,0,0,0,18.34,80.91,42.46,8.62,0,65.59,98.32,0,113.75,0,2.83,0,1.52,44.16,0,175.79,0,43.61,27,24.99,0,20.15,667.25,45.53,0,24.23,12.66,345.38,32.74,52.59,47.12,98.87,4.64,0,56.49,5.67,0,0,20.31,74.94,0,0,105.39,33.94,0,0,0,3.85,21.65,0,0

