Time,Block,NR/2024/21158/A/25833,NR/30092023/26122029/SH-06,NR/2024/21104/A/26092,NR/2024/21339/A/25863,NR/2024/21089/A/26086,NR/2024/21096/A/26097,NR/2024/21087/A/26028,NR/2024/20930/A/26042,NR/2024/21186/A/26105,NR/2024/21108/A/26090,NR/2024/21148/A/25830,NR/2024/21416/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21160/A/25827,NR/2024/21099/A/25865,NR/2024/21414/C,NR/2024/21150/A/25829,NR/2024/21183/A/26112,NR/01072024/31072024/R2,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21142/A/25866,NR/2024/21141/A/25972,NR/2024/21376/A/26021,NR/2024/21227/A/26093,NR/2024/21076/A/26111,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/20966/A/25803,NR/2024/21103/A/26095,NR/2024/21113/A/26085,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/2024/20688/A/26029,NR/2024/21415/C,NR/2024/21152/A/25802,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21156/A/25834,NR/2024/21144/A/25826,NR/2024/21238/A/26115,NR/2024/21153/A/25828,NR/2024/20877/A/26106,NR/2024/21173/A/26027,NR/2024/21062/A/25867,NR/2024/20711/A/26022,NR/2024/21199/A/25816,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21243/A/25812,NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21072/A/26087,NR/2024/21159/A/25832,NR/2024/21075/A/26114,NR/2024/20574/A/25884,NR/2024/21210/A/25864,NR/2024/21146/A/25831,NR/2024/21023/A/25817,NR/2024/20573/A/25882,NR/2024/19779/A/25780,NR/2024/21312/A/25657,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
,,MSSH,PUNJAB,APPCPL,TPTCL,NVVNL,APPCPL,GMRETL,AEL,NVVNL,APPCPL,BAL224,NVVNL,NDMC,BMDRC,TPTCL,NVVNL,BAL234,MANIKARAN,PTC,MEJA,TPTCL,TPTCL,TPDDL,APPCPL,MANIKARAN,INSTINCT,IEXL,APPCPL,NVVNL,APPCPL,TPTCL,GMRETL,NVVNL,IEXL,INSTINCT,DELHI,NDMC,UHL,DTCP,MANIKARAN,JHPL-DL,NVVNL,GMRETL,PTC,TPDDL,INSTINCT,TPTCL,BRPL,BAWANA_GAS,AEL,TPDDL,NVVNL,MHIL,MANIKARAN,PTC,TPTCL,BAL184,INSTINCT,PTC,ITCLH,DIAPL,SECI_Trader,SECI_Trader,Total

,,HIMACHAL PRADESH,DELHI,TAMIL NADU,NA,NA,KERALA,HIMACHAL PRADESH,NA,MP,MANIPUR,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MP,NA,UTTAR PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,NAGALAND,MAHARASHTRA,NA,MAHARASHTRA,UTTARAKHAND,NA,ARUNACHAL PRADESH,NA,RAJASTHAN,NA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,ODISHA,NA,NA,MAHARASHTRA,NA,NA,DELHI,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,
,,SHPPBPL,BAWANA_GAS,TANGEDCO,JITPL,RKM_POWER,KSEB,GBHHPL,APL_Raigarh TPP,JP BINA,Manipur_Ben,SHPPBPL,SORANG_HEP,JITPL,SHPPBPL,ACBIL,SOLAPUR_SOLAR,SHPPBPL,BLAPOWER_MP,SEILP2,MEJA,HP-GOVT,TPC MSEB,JHAJJAR,Nagaland_Ben,AEML,JPL,A_A_Energy_MH_Bio,UTTARAKHAND,JPL-2,Arunachal_Ben,MPL,RUVNL,KAMENG,NHCPL_HP,JPL_DHULE,MSEB_Beneficiary,SKS Raigarh,SHPPBPL,SHPPBPL,MMS STEEL TN,SHPPBPL,JPNIGRIE_JNSTPP,GMRKEL (STU),SEILP2,JPL-2,JPL_DHULE,JITPL,DADRT2,BAWANA_GAS,APL_Raigarh TPP,CHANJUII,RKM_POWER,SHPPBPL,GOA_Beneficiary,HP,SIMHAPURI,SHPPBPL,JPL,HP,ITCWIND,GBHHPL,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MSSH,PUNJAB,BYPL,BRPL,NDMC,BYPL,BRPL,BRPL,TPDDL,BRPL,BAL224,TPDDL,NDMC,BMDRC,BRPL,MES (Delhi),BAL234,BRPL,BRPL,DELHI,BRPL,BYPL,TPDDL,BYPL,BYPL,BRPL,MES (Delhi),BYPL,NDMC,BRPL,TPDDL,BYPL,TPDDL,MES (Delhi),BRPL,TPDDL,NDMC,UHL,DTCP,BRPL,JHPL-DL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,TPDDL,NDMC,MHIL,BRPL,BYPL,BRPL,BAL184,BRPL,BRPL,ITCLH,DIAPL,BYPL,TPDDL,
,,North-North,North-North,South-West-North,East-North,West-North,South-West-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,East-North,North-North,West-North,West-North,North-North,West-North,South-West-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,North East-East-North,East-North,North-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,East-North,South-East-North,West-North,West-North,East-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,South-West-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,0.670000,32.000000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,32.750000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,25.960000,163.760000,0.000000,37.210000,0.880000,11.700000,18.060000,40.940000,0.360000,0.000000,54.190000,0.630000,7.710000,0,0,2319.76

2,00:15-00:30,0.670000,32.000000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,32.750000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,25.960000,163.760000,0.000000,37.210000,0.880000,11.700000,18.060000,40.940000,0.360000,0.000000,54.190000,0.630000,7.710000,0,0,2319.76
