Block,Time Block,KOLDAM,KUDGI,NAPP,MAPS,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,KISHANGANGA,KHSTPP-I,JHAJJAR,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,KGSU3AND4,DADRI_LF,DADRI_GF,AURY_LF,AURY_RF,DADRI_CRF,DADRI_RF,AURY_GF,AURY_CRF,DADRT2,TALA,RIHAND3,TANDA2,SASAN,SINGRAULI_HYDRO,SIMHST1,TALST2,RSTPSU1TO6,SIMHST2,TEHRI,TANAKPUR,RSTPSU7,SINGRAULI,SALAL,SEWA2,UNCHAHAR2,URI,ANTA_RF,ANTA_GF,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,ANTA_CRF,URI2,UNCHAHAR3,TelanganaSTPP,ANTA_LF,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,PARBATI3,RAPPB,RIHAND2,NLCEXP,NJPC,NLCIIST1,RIHAND1,NLCIIST2,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,39.95,0,142.96,0,8.55,0,0,43.89,302.73,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,327.25,0,119.84,0,347.04,0,0,0,0,0,45.01,12.59,0,133.75,12.32,0,40.87,5.32,0,0,0,19.82,0,0,25.93,0,0,0,0,0,9.33,12.7,13.55,0,0,114.48,0,45.1,0,69.52,0,0,0,50.03,0,0,0,0,0,0,0

2,00:15-00:30,0,0,39.95,0,142.96,0,8.55,0,0,43.89,215.97,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,327.25,0,119.84,0,347.04,0,0,0,0,0,28.79,12.59,0,133.75,12.32,0,40.87,5.32,0,0,0,19.82,0,0,25.93,0,0,0,0,0,9.33,12.7,13.55,0,0,114.48,0,45.1,0,78.2,0,0,0,50.03,0,0,0,0,0,0,0

3,00:30-00:45,0,0,39.95,0,142.96,0,8.55,0,0,43.89,204.41,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,327.25,0,119.84,0,347.04,0,0,0,0,0,14.39,8.89,0,133.75,12.32,0,40.87,4.25,0,0,0,19.82,0,0,25.93,0,0,0,0,0,9.33,12.7,13.55,0,0,114.48,0,45.1,0,86.58,0,0,0,50.03,0,0,0,0,0,0,0

4,00:45-01:00,0,0,39.95,0,142.96,0,8.55,0,0,43.89,204.41,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,327.25,0,119.84,0,347.04,0,0,0,0,0,14.39,8.89,0,133.75,12.32,0,40.87,4.25,0,0,0,19.82,0,0,25.93,0,0,0,0,0,9.33,12.7,13.55,0,0,114.48,0,45.1,0,88.69,0,0,0,50.03,0,0,0,0,0,0,0

5,01:00-01:15,0,0,39.95,0,142.96,0,8.55,0,0,43.89,204.41,8.78,20.05,31.77,0,0,0,0,0,0,0,0,0,0,327.25,0,119.84,0,347.04,0,0,0,0,0,14.39,8.89,0,133.75,12.32,0,40.87,4.25,0,0,0,19.82,0,0,25.93,0,0,0,0,0,9.33,12.7,13.55,0,0,114.48,0,45.1,0,88.69,0,0,0,50.03,0,0,0,0,0,0,0

