Block,Time,BSIUL,KOLDAM,RAPPB,SASAN,SINGRAULI,UNCHAHAR3,ANTA_RF,DADRI_GF,DADRI_LF,MAPS,RSTPSU1TO6,SINGRAULI_HYDRO,ANTA_LF,AURY_GF,KHSTPP-II,KOTESHWR,KUDGI,NJPC,NTPL,RAPPC,RIHAND1,TelanganaSTPP,DADRI_CRF,KISHANGANGA,KKNP,SALAL,UNCHAHAR4,URI2,ANTA_CRF,AURY_CRF,DADRI_RF,CHAMERA3,DHAULIGNGA,DULHASTI,FSTPP I & II,KHSTPP-I,NLCIIST1,RSTPSU7,TALA,UNCHAHAR1,UNCHAHAR2,BRBCL,CHAMERA1,CHAMERA2,DADRT2,JHAJJAR,KGSU1AND2,RAMPUR,RIHAND3,TANAKPUR,TEHRI,URI,AURY_LF,AURY_RF,NLCIIST2,NLCTS2EXP,NNTPP,PARBATI3,RIHAND2,SEWA2,TANDA2,KGSU3AND4,KKNPPU2,NAPP,NLCEXP,SIMHST1,SIMHST2,TALST2,VALLURNTECL,ANTA_GF
1,00:00-00:15,6.52,5.35,0,413.44,140.21,27.05,29.21,0,0,0,0,0,0,0,98.87,28.98,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,0,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,41.12,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,3.2,76.61,48.02,0,78.06,0,0,0,17.56,121.71,17.37,0.19,0,0,44.62,0,0,0,0,0,0

2,00:15-00:30,6.52,5.35,0,413.44,140.21,27.05,29.21,0,0,0,0,0,0,0,98.87,28.98,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,11.53,76.61,48.02,0,78.06,0,0,0,17.56,121.71,17.37,0.19,0,0,44.62,0,0,0,0,0,0

3,00:30-00:45,6.52,5.35,0,413.44,140.21,27.05,29.21,0,0,0,0,0,0,0,98.87,28.98,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,12.94,76.61,43.61,0,78.06,0,0,0,17.56,121.71,17.37,0.19,0,0,44.62,0,0,0,0,0,0

4,00:45-01:00,6.52,5.35,0,413.44,140.21,27.05,29.21,0,0,0,0,0,0,0,98.87,28.98,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,12.94,76.61,43.61,0,78.06,0,0,0,17.56,121.71,17.37,0.19,0,0,44.62,0,0,0,0,0,0

5,01:00-01:15,6.52,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,12.94,76.61,43.61,0,78.06,0,0,0,17.56,121.71,17.37,0.12,0,0,44.62,0,0,0,0,0,0

6,01:15-01:30,6.52,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,12.94,76.61,48.02,0,78.06,0,0,0,17.56,121.71,17.37,2.89,0,0,44.62,0,0,0,0,0,0

7,01:30-01:45,6.52,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,12.94,76.61,48.02,0,78.06,0,0,0,17.56,121.71,17.37,2.89,0,0,44.62,0,0,0,0,0,0

8,01:45-02:00,6.52,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,12.94,76.61,48.02,0,78.06,0,0,0,17.56,121.71,17.37,2.89,0,0,44.62,0,0,0,0,0,0

9,02:00-02:15,6.52,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,11.53,76.61,43.61,0,78.06,0,0,0,17.56,121.71,17.37,2.89,0,0,44.62,0,0,0,0,0,0

10,02:15-02:30,6.52,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,11.53,76.61,43.61,0,78.06,0,0,0,17.56,121.71,17.37,2.89,0,0,44.62,0,0,0,0,0,0

11,02:30-02:45,13.04,5.35,0,413.44,140.21,27.05,48.13,0,0,0,0,0,0,0,98.87,38.64,0,167.1,0,60.53,43.21,0,0,4.32,0,83.67,1.62,36.05,0,0,97.42,32.08,40.4,53.79,20.8,33.69,0,0,10.21,20.96,43.71,20.01,42.15,44.22,686.07,413.81,0,3.54,127.6,11.53,76.61,43.61,0,78.06,0,0,0,17.56,121.71,17.37,2.89,0,0,44.62,0,0,0,0,0,0

