Block,Time,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01122023/15122023/HP-15,NR/01102023/19072037/LT-05,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01122023/07122023/HP-18,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,102.51,0,0,0,0,25.01,0,0,0,34.17,80.17,80.17,0,0,34.17,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

2,00:15-00:30,101.51,0,0,0,0,24.68,0,0,0,33.84,79.51,79.51,0,0,33.83,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

3,00:30-00:45,99.01,0,0,0,0,24.34,0,0,0,33,79.01,79.01,0,0,33.01,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

4,00:45-01:00,98.25,0,0,0,0,24.01,0,0,0,32.75,78.67,78.67,0,0,32.74,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

5,01:00-01:15,96.51,0,0,0,0,23.84,0,0,0,32.17,78.34,78.34,0,0,32.17,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

6,01:15-01:30,92.51,0,0,0,0,23.34,0,0,0,30.84,78.17,78.17,0,0,30.83,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

7,01:30-01:45,92.01,0,0,0,0,22.34,0,0,0,30.67,77.34,77.34,0,0,30.67,7.01,48.06,0,0,0,30.760000,46.140000,96.130000,0.000000,24.030000,1.390000,148.690000,109.590000,57.250000,71.520000,0.000000,1.890000,122.930000,1.450000,0.000000,25.950000,25.950000,0.000000

