Time,Block,NR/2023/18105/A/1710,NR/2023/18158/C,NR/2023/18062/A/1716,NER/2023/1739/C,NR/2023/17525/A,NR/2023/17270/A,NR/2023/18074/A/1723,NR/2023/18160/C,WR/2023/19446/A,NR/2023/18161/C,WR/2023/20256/A/1827,WR/2023/20577/A/1825,NR/2023/18159/C,Total
,,IEXL,TPDDL,IEXL,PXIL,APPCPL,GMRETL,ITCLH,SJVNL,MANIKARAN,SJVNL,MANIKARAN,APPCPL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,DELHI,DELHI,ANDHRA PRADESH,NA,DELHI,NA,DELHI,DELHI,NA,
,,BSHP,CHANJUII,SNJSUGARLTDAP,BYPL,BYPL,BYPL,ITCWIND,RSRPL_BKN,BYPL,RSRPL_BKN,BRPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,ARUNACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,DELHI,DELHI,MAHARASHTRA,DELHI,GOA,GOA,DELHI,
,,MES (Delhi),TPDDL,MES (Delhi),Arunachal_Ben,HP,RUVNL,ITCLH,NDMC,AEML,NDMC,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),
,,North-North,North-North,South-East-North,North-East-North East,North-North,North-North,South-West-North,North-North,North-West,North-North,North-West,North-West,West-North,
1,00:00-00:15,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,148.68

2,00:15-00:30,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,148.68

3,00:30-00:45,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,148.68

4,00:45-01:00,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,148.68

5,01:00-01:15,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

6,01:15-01:30,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

7,01:30-01:45,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

8,01:45-02:00,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

9,02:00-02:15,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

10,02:15-02:30,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

11,02:30-02:45,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

12,02:45-03:00,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

13,03:00-03:15,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

14,03:15-03:30,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

15,03:30-03:45,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

16,03:45-04:00,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.340000,0,75.000000,0,0.000000,0.000000,0,148.59

17,04:00-04:15,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

18,04:15-04:30,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

19,04:30-04:45,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

20,04:45-05:00,0.960000,2.010000,4.790000,40.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,148.63

21,05:00-05:15,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,108.63

22,05:15-05:30,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,108.63

23,05:30-05:45,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,108.63

24,05:45-06:00,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,108.63

25,06:00-06:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,183.14

26,06:15-06:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,183.14

27,06:30-06:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,183.14

28,06:45-07:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.380000,0,75.000000,0,0.000000,0.000000,0,183.14

29,07:00-07:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,0.000000,0.000000,0.14,183.43

30,07:15-07:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,0.000000,0.000000,0.41,183.7

31,07:30-07:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,0.000000,0.000000,0.73,184.02

32,07:45:08:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,0.000000,0.000000,1.15,184.44

33,08:00-08:15,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,0,75.000000,0,0.000000,0.000000,1.61,135.14

34,08:15-08:30,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,0,75.000000,0,0.000000,0.000000,2.09,135.62

35,08:30-08:45,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,0,75.000000,0,0.000000,0.000000,2.56,136.09

36,08:45:09:00,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,0,75.000000,0,0.000000,0.000000,3.09,136.62

37,09:00:09:15,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,0,75.000000,0,0.000000,0.000000,3.55,137.08

38,09:15-09:30,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,0,75.000000,0,0.000000,0.000000,4.05,137.58

39,09:30-09:45,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,4.47,166.72

40,09:45-10:00,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,4.88,167.13

41,10:00-10:15,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,5.28,167.53

42,10:15-10:30,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,5.59,167.84

43,10:30-10:45,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,5.84,168.09

44,10:45-11:00,0.960000,2.010000,4.790000,0.000000,0.000000,50.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.16,168.41

45,11:00-11:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.31,218.56

46,11:15-11:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.58,218.83

47,11:30-11:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.66,218.91

48,11:45-12:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.86,219.11

49,12:00-12:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.98,219.23

50,12:15-12:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.91,219.16

51,12:30-12:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.64,218.89

52,12:45-13:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.62,218.87

53,13:00-13:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.55,218.8

54,13:15-13:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.47,218.72

55,13:30-13:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.34,218.59

56,13:45-14:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,6.02,218.27

57,14:00-14:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,5.83,218.08

58,14:15-14:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,5.53,217.78

59,14:30-14:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,5.17,217.42

60,14:45-15:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.770000,14.36,75.000000,14.36,0.000000,0.000000,4.8,217.05

61,15:00-15:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.620000,14.36,75.000000,14.36,0.000000,0.000000,4.42,216.52

62,15:15-15:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.620000,14.36,75.000000,14.36,0.000000,0.000000,3.76,215.86

63,15:30-15:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.620000,14.36,75.000000,14.36,0.000000,0.000000,3.24,215.34

64,15:45-16:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.620000,14.36,75.000000,14.36,0.000000,0.000000,2.66,214.76

65,16:00-16:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,2.35,185.59

66,16:15-16:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,1.86,185.1

67,16:30-16:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,1.38,184.62

68,16:45-17:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,0.95,184.19

69,17:00-17:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,0.62,183.86

70,17:15-17:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,0.35,183.59

71,17:30-17:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,0.12,183.36

72,17:45-18:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.480000,0,75.000000,0,0.000000,0.000000,0,183.24

73,18:00-18:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

74,18:15-18:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

75,18:30-18:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

76,18:45-19:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

77,19:00-19:15,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

78,19:15-19:30,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

79,19:30-19:45,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

80,19:45-20:00,0.960000,2.010000,4.790000,0.000000,0.000000,100.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,263.29

81,20:00-20:15,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

82,20:15-20:30,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

83,20:30-20:45,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

84,20:45-21:00,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

85,21:00-21:15,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

86,21:15-21:30,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

87,21:30-21:45,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

88,21:45-22:00,0.960000,2.010000,4.790000,0.000000,0.000000,0.000000,0.530000,0,75.000000,0,25.000000,55.000000,0,163.29

89,22:00-22:15,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.480000,0,75.000000,0,0.000000,55.000000,0,163.73

90,22:15-22:30,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.480000,0,75.000000,0,0.000000,55.000000,0,163.73

91,22:30-22:45,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.480000,0,75.000000,0,0.000000,55.000000,0,163.73

92,22:45-23:00,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.480000,0,75.000000,0,0.000000,55.000000,0,163.73

93,23:00-23:15,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,108.68

94,23:15-23:30,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,108.68

95,23:30-23:45,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,108.68

96,23:45-24:00,0.960000,2.010000,4.790000,0.000000,25.490000,0.000000,0.430000,0,75.000000,0,0.000000,0.000000,0,108.68

