Block,Time,TANAKPUR,BSIUL,ANTA_LF,UNCHAHAR1,JHAJJAR,KISHANGANGA,DADRI_GF,PARBATI3,TANDA2,SINGRAULI_HYDRO,CHAMERA3,CHAMERA1,ANTA_CRF,AURY_GF,DADRI_LF,DULHASTI,RIHAND1,ANTA_RF,RAMPUR,DADRT2,DADRI_CRF,NAPP,UNCHAHAR4,KOTESHWR,SEWA2,UNCHAHAR2,URI,RIHAND3,SINGRAULI,UNCHAHAR3,AURY_LF,SALAL,ANTA_GF,AURY_RF,DADRI_RF,RIHAND2,TEHRI,URI2,RAPPC,NJPC,AURY_CRF,KOLDAM,DHAULIGNGA,CHAMERA2,RAPPB,BRBCL,SASAN,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,3.567790,6.262576,0.000000,10.516476,374.502011,8.010361,0.000000,0.000000,5.145920,1.164790,33.451935,0.000000,0.000000,0.000000,0.000000,56.832057,93.212528,0.000000,6.478393,526.425877,0.000000,47.671976,2.967636,28.232623,0.000000,41.942301,34.989293,125.409128,143.080488,26.544476,0.000000,80.350906,0.000000,0.000000,0.000000,111.462291,62.139056,36.390055,65.298443,172.835941,0.000000,9.807271,0.000000,31.052824,0.000000,14.405993,334.996836,94.953067,13.733720,9.600158,30.896164,0,0,0,0,0

2,00:15-00:30,3.567790,6.262576,0.000000,10.516476,374.502011,8.010361,0.000000,0.000000,5.145920,1.164790,33.451935,0.000000,0.000000,0.000000,0.000000,56.832057,93.212528,0.000000,6.478393,526.425877,0.000000,47.671976,2.967636,28.232623,0.000000,41.942301,34.989293,125.409128,143.080488,26.544476,0.000000,80.350906,0.000000,0.000000,0.000000,119.454552,62.139056,36.390055,65.298443,172.835941,0.000000,9.807271,0.000000,46.579236,0.000000,14.405993,335.155590,94.953067,13.733720,9.600158,30.896164,0,0,0,0,0

3,00:30-00:45,5.413199,6.262576,0.000000,10.516476,346.102229,8.010361,0.000000,0.000000,5.145920,1.164790,33.451935,0.000000,0.000000,0.000000,0.000000,56.832057,93.212528,0.000000,6.478393,526.425877,0.000000,47.671976,2.967636,28.232623,0.000000,41.942301,34.989293,125.409128,141.535774,26.544476,0.000000,80.350906,0.000000,0.000000,0.000000,119.454552,62.139056,36.390055,65.298443,172.835941,0.000000,9.807271,0.000000,46.579236,0.000000,14.405993,335.155590,94.953067,13.733720,9.741337,30.896164,0,0,0,0,0

4,00:45-01:00,10.457315,6.262576,0.000000,10.516476,326.894229,8.010361,0.000000,0.000000,5.145920,1.164790,33.451935,0.000000,0.000000,0.000000,0.000000,56.832057,93.212528,0.000000,6.478393,526.425877,0.000000,47.671976,2.967636,28.232623,0.000000,41.942301,34.989293,125.409128,141.535774,26.544476,0.000000,80.350906,0.000000,0.000000,0.000000,119.454552,62.139056,36.390055,65.298443,172.835941,0.000000,9.807271,0.000000,46.579236,0.000000,14.405993,335.155590,94.953067,13.733720,9.741337,30.896164,0,0,0,0,0

5,01:00-01:15,10.457315,6.262576,0.000000,10.516476,348.789236,8.010361,0.000000,0.000000,5.145920,1.164790,33.451935,0.000000,0.000000,0.000000,0.000000,56.832057,93.212528,0.000000,6.478393,503.193032,0.000000,47.671976,2.967636,28.232623,0.000000,41.942301,34.989293,125.409128,141.534148,26.544476,0.000000,80.350906,0.000000,0.000000,0.000000,119.454552,62.139056,36.390055,65.298443,172.835941,0.000000,9.807271,0.000000,46.579236,0.000000,14.405993,335.155590,94.953067,13.733720,9.741337,30.896164,0,0,0,0,0

