Column1,Block,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6452,NR/2025/31042/A/93816,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/32455/A/93870,GNA/NR/2025/08/01/6187,NR/2025/32822/C,GNA/NR/2025/08/01/3698,NR/2025/32598/A/93830,NR/2025/32833/C,NR/2025/32836/C,GNA/NR/2025/08/01/4125,NR/2025/32554/A/93808,NR/2025/31047/A/93820,NR/2025/32822/C/Alternate/1,NR/2025/32818/C,NR/2025/32834/C,NR/30092023/26122029/SH-06,NR/2025/29440/A/93409,NR/30092023/31122025/SH-07,NR/2025/31046/A/93818,NR/2025/32702/A/93781,NR/2025/32819/C,NR/2025/31041/A/93815,NR/2025/32610/A/93863,NR/2025/32535/A/93836,NR/2025/32785/C,NR/2025/29992/A/93485,NR/2025/32397/A/93425,NR/2025/32786/C,NR/2025/32556/A/93865,NR/2025/32535/A/93837,NR/2025/31421/A/93883,GNARE/NR/2024/12/20/3668,NR/2025/32262/A/93725,NR/2025/32599/A/93531,NR/2025/32532/A/93832,NR/2025/32770/C,NR/2025/32811/C,NR/2025/32532/A/93833,NR/2025/32534/A/93834,NR/2025/32004/A/93871,NR/2025/32375/A/93879,NR/2025/32534/A/93835,NR/2025/32733/C,NR/2025/32559/A/93864,NR/2025/32854/C,NR/2025/32652/A/93515,NR/2025/32653/A/93513,NR/2025/32837/C,Total
,,MANIKARAN,MANIKARAN,APPCPL,PowerPulse,MANIKARAN,MANIKARAN,APPCPL,NVVNL,PowerPulse,DELHI,MANIKARAN,NDMC,NVVNL,NDMC,PTC,APPCPL,APPCPL,NDMC,PowerPulse,PowerPulse,NVVNL,NVVNL,APPCPL,PUNJAB,ITCLH,BAWANA_GAS,PowerPulse,DIAPL,NVVNL,PowerPulse,APPCPL,OIDLWM3_AEROCITY,PowerPulse,BYPL,IEXL,PowerPulse,APPCPL,OIDLWM3_AEROCITY,NVVNL,SECI_Trader,TPTCL,BRPL,ABLWM1_AEROCITY,PowerPulse,APPCPL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,APPCPL,NVVNL,OIDLWM2_AEROCITY,BYPL,APPCPL,GMRETL,GMRETL,GMRETL,MES_Delhi,
,,NA,MP_State,GOA_State,MSEB_State,NA,MSEB_State,GOA_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,MP_State,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,KERALA_State,MSEB_State,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,MSEB_State,MP_State,NA,KERALA_State,NA,NA,NA,NA,NA,
,,MBMP,BLAPOWER_MP,GOA_Beneficiary,Vidarbha_Industry_MH,DBPL,AEML,GOA_Beneficiary,JHABUA_IPP,MAHAN_ENERGEN,CHANJUII,MBMP,JIPL,Kameng,TRN_ENERGY,GoHP_NJPC,RKM_POWER,RKM_POWER,SKS_Raigarh,APL_Raipur_TPP,APL_Raigarh_TPP,Kameng,JP_BINA,JPL2,BAWANA_GAS,ITCWIND,BAWANA_GAS,APL_Raigarh_TPP,GBHHPL,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,RKM_POWER,TESPL_BKN2,MAHAN_ENERGEN,KSEB,A_A_Energy_MH_Bio,APL_Raigarh_TPP,JPL2,TCSPL_BKN2,JPNIGRIE_JNSTPP,APSEPL_FTG,TPC_MSEB,TS1PL_BKN,TESPL_BKN2,APL_Raipur_TPP,AEML,TCSPL_BKN2,TESPL_BKN2,AEML,JP_BINA,TCSPL_BKN2,KSEB,RKM_POWER,JGCPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,NTPCREL_PSS2_KPS2_S,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,NDMC,BRPL,NDMC,NDMC,NDMC,BRPL,TPDDL,TPDDL,TPDDL,NDMC,PUNJAB,ITCLH,HARYANA,TPDDL,DIAPL,TPDDL,TPDDL,NDMC,OIDLWM3_AEROCITY,TPDDL,BYPL,MES_Delhi,TPDDL,NDMC,OIDLWM3_AEROCITY,TPDDL,TPDDL,BYPL,BRPL,ABLWM1_AEROCITY,BRPL,BYPL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,BYPL,TPDDL,OIDLWM2_AEROCITY,BYPL,NDMC,MAX_HPTL,BLKMH,DTCP,MES_Delhi,
,,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,East-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-West-North,West-North,West-North,North-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.87,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1237.19

2,00:15-00:30,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.87,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1237.19

