Block,Time Block,JHAJJAR,CHAMERA3,BSIUL,DHAULIGNGA,FSTPP I & II,CHAMERA2,KGSU1AND2,BRBCL,DULHASTI,DADRT2,CHAMERA1,KISHANGANGA,KHSTPP-I,KGSU3AND4,KHSTPP-II,MAPS,KOLDAM,KUDGI,KOTESHWR,KKNP,KKNPPU2,NLCIIST2,NJPC,NLCTS2EXP,NNTPP,NAPP,NTPL,NLCEXP,NLCIIST1,SALAL,SEWA2,SINGRAULI,PARBATI3,RIHAND3,RAPPB,RIHAND2,SASAN,RAMPUR,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RAPPC,RSTPSU1TO6,SIMHST2,RSTPSU7,URI2,TALST2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,TALA,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,TANDA2,UNCHAHAR4,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_LF,DADRI_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,334.36,30.89,0,38.9,12.59,42.58,0,14.44,34.89,384.48,40.59,4.16,30.98,0,94.76,0,5.15,0,37.21,0,0,0,160.9,0,0,43.2,0,0,0,73.84,11.15,123.01,31.13,122.87,0,117.19,398.36,3.41,91.14,0,0,58,0,0,0,34.71,0,22.39,6.66,0,9.57,35.328,33.49,65.21,17.38,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,305.47,30.89,0,38.9,13.77,42.58,0,14.44,34.89,412.66,40.59,4.16,30.98,0,95.2,0,5.15,0,37.21,0,0,0,160.9,0,0,43.2,0,0,0,73.84,11.15,123.01,31.13,122.87,0,117.19,398.64,3.41,91.14,0,0,58,0,0,0,34.71,0,22.71,6.66,0,9.57,35.328,33.49,65.21,17.66,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,213.99,30.89,0,38.9,13.77,42.58,0,14.44,34.89,474.84,40.59,4.16,30.98,0,95.2,0,5.15,0,37.21,0,0,0,160.9,0,0,43.2,0,0,0,73.84,11.15,123.01,31.13,122.87,0,117.19,398.64,3.41,91.14,0,0,58,0,0,0,34.71,0,22.81,10.36,0,9.57,36.229,33.49,65.21,17.66,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,136.96,30.89,0,38.9,13.77,42.58,0,14.44,34.89,482.55,40.59,4.16,30.98,0,95.2,0,5.15,0,37.21,0,0,0,160.9,0,0,43.2,0,0,0,73.84,11.15,123.01,31.13,122.87,0,117.19,398.64,3.41,91.14,0,0,58,0,0,0,34.71,0,22.81,7.27,0,9.57,36.229,33.49,65.21,17.66,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,110.84,30.89,0,38.9,13.77,42.58,0,14.44,34.89,420.44,40.59,4.16,30.98,0,95.2,0,5.15,0,37.21,0,0,0,160.9,0,0,43.2,0,0,0,73.84,11.15,123.01,31.13,122.87,0,117.19,398.64,3.41,91.14,0,0,58,0,0,0,34.71,0,22.81,7.27,0,9.72,36.229,33.49,65.21,17.66,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

