Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,SIMHST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,146.839746,93.324175,2.184458,55.328274,40.646332,657.89409,16.680963,0,51.987209,125.295291,25.869661,2.429119,0,142.003256,1.645676,119.5917,1.44175,42.14808,13.1076,47.472,7.686,81.921,0,0,83.849666,0,0,0,36.840283,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,18.140334,23.52,147.515625,40.669,348.975

2,00:15-00:30,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,146.839746,93.324175,2.184458,55.328274,40.646332,657.89409,16.680963,0,51.987209,125.295291,25.869661,2.429119,0,142.003256,1.645676,119.5917,1.44175,42.14808,13.1076,47.472,7.686,81.921,0,0,83.849666,0,0,0,36.840283,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,18.140334,23.52,147.515625,40.669,348.975

3,00:30-00:45,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,146.839746,93.324175,2.184458,55.328274,40.646332,657.89409,16.680963,0,51.987209,125.295291,25.869661,2.429119,0,142.003256,1.645676,119.5917,1.44175,42.14808,13.1076,47.472,7.686,81.921,0,0,83.849666,0,0,0,36.840283,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,18.140334,23.52,147.515625,40.669,348.975

4,00:45-01:00,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,146.839746,93.324175,2.184458,55.328274,40.646332,657.89409,16.680963,0,51.987209,125.295291,25.869661,2.429119,0,142.003256,1.645676,119.5917,1.44175,42.14808,13.1076,47.472,7.686,81.921,0,0,83.849666,0,0,0,36.840283,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,18.140334,23.52,147.515625,40.669,348.975

5,01:00-01:15,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,2.184458,55.328274,40.646332,657.89409,16.680963,0,51.987209,125.295291,25.869661,2.429119,0,142.003256,1.645676,119.5917,1.44175,42.14808,13.1076,47.472,12.1695,81.921,0,0,83.849666,0,0,0,37.956656,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,18.140334,23.52,147.515625,40.669,348.975

