Block,Time,RAPPC,RIHAND1,TANAKPUR,PARBATI3,JHAJJAR,BSIUL,ANTA_LF,FSTPP I & II,ANTA_GF,BRBCL,KHSTPP-II,AURY_LF,AURY_CRF,KHSTPP-I,SASAN,UNCHAHAR1,TALA,DHAULIGNGA,DADRT2,RIHAND2,TEHRI,CHAMERA1,DADRI_RF,DADRI_GF,DULHASTI,CHAMERA2,NJPC,TANDA2,NAPP,UNCHAHAR2,SEWA2,AURY_RF,SALAL,CHAMERA3,KOLDAM,KISHANGANGA,ANTA_CRF,DADRI_LF,DADRI_CRF,UNCHAHAR4,RAPPB,AURY_GF,RAMPUR,UNCHAHAR3,URI,KOTESHWR,ANTA_RF,URI2,SINGRAULI_HYDRO,RIHAND3,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,6.721008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,34.056192,8.554536,0.000000,16.079983,0.700770,119.213662,108.713558,0,0,0,0,0

2,00:15-00:30,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,53.768064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,34.056192,8.554536,0.000000,16.079983,0.700770,119.213662,108.713558,0,0,0,0,0

3,00:30-00:45,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,53.768064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,4.257024,8.554536,0.000000,16.079983,0.700770,119.213662,108.713558,0,0,0,0,0

4,00:45-01:00,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,6.721008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,16.079983,0.700770,119.213662,108.713558,0,0,0,0,0

5,01:00-01:15,52.602588,56.129478,8.026746,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,16.079983,0.700770,119.213662,108.713558,0,0,0,0,0

6,01:15-01:30,52.602588,56.129478,8.026746,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,16.079983,0.700770,119.213662,108.713558,0,0,0,0,0

7,01:30-01:45,52.602588,56.129478,8.026746,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

8,01:45-02:00,52.602588,56.129478,8.026746,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

9,02:00-02:15,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

10,02:15-02:30,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

11,02:30-02:45,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

12,02:45-03:00,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

13,03:00-03:15,52.602588,56.129478,1.852326,0.000000,345.112000,0.000000,0.000000,4.820000,0.000000,14.459964,89.901772,0.000000,0.000000,22.824242,403.694280,7.712000,0.000000,0.000000,348.968000,43.496451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.620592,16.388000,0.000000,0.000000,1.344202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.532000,2.554214,8.554536,0.000000,4.538705,0.700770,119.213662,108.713558,0,0,0,0,0

