Block,Time,NJPC,AURY_GF,SALAL,TANDA2,DADRI_RF,RAMPUR,PARBATI3,URI2,DADRI_CRF,DADRT2,RIHAND3,KOTESHWR,SEWA2,ANTA_LF,AURY_RF,TANAKPUR,RIHAND1,UNCHAHAR2,AURY_LF,AURY_CRF,RIHAND2,DHAULIGNGA,CHAMERA3,ANTA_CRF,CHAMERA1,SINGRAULI,DULHASTI,FSTPP I & II,MOUDA_II,KHSTPP-I,TEHRI,KGSU3AND4,NLCIIST1,RSTPSU7,UNCHAHAR4,SOLAPUR,KHARGONE-I,KSTPS7,KOLDAM,KAWAS-zLIQ,UNCHAHAR3,KAWAS-APM,KSTPS I&II,SIPAT I,RAPPB,URI,BSIUL,NLCTS2EXP,SIMHST2,KGSU1AND2,KUDGI,SINGRAULI_HYDRO,NTPL,MAPS,KKNP,VALLURNTECL,NAPP,DADRI_GF,KAWAS-RLNG,KHSTPP-II,ANTA_RF,ANTA_GF,RAPPC,KISHANGANGA,GANDHAR-APM,BRBCL,MOUDA,KAWAS-ComGas,TALA,NLCIIST2,JHAJJAR,DADRI_LF,RSTPSU1TO6,TALST2,NNTPP,NLCEXP,UNCHAHAR1,CHAMERA2,KAPS,LARA-I,GADARWARA-I,VSTPS V,KAWAS-NAPM,VSTPS IV,GANDHAR-RLNG,TAPS-II,GANDHAR-ComGas,VSTPS II,SASAN,SIPAT II,GANDHAR-NAPM,VSTPS III,VSTPS I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,80.560066,3.938161,22.819960,0.000000,0.000000,35.579302,0.000000,665.450561,123.684601,8.798246,17.436898,0.000000,19.766507,0.616737,92.331090,42.681567,0.000000,0.000000,117.887847,0.000000,21.482687,0.000000,0.000000,135.075071,36.418010,19.960917,3.381406,26.886094,0.000000,2.10,0.42,1.87,2.301331,1.705521,3.411042,1.292062,0.000000,0.000000,26.335315,0.000000,2.859171,5.044207,0.000000,46.773830,18.931962,1.73,1.78,1.95,8.98,1.034894,3.64,0.24,1.55,3.44,44.767769,0.000000,0.014772,142.042795,4.050420,0.000000,62.541305,6.102746,0.000000,11.640498,1.866200,0.000000,0.000000,1.66,642.328094,0.000000,5.69,2.92,0.19,1.78,21.607476,29.801223,0.798782,4.100149,4.134596,1.278279,0.000000,2.584122,0.014492,1.320230,0.000000,1.870878,265.399312,1.800843,0.000000,1.886980,2.306456,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,80.560066,3.938161,22.819960,0.000000,0.000000,35.579302,0.000000,665.450561,123.684601,8.798246,17.436898,0.000000,19.766507,0.616737,92.331090,42.681567,0.000000,0.000000,117.887847,0.000000,21.482687,0.000000,0.000000,135.075071,36.418010,19.960917,3.381406,26.886094,0.000000,2.10,0.42,1.87,2.301331,1.705521,3.411042,1.292062,0.000000,0.000000,26.335315,0.000000,2.859171,5.044207,0.000000,46.773830,18.931962,1.73,1.78,1.95,8.98,1.034894,3.64,0.24,1.55,3.44,44.767769,0.000000,0.014772,142.042795,30.567412,0.000000,62.541305,6.102746,0.000000,11.640498,1.866200,0.000000,0.000000,1.66,642.328094,0.000000,5.69,2.92,0.19,1.78,21.607476,29.801223,0.798782,4.100149,4.134596,1.278279,0.000000,2.584122,0.014563,1.320230,0.000000,1.870878,265.399312,1.800843,0.000000,1.886980,2.306554,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,80.560066,3.938161,22.819960,0.000000,0.000000,35.579302,0.000000,665.450561,123.684601,8.798246,17.436898,0.000000,19.766507,0.616737,92.331090,42.681567,0.000000,0.000000,117.887847,0.000000,21.482687,0.000000,0.000000,135.075071,36.418010,19.960917,3.381406,28.416894,0.000000,2.10,0.42,1.87,2.301331,1.705521,3.411042,1.292062,0.000000,0.000000,26.335315,0.000000,2.859171,5.044207,0.000000,46.773830,18.931962,1.73,1.78,1.95,8.98,1.034894,3.64,0.24,1.55,3.44,44.767769,0.000000,0.014772,142.042795,29.368689,0.000000,62.541305,6.102746,0.000000,8.704616,1.866200,0.000000,0.000000,1.66,642.328094,0.000000,5.69,2.92,0.19,1.78,21.607476,29.801223,0.798782,4.100149,4.134596,1.278279,0.000000,2.584122,0.014563,1.320230,0.000000,1.870878,265.399312,1.800843,0.000000,1.886980,2.306554,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,80.560066,3.938161,22.819960,0.000000,0.000000,34.096832,0.000000,665.450561,123.684601,8.798246,17.436898,0.000000,19.766507,0.616737,92.331090,42.681567,0.000000,0.000000,117.887847,0.000000,21.482687,0.000000,0.000000,135.075071,36.418010,19.960917,3.381406,29.750659,0.000000,2.10,0.42,1.87,2.301331,1.705521,3.411042,1.292062,0.000000,0.000000,26.335315,0.000000,2.859171,5.044207,0.000000,46.773830,18.931962,1.73,1.78,1.95,8.98,1.034894,3.64,0.24,1.55,3.44,44.767769,0.000000,0.014772,142.042795,29.368689,0.000000,62.541305,6.102746,0.000000,8.704616,1.866200,0.000000,0.000000,1.66,642.328094,0.000000,5.69,2.92,0.19,1.78,21.607476,29.801223,0.798782,4.100149,4.134596,1.278279,0.000000,2.584122,0.014563,1.320230,0.000000,1.870878,265.399312,1.800843,0.000000,1.886980,2.306554,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,80.560066,3.938161,2.599060,0.000000,0.000000,33.355596,0.000000,665.450561,123.684601,8.798246,17.436898,0.000000,0.000000,0.616737,92.331090,42.681567,0.000000,0.000000,117.887847,0.000000,21.482687,0.000000,0.000000,135.075071,36.418010,19.960917,3.381406,31.108459,0.000000,2.10,0.42,1.87,2.301331,1.705521,3.411042,1.292062,0.000000,0.000000,26.335315,0.000000,2.859171,5.044207,0.000000,51.025997,18.931962,1.73,1.78,1.95,8.98,1.034894,3.64,0.24,1.55,3.44,44.767769,0.000000,0.014772,142.042795,10.110689,0.000000,62.541305,6.102746,0.000000,8.704616,1.866200,0.000000,0.000000,1.66,642.328094,0.000000,5.69,2.92,0.19,1.78,21.607476,29.801223,0.798782,4.100149,4.134596,1.278279,0.000000,2.584122,0.014563,1.320230,0.000000,1.870878,265.399312,1.800843,0.000000,1.886980,2.306554,0,0,0,0,0

