Column1,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/9042,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,175.26,57.29,2.67,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,285.39,26.17,26.87,52.78,3.67,0,25,0,8.34,0,12.17,12.16,0,0,6.4,0,36.5,25,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

2,00:15-00:30,175.26,57.29,2.67,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,285.39,26.17,26.87,52.78,3.67,0,24.34,0,8.34,0,12,12,0,0,6.4,0,36,24.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

3,00:30-00:45,175.26,57.29,2.67,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,285.39,26.17,26.87,52.78,3.67,0,23.34,0,8,0,11.83,11.84,0,0,6.4,0,35.5,23.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

4,00:45-01:00,175.26,57.29,2.67,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,285.39,26.17,26.87,52.78,3.67,0,22.66,0,8,0,11.5,11.5,0,0,6.4,0,34.5,22.67,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

5,01:00-01:15,175.26,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,285.39,26.17,26.87,52.78,3.67,0,21.66,0,7.66,0,11.17,11.16,0,0,6.4,0,33.5,21.67,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

6,01:15-01:30,175.26,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,259.09,0,285.39,26.17,26.87,52.78,3.67,0,21,0,7.66,0,11,11,0,0,6.4,0,33,21,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

7,01:30-01:45,175.26,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,239.9,0,285.39,26.17,26.87,52.78,3.67,0,20,0,7.66,0,10.67,10.66,0,0,6.4,0,32,20,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

8,01:45-02:00,175.26,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,239.9,0,285.39,26.17,26.87,52.78,3.67,0,19.34,0,7.66,0,10.33,10.34,0,0,6.4,0,31,19.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

9,02:00-02:15,170.46,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,191.92,0,285.39,26.17,26.87,52.78,3.67,0,19.34,0,7.34,0,10.83,10.84,0,0,6.4,0,32.5,19.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

10,02:15-02:30,170.46,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,172.73,0,285.39,26.17,26.87,52.78,3.67,0,19.34,0,7.34,0,11,11,0,0,6.4,0,33,19.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

11,02:30-02:45,170.46,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,172.73,0,285.39,26.17,26.87,52.78,3.67,0,19.34,0,7,0,11.17,11.16,0,0,6.4,0,33.5,19.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

12,02:45-03:00,170.46,57.29,2.59,26.17,6.77,0,26.17,0,0,0,69.96,17.45,172.73,0,285.39,26.17,26.87,52.78,3.67,0,19.34,0,6.66,0,11.17,11.16,0,0,6.4,0,33.5,19.33,0,7.2,95.12,26.87,2.16,2.22,0,0,0,0,0,28.26

13,03:00-03:15,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,172.73,0,285.39,26.17,26.87,52.78,3.57,0,27.33,0,6.66,0,13.33,13.34,0,0,6.4,0,40,27.33,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.26

14,03:15-03:30,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,172.73,0,285.39,26.17,26.87,52.78,3.57,0,27,0,6.66,0,13.17,13.16,0,0,6.4,0,39.5,27,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.77

15,03:30-03:45,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,26.67,0,6.66,0,13.17,13.16,0,0,6.4,0,39.5,26.67,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.77

16,03:45-04:00,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,26.33,0,6.66,0,13,13,0,0,6.4,0,39,26.33,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.77

17,04:00-04:15,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,26,0,6.66,0,12.33,12.34,0,0,6.4,0,37,26,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.77

18,04:15-04:30,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,26,0,6.66,0,12,12,0,0,6.4,0,36,26,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.77

19,04:30-04:45,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,25.67,0,6.66,0,11.83,11.84,0,0,6.4,0,35.5,25.67,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,28.77

20,04:45-05:00,170.46,57.29,2.51,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,25.33,0,6.66,0,11.67,11.66,0,0,6.4,0,35,25.33,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,27.76

21,05:00-05:15,170.46,57.29,2.45,26.17,6.77,0,26.17,0,0,0,69.96,17.45,149.23,0,285.39,26.17,26.87,52.78,3.57,0,24.67,0,6.66,0,11.67,11.66,0,0,6.4,0,35,24.67,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,27.76

22,05:15-05:30,170.46,57.29,2.45,26.17,6.77,0,26.17,0,0,0,69.96,17.45,191.92,0,285.39,26.17,26.87,52.78,3.57,0,24.33,0,6.66,0,11.67,11.66,0,0,6.4,0,35,24.33,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,27.76

23,05:30-05:45,170.46,57.29,2.45,26.17,6.77,0,26.17,0,0,0,69.96,17.45,230.3,0,285.39,26.17,26.87,52.78,3.57,0,23.33,0,6.66,0,11.33,11.34,0,0,6.4,0,34,23.33,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,27.25

24,05:45-06:00,170.46,57.29,2.45,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,285.39,26.17,26.87,52.78,3.57,0,22.67,0,6.66,0,11.33,11.34,0,0,6.4,0,34,22.67,0,7.2,95.12,26.87,2.01,2.22,0,0,0,0,0,27.25

25,06:00-06:15,170.46,57.29,2.45,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,0,26.17,26.87,52.78,3.57,0,21.67,1.84,6.66,0,11.67,11.66,0,0,6.4,1,35,21.67,0,7.2,0,26.87,1.93,2.22,0.85,0,0.86,0,0,27.25

26,06:15-06:30,170.46,57.29,2.45,26.17,6.77,0,26.17,0,0,0,69.96,17.45,271.33,0,0,26.17,26.87,52.78,3.57,1,21.33,3.98,6.66,0,11.67,11.66,0,0,6.4,2,35,21.33,0,7.2,0,26.87,1.93,2.22,2.56,0,5.56,0,0,27.25

27,06:30-06:45,204.92,57.29,2.45,26.17,6.77,0,26.17,0.31,0,0.31,69.96,17.45,271.33,0.32,0,26.17,26.87,57.58,3.57,3,28,8.85,8.66,0,14,14,0,0,6.4,5,42,28,0,7.2,0,26.87,1.93,2.22,10.56,0,11.56,1.45,0.01,26.25

28,06:45-07:00,204.92,57.29,2.45,26.17,6.77,0,26.17,0.7,0,0.7,69.96,17.45,271.33,0.72,0,26.17,26.87,62.37,3.57,4,27.33,17.65,8.66,0,14,14,0,1,6.4,8,42,27.33,0.04,7.2,0,26.87,1.93,2.22,20.34,1,20.34,7.93,0.2,25.24

29,07:00-07:15,204.92,67.68,2.37,26.17,6.77,0,26.17,1.3,0,1.3,69.96,17.45,271.33,1.33,0,26.17,26.87,80.61,3.57,5,26,22.13,8.66,1,14,14,2,4,6.4,10,42,26,0.58,7.2,0,26.87,1.93,2.17,22.14,3,22.13,15.85,2.89,25.24

30,07:15-07:30,204.92,67.68,2.37,26.17,6.77,0,26.17,2.17,0,2.17,69.96,17.45,271.33,2.22,0,26.17,26.87,74.85,3.57,7,25,24.47,8.66,4,13.83,13.84,5,11,6.4,15,41.5,25,2.11,7.2,0,26.87,1.93,2.17,24.46,7,24.47,23.49,10.55,25.74

31,07:30-07:45,204.92,67.68,2.37,26.17,6.77,0,26.17,3.01,0,3.01,69.96,17.45,271.33,3.08,0,26.17,26.87,84.44,3.57,9,20,25.8,8.66,9,13.83,13.84,7,21,6.4,18,41.5,20,4.66,7.2,0,26.87,1.93,2.17,25.8,12,25.8,32.7,23.29,26.25

32,07:45-08:00,204.92,67.68,2.37,26.17,6.77,0,26.17,3.93,0,3.93,69.96,17.45,271.33,4.03,0,26.17,26.87,71.01,3.57,12,19.67,27.2,8.66,13,13.67,13.66,8,32,6.4,25,41,19.67,8.06,7.2,0,26.87,1.93,2.17,27.2,17,27.2,43.54,40.31,26.75

33,08:00-08:15,204.92,67.68,2.29,26.17,6.77,0,26.17,4.97,0,4.97,69.96,17.45,230.3,5.09,0,26.17,26.87,90.2,3.57,15,26.67,28.03,9.34,19,14.17,14.16,13,46,6.4,32,42.5,26.67,11.79,7.2,0,26.87,1.93,2.17,28.04,23,28.03,55.09,58.97,26.75

