Block,Time,SALAL,CHAMERA3,SINGRAULI,TANDA2,BSIUL,UNCHAHAR4,ANTA_GF,PARBATI3,UNCHAHAR1,NJPC,KISHANGANGA,KOTESHWR,CHAMERA2,RIHAND2,URI2,KOLDAM,SEWA2,DADRI_RF,DADRI_CRF,TANAKPUR,RAMPUR,NAPP,RAPPC,RIHAND1,URI,ANTA_CRF,AURY_GF,RAPPB,AURY_LF,DADRT2,ANTA_LF,TEHRI,AURY_CRF,DADRI_LF,CHAMERA1,DHAULIGNGA,AURY_RF,RIHAND3,UNCHAHAR2,DADRI_GF,ANTA_RF,SIMHST2,KAWAS-RLNG,GANDHAR-ComGas,VSTPS II,KAWAS-NAPM,NNTPP,KHSTPP-II,SOLAPUR,SASAN,RSTPSU7,SIPAT I,GADARWARA-I,KKNP,VSTPS IV,VSTPS III,KHARGONE-I,VSTPS V,SIPAT II,SINGRAULI_HYDRO,KGSU1AND2,MOUDA_II,GANDHAR-NAPM,DULHASTI,KUDGI,KHSTPP-I,KSTPS7,TAPS-II,NLCIIST1,GANDHAR-RLNG,VALLURNTECL,VSTPS I,MOUDA,NTPL,GANDHAR-APM,KAWAS-APM,NLCEXP,TALA,LARA-I,KAPS,MAPS,KSTPS I&II,TALST2,NLCIIST2,KAWAS-zLIQ,RSTPSU1TO6,FSTPP I & II,NLCTS2EXP,JHAJJAR,KGSU3AND4,BRBCL,KAWAS-ComGas,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,38.065958,20.347692,138.769784,2.351036,19.077300,1.375498,0.000000,0.000000,21.380065,19.728169,2.458347,16.789688,27.943212,116.284815,34.351375,0.000000,16.552026,0.000000,0.000000,1.110819,0.381296,42.539088,57.558022,90.877303,48.930384,0.000000,0.000000,0.000000,0.000000,332.089545,0.000000,30.021314,0.000000,0.000000,27.021358,0.000000,0.000000,121.902020,41.956548,0.000000,0.000000,0.85,0.000000,0.000000,1.872044,0.000000,0.16,142.131305,1.706584,266.648625,1.87,5.119751,2.068586,1.56,2.585733,1.888156,1.706583,1.279076,1.801965,1.016558,1.92,3.383514,0.000000,51.937806,0.00,31.581093,1.292867,2.691439,0.71,0.000000,0.00,2.287199,1.867362,1.82,0.000000,0.000000,1.67,0.000000,4.102703,0.799281,0.23,2.860953,0.00,0.40,0.000000,7.57,17.477986,0.84,432.519488,2.10,10.839401,0.000000,25.975960,0,0,0,0,0

2,00:15-00:30,38.065958,20.347692,138.769784,2.351036,19.077300,1.375498,0.000000,0.000000,21.380065,0.000000,2.458347,16.789688,27.943212,116.284815,34.351375,0.000000,16.552026,0.000000,0.000000,1.110819,0.000000,42.539088,57.558022,90.877303,48.930384,0.000000,0.000000,0.000000,0.000000,332.089545,0.000000,30.021314,0.000000,0.000000,27.021358,0.000000,0.000000,121.902020,41.956548,0.000000,0.000000,0.85,0.000000,0.000000,1.872044,0.000000,0.16,142.131305,1.706584,266.648625,1.87,5.119751,2.068586,1.56,2.585733,1.888156,1.706583,1.279076,1.801965,1.016558,1.92,3.383514,0.000000,51.937806,0.00,31.581603,1.292867,2.691439,0.71,0.000000,0.00,2.287199,1.867362,1.82,0.000000,0.000000,1.67,0.000000,4.102703,0.799281,0.23,2.860953,0.00,0.40,0.000000,7.57,17.477986,0.84,432.519488,2.10,10.839401,0.000000,25.975960,0,0,0,0,0

3,00:30-00:45,38.065958,20.347692,138.769784,2.351036,18.943759,1.375498,0.000000,0.000000,21.380065,0.000000,2.458347,16.789688,27.943212,116.284815,34.351375,0.000000,16.552026,0.000000,0.000000,1.110819,0.000000,42.539088,57.558022,90.877303,48.930384,0.000000,0.000000,0.000000,0.000000,332.089545,0.000000,30.021314,0.000000,0.000000,13.536558,0.000000,0.000000,121.902020,41.956548,0.000000,0.000000,0.85,0.000000,0.000000,1.872044,0.000000,0.16,142.131305,1.706584,266.648625,1.87,5.119751,2.068586,1.56,2.585733,1.888156,1.706583,1.279076,1.801965,1.016558,1.92,3.383514,0.000000,51.937806,0.00,31.581603,1.292867,2.691439,0.71,0.000000,0.00,2.307398,1.867362,1.82,0.000000,0.000000,1.67,0.000000,4.102703,0.799281,0.23,2.860953,0.00,0.40,0.000000,7.57,17.477986,0.84,432.519488,2.10,10.839401,0.000000,25.975960,0,0,0,0,0

4,00:45-01:00,38.065958,20.347692,138.769784,2.351036,18.943759,1.375498,0.000000,0.000000,21.380065,0.000000,2.458347,16.789688,27.943212,116.284815,34.351375,0.000000,16.552026,0.000000,0.000000,1.110819,0.000000,42.539088,57.558022,90.877303,51.057792,0.000000,0.000000,0.000000,0.000000,332.089545,0.000000,30.021314,0.000000,0.000000,13.536558,0.000000,0.000000,121.902020,41.956548,0.000000,0.000000,0.85,0.000000,0.000000,1.872044,0.000000,0.16,142.131305,1.706584,266.648625,1.87,5.119751,2.068586,1.56,2.585733,1.888156,1.706583,1.279076,1.801965,1.016558,1.92,3.383514,0.000000,51.937806,0.00,31.581603,1.292867,2.691439,0.71,0.000000,0.00,2.307991,1.867362,1.82,0.000000,0.000000,1.67,0.000000,4.102703,0.799281,0.23,2.860953,0.00,0.40,0.000000,7.57,17.477986,0.84,432.519488,2.10,10.839401,0.000000,25.975960,0,0,0,0,0

5,01:00-01:15,38.065958,20.367772,138.769784,2.351036,18.943759,1.375498,0.000000,0.000000,21.380065,0.000000,2.458347,16.789688,27.943212,116.284815,33.382780,0.000000,16.552026,0.000000,0.000000,1.110819,0.000000,42.539088,57.558022,90.877303,51.057792,0.000000,0.000000,0.000000,0.000000,332.089545,0.000000,30.021314,0.000000,0.000000,0.000000,0.000000,0.000000,121.902020,38.762516,0.000000,0.000000,0.85,0.000000,0.000000,1.872044,0.000000,0.16,142.131305,1.706584,266.648625,1.87,5.119751,2.068586,1.56,2.585733,1.888156,1.706583,1.279076,1.801965,1.016558,1.92,3.383514,0.000000,51.937806,0.00,31.581603,1.292867,2.581807,0.71,0.000000,0.00,2.307991,1.867362,1.82,0.000000,0.000000,1.67,0.000000,4.102703,0.799281,0.23,2.860953,0.00,0.40,0.000000,7.57,17.477986,0.84,425.600354,2.10,10.839401,0.000000,25.975960,0,0,0,0,0

6,01:15-01:30,38.065958,20.367772,138.769784,2.351036,12.629173,1.375498,0.000000,0.000000,21.380065,0.000000,2.458347,16.789688,27.943212,116.284815,33.382780,0.000000,16.552026,0.000000,0.000000,1.110819,0.000000,42.539088,57.558022,90.877303,48.930384,0.000000,0.000000,0.000000,0.000000,332.089545,0.000000,30.021314,0.000000,0.000000,0.000000,0.000000,0.000000,121.902020,33.225014,0.000000,0.000000,0.85,0.000000,0.000000,1.872044,0.000000,0.16,142.131305,1.706584,266.648625,1.87,5.119751,2.068586,1.56,2.585733,1.888156,1.706583,1.279076,1.801965,1.016558,1.92,3.383514,0.000000,51.937806,0.00,31.581603,1.292867,2.581807,0.71,0.000000,0.00,2.307991,1.867362,1.82,0.000000,0.000000,1.67,0.000000,4.102703,0.799281,0.23,2.860953,0.00,0.40,0.000000,7.57,17.477986,0.84,425.600354,2.10,10.839401,0.000000,25.975960,0,0,0,0,0

