Column1,Time,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/9257,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7663,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/2868,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791
1,00:00-00:15,0,0,0,0,0,0,0,0,10.8,116.04,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,16.76,9.75,29.5,130.85,29.2,0,6.29,87.26,28.77,0,16.48,100.78,20,60,20,16.67,0,0,0,0,0,0,0,28.01,48.37,24.18,11.92,62.88,11.93,15.33

2,00:15-00:30,0,0,0,0,0,0,0,0,10.8,116.04,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,16.76,9.75,29.5,130.85,29.2,0,6.29,87.26,29.27,0,16.48,100.78,19.67,58.99,19.67,16.33,0,0,0,0,0,0,0,27.81,48.37,24.18,11.92,62.88,11.93,15.33

3,00:30-00:45,0,0,0,0,0,0,0,0,10.8,116.04,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,23.13,9.75,23.13,130.85,29.2,0,6.29,87.26,29.78,0,16.48,100.78,21.66,65,21.67,16,0,0,0,0,0,0,0,24.01,48.37,24.18,11.92,62.88,11.93,15.33

4,00:45-01:00,0,0,0,0,0,0,0,0,10.8,116.04,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,23.13,9.75,23.13,130.85,29.2,0,6.29,87.26,29.78,0,16.48,100.78,19.66,59,19.67,15.67,0,0,0,0,0,0,0,23.61,48.37,24.18,11.92,62.88,11.93,15.33

5,01:00-01:15,0,0,0,0,0,0,0,0,10.8,107.51,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,23.13,9.75,23.13,102.99,29.2,0,6.29,67.26,29.27,0,16.39,100.78,10,30,10,7.33,0,0,0,0,0,0,0,23.01,48.37,24.18,11.92,62.88,11.93,15.33

6,01:15-01:30,0,0,0,0,0,0,0,0,10.8,98.97,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,23.13,9.75,23.13,130.85,29.2,0,6.29,73.3,29.27,0,16.39,100.78,10,30,10,7.33,0,0,0,0,0,0,0,22.41,48.37,24.18,11.92,62.88,11.93,15.33

