Column1,Block,NR/2025/32375/A/94116,NR/2025/31041/A/94247,NR/2025/32598/A/94184,NR/2025/32559/A/94097,NR/2025/31042/A/94248,NR/2025/32262/A/93726,NR/2025/32554/A/94069,NR/2025/32887/C,NR/2025/32610/A/94096,NR/2025/32893/C,NR/2025/29992/A/93759,NR/2025/32004/A/94101,NR/2025/32702/A/93783,NR/2025/32894/C,NR/2025/31421/A/94120,NR/2025/32455/A/94090,NR/2025/32895/C,NR/2025/32556/A/94098,NR/2025/29440/A/93711,NR/2025/32397/A/93655,NR/2025/31046/A/94249,NR/2025/32884/C,NR/2025/32872/C,NR/2025/31047/A/94250,NR/2025/32911/C,NR/2025/32532/A/94052,NR/2025/32858/C,NR/2025/32880/C,NR/2025/32532/A/94053,NR/2025/32880/C/Alternate/1,NR/2025/32855/C,NR/2025/32534/A/94054,NR/2025/32534/A/94055,NR/2025/32652/A/93855,NR/2025/32535/A/94056,NR/2025/32653/A/93854,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/94057,NR/2025/32599/A/94066,NR/2025/32889/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,Total
,,NVVNL,PowerPulse,PTC,APPCPL,PowerPulse,TPTCL,PowerPulse,PowerPulse,APPCPL,APPCPL,BYPL,APPCPL,DIAPL,APPCPL,NVVNL,MANIKARAN,APPCPL,APPCPL,ITCLH,IEXL,PowerPulse,NVVNL,APPCPL,PowerPulse,BYPL,ABLWM1_AEROCITY,PowerPulse,NVVNL,ABLWM1_AEROCITY,NVVNL,GMRETL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,GMRETL,SECI_Trader,OIDLWM3_AEROCITY,BRPL,MES_Delhi,MANIKARAN,MANIKARAN,APPCPL,NVVNL,PUNJAB,MANIKARAN,NDMC,APPCPL,DELHI,PowerPulse,MANIKARAN,NDMC,BAWANA_GAS,NDMC,
,,MP_State,NA,GoHP_NJPC_STATE,NA,NA,MSEB_State,NA,NA,NA,NA,KERALA_State,MSEB_State,HIMACHAL_STATE,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,MSEB_State,NA,MP_State,MSEB_State,NA,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,NA,DELHI_UT,MSEB_State,NA,GOA_State,HIMACHAL_STATE,MSEB_State,MP_State,NA,DELHI_UT,NA,
,,JP_BINA,MAHAN_ENERGEN,GoHP_NJPC,RKM_POWER,MAHAN_ENERGEN,TPC_MSEB,APL_Raipur_TPP,APL_Raigarh_TPP,RKM_POWER,RKM_POWER,KSEB,AEML,GBHHPL,JPL2,JPNIGRIE_JNSTPP,MBMP,RKM_POWER,JPL2,ITCWIND,A_A_Energy_MH_Bio,APL_Raigarh_TPP,JP_BINA,AEML,APL_Raigarh_TPP,KSEB,TESPL_BKN2,APL_Raipur_TPP,Kameng,TCSPL_BKN2,Kameng,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TS1PL_BKN,NTPCREL_PSS2_KPS2_S,DBPL,MBMP,GOA_Beneficiary,JHABUA_IPP,BAWANA_GAS,AEML,TRN_ENERGY,GOA_Beneficiary,CHANJUII,Vidarbha_Industry_MH,BLAPOWER_MP,JIPL,BAWANA_GAS,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,
,,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BYPL,BRPL,TPDDL,NDMC,NDMC,BYPL,BYPL,DIAPL,NDMC,TPDDL,BRPL,NDMC,NDMC,ITCLH,MES_Delhi,TPDDL,TPDDL,BYPL,TPDDL,BYPL,ABLWM1_AEROCITY,BRPL,TPDDL,ABLWM1_AEROCITY,TPDDL,MAX_HPTL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,BLKMH,OIDLWM3_AEROCITY,DTCP,TPDDL,OIDLWM3_AEROCITY,BRPL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,NDMC,HARYANA,NDMC,
,,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North East-East-North,North-North,North East-East-West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,East-North,North-North,West-North,
1,00:00-00:15,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.87,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1160.1200000000001

2,00:15-00:30,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.87,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1160.1200000000001

