Time,Block,NR/2024/21150/A/29373,NR/2024/21158/A/29377,NR/2024/20931/A/29522,NR/2024/21141/A/29324,NR/2024/21113/A/29613,NR/2024/22038/C,NR/2024/21099/A/29322,NR/2024/21186/A/29624,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22031/C,NR/2024/21160/A/29374,NR/2024/21148/A/29372,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/22036/C,NR/2024/21153/A/29375,NR/2024/20966/A/29274,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/29342,NR/2024/22024/C,NR/2024/21173/A/29381,NR/2024/21072/A/29615,NR/2024/22023/C,NR/2024/21227/A/29590,NR/2024/21062/A/29570,NR/2024/22032/C,NR/2024/21339/A/29315,NR/2024/22029/C,NR/2024/21682/A/29600,NR/2024/21146/A/29371,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21567/A/29612,NR/2024/20688/A/29383,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/20573/A/29572,NR/2024/22030/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/29320,NR/2024/21156/A/29378,NR/2024/21108/A/29587,NR/2024/21238/A/29632,NR/2024/19779/A/29453,NR/2024/21023/A/29343,NR/2024/21159/A/29376,NR/2024/20574/A/29571,NR/2024/21210/A/29318,NR/2024/21144/A/29341,NR/2024/21103/A/29592,NR/2024/21075/A/29631,NR/2024/21152/A/29273,NR/2024/21076/A/29628,NR/2024/21087/A/29382,NR/29072024/29072024/DD20240729NR25886,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21096/A/29596,NR/2024/20711/A/29601,NR/2024/21978/A/29503,NR/30092023/26122029/SH-06,NR/01072024/31072024/R2,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/29629,NR/2024/21089/A/29614,NR/2024/22025/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
,,BAL234,MSSH,AEL,TPTCL,NVVNL,IEXL,TPTCL,NVVNL,APPCPL,DELHI,HPXL,BMDRC,BAL224,TPTCL,PXIL,JHPL-DL,IEXL,MEJA,INSTINCT,INSTINCT,NVVNL,GMRETL,NVVNL,NVVNL,APPCPL,PTC,IEXL,TPTCL,IEXL,TPDDL,BAL184,NDMC,NVVNL,GMRETL,TPDDL,PTC,IEXL,INSTINCT,TPTCL,UHL,APPCPL,MANIKARAN,ITCLH,INSTINCT,MHIL,PTC,TPTCL,DTCP,APPCPL,MANIKARAN,IEXL,MANIKARAN,GMRETL,PXIL,TPTCL,BAWANA_GAS,NDMC,APPCPL,TPDDL,DIAPL,PUNJAB,PTC,AEL,MANIKARAN,NVVNL,NVVNL,SECI_Trader,SECI_Trader,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,MP,NA,MP,ARUNACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTAR PRADESH,MAHARASHTRA,MAHARASHTRA,NA,ODISHA,NA,NA,NAGALAND,NA,NA,NA,KARNATAKA,NA,HIMACHAL PRADESH,NA,NA,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,TAMIL NADU,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,UTTARAKHAND,GOA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,DELHI,NA,KERALA,NA,HIMACHAL PRADESH,DELHI,NA,NA,MP,NA,NA,NA,NA,
,,SHPPBPL,SHPPBPL,APL_Raigarh TPP,TPC MSEB,JPL-2,Continuum_WFDPL_MP,ACBIL,JP BINA,Arunachal_Ben,MSEB_Beneficiary,GBHHPL,SHPPBPL,SHPPBPL,JITPL,SKS Raigarh,SHPPBPL,A_A_Energy_MH_Bio,MEJA,JPL_DHULE,JPL_DHULE,KAMENG,GMRKEL (STU),RKM_POWER,SORANG_HEP,Nagaland_Ben,SEILP2,MCCPL,JITPL,JSWEL,JHAJJAR,SHPPBPL,SKS Raigarh,TRN_ENERGY,RUVNL,CHANJUII,HP,RKM_POWER,JPL,HP-GOVT,SHPPBPL,Manipur_Ben,MMS STEEL TN,ITCWIND,JPL,SHPPBPL,HP,SIMHAPURI,SHPPBPL,UTTARAKHAND,GOA_Beneficiary,NHCPL_HP,AEML,GBHHPL,SKS Raigarh,MPL,BAWANA_GAS,JITPL,KSEB,JPL-2,GBHHPL,BAWANA_GAS,SEILP2,APL_Raigarh TPP,BLAPOWER_MP,RKM_POWER,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BAL234,MSSH,BRPL,BYPL,NDMC,BRPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BMDRC,BAL224,BRPL,BRPL,JHPL-DL,MES (Delhi),DELHI,BRPL,BRPL,TPDDL,BRPL,NDMC,TPDDL,BYPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BAL184,NDMC,NDMC,BYPL,TPDDL,BRPL,BRPL,BRPL,BRPL,UHL,BRPL,BRPL,ITCLH,BRPL,MHIL,BYPL,BRPL,DTCP,BYPL,BRPL,MES (Delhi),BYPL,BRPL,BRPL,TPDDL,HARYANA,NDMC,BYPL,TPDDL,DIAPL,PUNJAB,BRPL,BRPL,BRPL,NDMC,MES (Delhi),BYPL,TPDDL,
,,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,East-North,West-East-North,North-North,West-North,North-North,West-North,West-North,North East-East-North,East-North,West-North,North-North,North East-East-North,South-East-North,West-North,East-North,South-East-West-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North East-East-North,South-West-North,South-West-North,West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,East-North,North-North,East-North,South-West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0.880000,0.670000,0.000000,47.640000,37.210000,14.060000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.630000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2360.59

2,00:15-00:30,0.880000,0.670000,0.000000,47.640000,37.210000,14.790000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.630000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2361.32
