Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30082/A/92244,NR/2025/30067/A/92232,NR/2025/32370/C,NR/2025/29440/A/91729,NR/2025/30086/A/92220,NR/2025/30083/A/92222,NR/2025/32371/C,NR/2025/30084/A/92221,NR/2025/29910/A/92225,NR/2025/29353/A/91950,NR/2025/32344/C,NR/2025/29992/A/91829,NR/2025/27975/A/92246,NR/2025/32345/C,NR/2025/27973/A/92247,NR/2025/32321/C,NR/2025/30105/A/92219,NR/2025/32367/C/Alternate/1,NR/2025/29352/A/92259,NR/2025/30121/A/91718,NR/2025/32373/C,NR/2025/32367/C,NR/2025/30101/A/92253,NR/2025/32374/C,NR/2025/32385/C,NR/2025/29915/A/91737,NR/2025/32325/C,NR/2025/32386/C,NR/2025/31780/A/92147,GNA/NR/2025/07/01/8139,NR/2025/32387/C,NR/2025/29167/A/91738,NR/2025/32389/C,NR/2025/32284/C,NR/2025/30217/A/92218,NR/2025/29628/A/92228,NR/2025/29439/A/91830,NR/2025/32343/C,NR/2025/32390/C,NR/2025/32318/C,NR/2025/30191/A/91699,NR/2025/27966/A/92249,NR/2025/28728/A/92161,NR/2025/31870/A/91791,NR/2025/32280/C,NR/2025/27978/A/92257,NR/2025/27965/A/92251,NR/2025/32379/C,NR/2025/31137/A/92187,NR/2025/31136/A/92182,NR/2025/31138/A/92189,NR/2025/29985/A/92149,NR/2025/31420/A/91922,NR/2025/31137/A/92186,NR/2025/31138/A/92188,NR/2025/31347/A/91698,NR/2025/31419/A/91924,NR/2025/31136/A/92183,GNA/NR/2025/07/01/8154,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,SECI_Trader,HPXL,MANIKARAN,NVVNL,ITCLH,APPCPL,APPCPL,NVVNL,APPCPL,APPCPL,PTC,PowerPulse,BYPL,PowerPulse,PowerPulse,PowerPulse,PowerPulse,APPCPL,NVVNL,PTC,IEXL,APPCPL,NVVNL,NVVNL,APPCPL,APPCPL,TPTCL,BYPL,APPCPL,BRPL,PowerPulse,APPCPL,TPTCL,APPCPL,IEXL,APPCPL,APPCPL,IVPL_Trader,ITCLH,APPCPL,HPXL,IEXL,PowerPulse,PowerPulse,DIAPL,IEXL,NVVNL,PowerPulse,MES_Delhi,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BRPL,GMRETL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,IEXL,GMRETL,ABLWM1_AEROCITY,MANIKARAN,BAWANA_GAS,APPCPL,PowerPulse,PowerPulse,PowerPulse,PTC,APPCPL,NDMC,PUNJAB,DELHI,
,,NA,NA,NA,MP_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,KERALA_State,GoHP_NJPC_STATE,NA,KERALA_State,NA,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,TAMILNADU_State,MSEB_State,NA,MP_State,KERALA_State,NA,UTTARPRADESH_STATE,KERALA_State,NA,NA,NA,NA,MSEB_State,NA,TAMILNADU_State,NA,MSEB_State,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,DELHI_UT,GOA_State,NA,NA,NA,NA,GOA_State,NA,DELHI_UT,HIMACHAL_STATE,
,,APSEPL_FTG,SKS_Raigarh,MBMP,JP_BINA,ITCWIND,RKM_POWER,SKS_Raigarh,JPNIGRIE_JNSTPP,RKM_POWER,KSEB,GoHP_NJPC,APL_Raigarh_TPP,KSEB,APL_Raigarh_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,APL_Raipur_TPP,JIPL,Kameng,GoHP_Chamera1,PCBLTNLTD_UNIT2,AEML,Kameng,JP_BINA,KSEB,SKS_Raigarh,PPGCL,KSEB,RKM_POWER,DADRT2,APL_Raipur_TPP,JIPL,TPC_MSEB,TRN_ENERGY,PCBLTNLTD_UNIT2,TRN_ENERGY,AEML,TPC_MSEB,ITCWIND,RKM_POWER,SKS_Raigarh,IND_BHARAT,MAHAN_ENERGEN,APL_Raipur_TPP,GBHHPL,IND_BHARAT,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TS1PL_BKN,JNEPL_BKN2,TESPL_BKN2,TESPL_BKN2,TPSL_BKN2,JNEPL_BKN2,TCSPL_BKN2,AEML,BAWANA_GAS,GOA_Beneficiary,APL_Raipur_TPP,APL_Raigarh_TPP,MAHAN_ENERGEN,MEENAKSHI,GOA_Beneficiary,JPL2,BAWANA_GAS,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,TPDDL,BRPL,BRPL,TPDDL,ITCLH,NDMC,NDMC,TPDDL,NDMC,BYPL,BRPL,TPDDL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BRPL,MES_Delhi,BYPL,TPDDL,TPDDL,BYPL,NDMC,BRPL,BYPL,NDMC,BRPL,BRPL,NDMC,BYPL,NDMC,MES_Delhi,NDMC,BYPL,BYPL,ITCLH,NDMC,BRPL,BRPL,TPDDL,BRPL,DIAPL,BRPL,TPDDL,TPDDL,MES_Delhi,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BRPL,BLKMH,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,DTCP,ABLWM1_AEROCITY,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,PUNJAB,TPDDL,
,,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,East-North,North East-East-West-North,North-North,South-West-North,West-North,North East-East-North,West-North,South-West-North,West-North,North-North,South-West-North,West-North,North-North,West-North,East-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,North-North,East-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,South-East-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,48.06,204.23,0,0.91,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,122.39,28.59,6.73,0,69.83,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,23.56,15.23,81.69,134.79,163.39,49.02,19.22,43.68,23.56,18.21,2021.0699999999997

2,00:15-00:30,0,48.06,204.23,0,0.91,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,110.32,28.59,6.73,0,81.9,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,23.56,15.23,81.69,134.79,163.39,49.02,19.22,43.68,23.56,18.21,2021.0699999999997

