Block,Time,CHAMERA3,KHSTPP-II,KUDGI,NLCEXP,PARBATI2,RIHAND2,SEWA2,SINGRAULI_HYDRO,AURY_CRF,AURY_LF,CHAMERA1,NAPP,SIMHST1,TEHRIPSP,VALLURNTECL,KOLDAM,NTPL,PARBATI3,SASAN,URI,ANTA_RF,DADRI_CRF,DHAULIGNGA,KGSU3AND4,KISHANGANGA,RAPPD,TALST2,TANDA2,TelanganaSTPP,UNCHAHAR1,AURY_GF,AURY_RF,BSIUL,KKNPPU2,MAPS,NLCTS2EXP,NNTPP,RAPPB,RAPPC,RSTPSU7,SALAL,TANAKPUR,UNCHAHAR2,UNCHAHAR4,DADRI_LF,DADRI_RF,DADRT2,FSTPP I & II,KGSU1AND2,KOTESHWR,RIHAND1,SINGRAULI,URI2,ANTA_CRF,ANTA_LF,DADRI_GF,BRBCL,CHAMERA2,DULHASTI,JHAJJAR,NJPC,NLCIIST1,NLCIIST2,RAMPUR,TALA,UNCHAHAR3,KHSTPP-I,KKNP,RIHAND3,RSTPSU1TO6,SIMHST2,TEHRI,ANTA_GF
1,00:00-00:15,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,52.36,49.95,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

2,00:15-00:30,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,52.36,49.95,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

3,00:30-00:45,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,30.91,49.95,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

4,00:45-01:00,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,30.91,49.95,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

5,01:00-01:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,30.91,51.27,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

6,01:15-01:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,33.12,51.27,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

7,01:30-01:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,33.12,51.27,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

8,01:45-02:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,33.12,51.27,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

9,02:00-02:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,33.12,51.93,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

10,02:15-02:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,33.12,51.93,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

