Block,Time,BRBCL,NJPC,SEWA2,SINGRAULI_HYDRO,UNCHAHAR1,DADRT2,JHAJJAR,KISHANGANGA,KUDGI,NTPL,RAPPB,RSTPSU7,TEHRIPSP,UNCHAHAR3,ANTA_RF,DADRI_CRF,CHAMERA1,KGSU1AND2,KHSTPP-I,KKNPPU2,KOLDAM,NLCIIST2,NLCTS2EXP,URI2,FSTPP I & II,KGSU3AND4,MAPS,NAPP,RAMPUR,UNCHAHAR4,VALLURNTECL,ANTA_CRF,AURY_LF,CHAMERA3,DHAULIGNGA,NNTPP,RSTPSU1TO6,SALAL,SINGRAULI,AURY_RF,DADRI_GF,BSIUL,CHAMERA2,DULHASTI,KOTESHWR,NLCIIST1,RAPPD,RIHAND1,RIHAND3,SIMHST2,TANDA2,UNCHAHAR2,URI,ANTA_GF,ANTA_LF,DADRI_LF,KHSTPP-II,PARBATI2,TEHRI,AURY_GF,DADRI_RF,KKNP,NLCEXP,PARBATI3,RAPPC,RIHAND2,SASAN,SIMHST1,TALA,TALST2,TANAKPUR,TelanganaSTPP,AURY_CRF
1,00:00-00:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,37.42,13.9,0,0,23.98,5.67,1.16,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,3.33,45,52.36,0,0,0,98.87,38.7,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.05,0,13.06,0,0

2,00:15-00:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,37.42,14.6,0,0,23.98,5.67,1.16,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,2.83,45,52.36,0,0,0,98.87,38.7,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.09,0,13.06,0,0

3,00:30-00:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,37.42,14.6,0,0,23.98,5.67,1.16,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,3.13,45,52.36,0,0,0,98.87,38.7,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.11,0,13.06,0,0

4,00:45-01:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,1.16,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,3.13,45,37.53,0,0,0,98.87,38.7,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.11,0,13.06,0,0

5,01:00-01:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.34,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,52.07,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.25,0,13.06,0,0

