Time,Block,NR/2023/16486/D,NR/2023/16494/C,NR/2023/15402/F,NR/2023/14898/A,NR/2023/16507/C,NR/2023/14745/A,NR/2023/16508/C,NR/2023/14737/A,NR/2023/16535/C,NR/2023/16190/F,NR/2023/12053/A,NR/2023/13635/A,NR/2023/16483/D,NR/2023/16515/C,NR/2023/15309/F,NR/2023/13862/A,NR/2023/14895/A,NR/2023/12167/A,NR/2023/12591/A,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/16502/C,NR/2023/16471/D,NR/2023/15057/F,NR/2023/12347/A,NR/2023/12422/A,NR/2023/16487/D,NR/2023/16476/D,NR/2023/14746/A,SR/2023/9052/C,NR/2023/16501/C,ER/2023/10267/C,SR/2023/9012/C,Total
,,SJVNL,GBHHPL,SJVNL,MANIKARAN,PXIL,APPCPL,HPXL,NVVNL,HPXL,NVVNL,KEIPL,NVVNL,KEIPL,IEXL,IEXL,MANIKARAN,MANIKARAN,APPCPL,NVVNL,APPCPL,NVVNL,KEIPL,TPTCL,GMRETL,TPDDL,IEXL,ITCLH,STATKRAFT,APPCPL,NVVNL,KEIPL,APPCPL,IEXL,SJVNL,HPXL,HPXL,Total

,,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,DELHI,GOA,NA,NA,NA,NA,MEGHALAYA,NA,ODISHA,NA,JAMMU AND KASHMIR,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,NA,UTTARAKHAND,NA,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,DELHI,NA,DELHI,DELHI,
,,DIKCHU,GBHHPL,BCMLB001,HP,BYPL,GOA_Beneficiary,SCLTPS,SKS Raigarh,JHABUA_IPP,KAMENG,Meghalaya_Ben,KAMENG,MAITHAN_ISPAT,Teesta_III,SAPU1234,TANGEDCO,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,UTTARAKHAND,JPNIGRIE_JNSTPP,Meghalaya_Ben,JPL-2,Meghalaya_Ben,CHANJUII,OPGPGPLU4TN,ITCWIND,TANGEDCO,HP,SOLAPUR_SOLAR,LAPL-UP,HP,BYPL,RSRPL_BKN,BYPL,BYPL,
,,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,ODISHA,TELANGANA,
,,NDMC,DIAPL,NDMC,BRPL,NPCL(UP),BRPL,BRPL,NDMC,BYPL,TPDDL,BYPL,BRPL,BYPL,BRPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,BYPL,TPDDL,BRPL,ITCLH,BYPL,BYPL,MES (Delhi),BYPL,BRPL,TANGEDCO,NDMC,VLSEZ,TSSPDCL,
,,East-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,North East-East-North,North East-East-North,North East-East-North,East-North,East-North,North-North,South-East-North,North-North,North East-East-North,West-North,North-North,West-North,North East-East-North,West-North,North East-East-North,North-North,South-East-North,South-West-North,South-West-North,North-North,West-North,North-North,North-North,North-East-South,North-North,North-East,North-East-South,
1,00:00-00:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.870000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,50.000000,0.00,1490.44

2,00:15-00:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.870000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,50.000000,0.00,1490.44

3,00:30-00:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.870000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,50.000000,0.00,1490.44

4,00:45-01:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.870000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,50.000000,0.00,1490.44

