Block,Time,CHAMERA2,DADRT2,DULHASTI,KHSTPP-II,KOTESHWR,NLCIIST1,NLCIIST2,NLCTS2EXP,RAMPUR,RIHAND2,SINGRAULI_HYDRO,TALA,KGSU3AND4,RAPPB,AURY_GF,DADRI_GF,DADRI_LF,DADRI_RF,BSIUL,CHAMERA1,CHAMERA3,NJPC,NLCEXP,RIHAND1,RIHAND3,SASAN,TANDA2,UNCHAHAR4,VALLURNTECL,ANTA_LF,AURY_LF,KGSU1AND2,KHSTPP-I,KKNP,KUDGI,NAPP,NNTPP,SEWA2,SIMHST2,TALST2,TANAKPUR,TEHRI,TelanganaSTPP,URI2,KKNPPU2,RSTPSU1TO6,RSTPSU7,ANTA_RF,JHAJJAR,KISHANGANGA,KOLDAM,NTPL,PARBATI3,RAPPC,SALAL,UNCHAHAR3,URI,ANTA_GF,AURY_CRF,DADRI_CRF,BRBCL,DHAULIGNGA,FSTPP I & II,MAPS,SIMHST1,SINGRAULI,UNCHAHAR1,UNCHAHAR2,ANTA_CRF,AURY_RF
1,00:00-00:15,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,7.81,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,3.31,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

2,00:15-00:30,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,7.81,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

3,00:30-00:45,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,7.81,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

4,00:45-01:00,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,7.81,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

5,01:00-01:15,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,7.81,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

6,01:15-01:30,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,7.81,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

7,01:30-01:45,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

8,01:45-02:00,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

9,02:00-02:15,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

10,02:15-02:30,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

11,02:30-02:45,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.62,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

12,02:45-03:00,0,683.14,0,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

13,03:00-03:15,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

14,03:15-03:30,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

15,03:30-03:45,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

16,03:45-04:00,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

17,04:00-04:15,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

18,04:15-04:30,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,44.84,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

19,04:30-04:45,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,0,0,4.31,0,0,0,45.04,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

20,04:45-05:00,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,15.56,0,4.31,0,0,0,45.04,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

21,05:00-05:15,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,15.56,0,4.31,0,0,0,45.04,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

22,05:15-05:30,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,31.13,0,4.31,0,0,0,45.04,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

23,05:30-05:45,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,0,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,31.13,0,4.31,0,0,0,45.04,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

24,05:45-06:00,0,683.14,16.48,148.3,8.87,0,0,0,0,118.76,0,0,0,0,0,0,23.56,69.05,0,0,0,18.94,0,92,124.33,418.77,0,0,0,0,0,0,33.69,0,0,44,0,0,0,0,2.05,31.13,0,4.31,0,0,0,45.04,651.98,0,0,0,0,53.8,1.4,26.4,0.66,0,0,0,20,0,20.8,0,0,138.75,10.28,42.39,0,53.75

