Column1,Block,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,NR/2024/23115/A/37949,NR/2024/23116/A/37950,NR/2024/23185/C,NR/2024/22874/A/38184,NR/2024/23017/A/37956,NR/2024/23121/A/38178,NR/2024/22803/A/38185,NR/2024/23187/C,NR/2024/23038/A/37879,NR/2024/23189/C,NR/2024/21658/A/37894,NR/2024/23119/A/38177,NR/2024/23183/C,GNA/NR/2024/09/01/7908,NR/2024/22848/A/38151,NR/2024/23118/A/38176,NR/2024/22754/A/38121,NR/2024/22820/A/37885,NR/2024/22835/A/38195,GNA/NR/2024/09/01/6020,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,NR/2024/23122/A/38182,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,Total
,,PTC,DELHI,APPCPL,TPTCL,PUNJAB,SJVNL,SJVNL,NVVNL,NVVNL,DIAPL,NVVNL,NVVNL,NVVNL,IEXL,NVVNL,ITCLH,NVVNL,TPDDL,MANIKARAN,APPCPL,NVVNL,PTC,IEXL,MANIKARAN,INSTINCT,DELHI,JITPL,NVVNL,BAWANA_GAS,MANIKARAN,
,,HIMACHAL_STATE,NA,Arunachal_State,NA,DELHI_UT,NA,NA,NA,MP_State,HIMACHAL_STATE,NA,NA,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,NA,MP_State,UTTARAKHAND_STATE,NA,HIMACHAL_STATE,KARNATAKA_STATE,MSEB_State,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,ODISHA_STATE,
,,HP,SKS_Raigarh,Arunachal_Ben,JITPL,BAWANA_GAS,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,JP_BINA,GBHHPL,RKM_POWER,JPNIGRIE_JNSTPP,Kameng,A_A_Energy_MH_Bio,SORANG_HEP,ITCWIND,RKM_POWER,JHAJJAR,BLAPOWER_MP,UTTARAKHAND,TRN_ENERGY,HP,NSLSUGAR,AEML,JPL2,CHANJUII,JITPL,JPL2,BAWANA_GAS,MAADURGA_THERMAL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,
,,BRPL,NDMC,BRPL,BRPL,PUNJAB,NDMC,NDMC,MES_Delhi,TPDDL,DIAPL,NDMC,TPDDL,TPDDL,MES_Delhi,TPDDL,ITCLH,NDMC,TPDDL,BRPL,BYPL,NDMC,BYPL,MES_Delhi,BYPL,BRPL,TPDDL,NDMC,NDMC,HARYANA,BRPL,
,,North-North,West-North,North East-East-North,East-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,South-West-North,West-North,North-North,West-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North-North,East-North,West-North,North-North,East-North,
1,00:00-00:15,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.87,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.84,17.52,26.43,32,2.13,1025.36

2,00:15-00:30,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.87,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.84,17.52,26.43,32,2.13,1025.36

3,00:30-00:45,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.87,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.84,17.52,26.43,0,2.13,993.3599999999999

4,00:45-01:00,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.87,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.84,17.52,26.43,0,2.13,993.3599999999999

5,01:00-01:15,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.66,17.52,26.43,0,2.13,992.9899999999998

6,01:15-01:30,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.66,17.52,26.43,0,2.13,992.9899999999998

7,01:30-01:45,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.66,17.52,26.43,0,2.13,992.9899999999998

8,01:45-02:00,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.66,17.52,26.43,0,2.13,992.9899999999998

