Block,Time,LT-59,L_NR_2019_19,L_NR_2023_04,L_NR_2012_04,L_NR_2019_11,L_NR_2020_07,L_NR_2020_05,L_NR_2021_16,L_NR_2021_15,L_NR_2012_02,L_NR_2018_61,L_NR_2012_01,LT-36,L_NR_2023_07,L_NR_2021_12,SH-07,LT-05,L_NR_2019_07,L_NR_2022_09,L_NR_2022_08,LT-31,L_NR_2020_06,L_NR_2023_10,L_NR_2020_02,L_NR_2021_13,L_NR_2012_07,L_NR_2021_17,SH-06,LT-35,L_NR_2019_06,L_NR_2022_10,L_NR_2019_05,L_NR_2021_14
1,00:00-00:15,5.710000,0,28.490000,269.920000,5.190000,11.56,34.71,0,0,259.690000,16.17,100.530000,0.000000,0,0,25.910000,115.160000,0,33.46,11.1,0.000000,11.57,0,5.080000,0,73.590000,0,25.910000,0.000000,0,33.46,0,0

2,00:15-00:30,5.710000,0,28.490000,269.920000,5.190000,11.66,34.98,0,0,259.690000,24.12,100.530000,0.000000,0,0,25.910000,115.160000,0,33.2,11.21,0.000000,11.66,0,5.080000,0,73.590000,0,25.910000,0.000000,0,33.2,0,0

3,00:30-00:45,5.710000,0,28.490000,269.920000,5.190000,11.75,35.22,0,0,259.690000,23.94,100.530000,0.000000,0,0,25.830000,115.160000,0,33.46,11.23,0.000000,11.74,0,5.080000,0,73.590000,0,25.830000,0.000000,0,33.46,0,0

4,00:45-01:00,5.710000,0,28.490000,269.920000,5.190000,11.82,35.51,0,0,259.690000,23.74,100.530000,0.000000,0,0,25.830000,115.160000,0,33.07,11.26,0.000000,11.84,0,5.080000,0,73.590000,0,25.830000,0.000000,0,33.07,0,0

5,01:00-01:15,5.400000,0,28.490000,269.920000,5.190000,11.93,35.81,0,0,235.050000,23.54,100.530000,0.000000,0,0,25.830000,115.160000,0,32.66,11.51,0.000000,11.94,0,5.080000,0,64.490000,0,25.830000,0.000000,0,32.66,0,0

6,01:15-01:30,5.400000,0,28.490000,269.920000,5.190000,12.03,36.12,0,0,230.250000,23.27,100.530000,0.000000,0,0,25.830000,115.160000,0,32.43,11.37,0.000000,12.04,0,5.080000,0,64.490000,0,25.830000,0.000000,0,32.43,0,0

7,01:30-01:45,5.400000,0,28.490000,269.920000,5.190000,12.16,36.51,0,0,224.490000,23.1,100.530000,0.000000,0,0,25.830000,115.160000,0,32.8,11.34,0.000000,12.17,0,5.080000,0,64.490000,0,25.830000,0.000000,0,32.8,0,0

8,01:45-02:00,5.400000,0,28.490000,269.920000,5.190000,13.16,39.43,0,0,224.490000,22.86,100.530000,0.000000,0,0,25.830000,115.160000,0,34.92,9.31,0.000000,13.14,0,5.080000,0,64.490000,0,25.830000,0.000000,0,34.92,0,0

9,02:00-02:15,5.520000,0,28.490000,269.920000,4.960000,13.23,39.69,0,0,224.490000,23.19,100.530000,0.000000,0,0,25.830000,115.160000,0,34.66,9.5,0.000000,13.23,0,4.980000,0,64.490000,0,25.830000,0.000000,0,34.66,0,0

10,02:15-02:30,5.520000,0,28.490000,269.920000,4.960000,13.32,39.97,0,0,224.490000,23.4,100.530000,0.000000,0,0,25.830000,115.160000,0,34.42,9.53,0.000000,13.32,0,4.980000,0,64.490000,0,25.830000,0.000000,0,34.42,0,0

11,02:30-02:45,5.520000,0,28.490000,269.920000,4.960000,13.42,40.28,0,0,224.490000,23.74,100.530000,0.000000,0,0,25.830000,115.160000,0,34.43,9.56,0.000000,13.43,0,4.980000,0,64.490000,0,25.830000,0.000000,0,34.43,0,0

12,02:45-03:00,5.520000,0,28.490000,269.920000,4.960000,13.5,40.51,0,0,224.490000,23.52,100.530000,0.000000,0,0,25.830000,115.160000,0,41.55,9.72,0.000000,13.5,0,4.980000,0,64.490000,0,25.830000,0.000000,0,41.55,0,0

13,03:00-03:15,5.520000,0,29.450000,269.920000,4.960000,13.5,40.49,0,0,224.490000,22.8,100.530000,0.000000,0,0,25.830000,94.090000,0,41.32,9.66,0.000000,13.49,0,4.980000,0,64.490000,0,25.830000,0.000000,0,41.32,0,0

14,03:15-03:30,5.520000,0,29.450000,269.920000,4.960000,13.49,40.44,0,0,224.490000,29.11,100.530000,0.000000,0,0,25.830000,65.860000,0,41.09,9.43,0.000000,13.48,0,4.980000,0,64.490000,0,25.830000,0.000000,0,41.09,0,0

15,03:30-03:45,5.520000,0,29.450000,269.920000,4.960000,14.18,42.52,0,0,224.490000,28.55,100.530000,0.000000,0,0,25.830000,65.860000,0,40.79,11.16,0.000000,14.17,0,4.980000,0,64.490000,0,25.830000,0.000000,0,40.79,0,0

