Block,Time,L_NR_2012_07,SH-06,LT-31,LT-35,LT-59,SH-07,LT-36,L_NR_2012_01,L_NR_2020_02,LT-05,L_NR_2023_04,L_NR_2012_04,L_NR_2012_02,L_NR_2019_11,L_NR_2020_06,L_NR_2021_14,L_NR_2023_07,L_NR_2020_05,L_NR_2018_61,L_NR_2023_10,L_NR_2019_07,L_NR_2019_19,L_NR_2021_12,L_NR_2021_16,L_NR_2020_07,L_NR_2021_15,L_NR_2021_13,L_NR_2021_17,L_NR_2022_08,L_NR_2022_10,L_NR_2022_09,L_NR_2019_06,L_NR_2019_05
1,00:00-00:15,64.920000,30.910000,0.000000,0.000000,0.000000,30.910000,0.000000,0.000000,11.890000,94.740000,29.860000,271.690000,225.970000,0.000000,34.79,0,0,104.37,21.97,0,0,0,0,0,34.79,0,0,0,35.72,74.07,74.07,0,0

2,00:15-00:30,64.920000,30.910000,0.000000,0.000000,0.000000,30.910000,0.000000,0.000000,11.890000,94.740000,29.860000,271.690000,225.970000,0.000000,34.78,0,0,104.35,21.57,0,0,0,0,0,34.79,0,0,0,36.21,74,74,0,0

3,00:30-00:45,64.920000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,94.740000,30.830000,271.690000,225.970000,0.000000,34.57,0,0,103.71,26.53,0,0,0,0,0,34.56,0,0,0,35.89,76.75,76.75,0,0

4,00:45-01:00,64.920000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,94.740000,29.860000,271.690000,225.970000,0.000000,34.31,0,0,102.92,26.67,0,0,0,0,0,34.29,0,0,0,35.98,76.33,76.33,0,0

5,01:00-01:15,64.920000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,29.860000,271.690000,225.970000,0.000000,34.54,0,0,103.61,26.82,0,0,0,0,0,34.53,0,0,0,35.78,75.8,75.8,0,0

6,01:15-01:30,64.920000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,30.830000,271.690000,225.970000,0.000000,36.67,0,0,110.01,26.72,0,0,0,0,0,36.67,0,0,0,35.45,75.22,75.22,0,0

7,01:30-01:45,46.880000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,29.860000,271.690000,225.970000,0.000000,36.43,0,0,109.29,27.17,0,0,0,0,0,36.43,0,0,0,35.33,74.12,74.12,0,0

8,01:45-02:00,46.880000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,29.860000,271.690000,225.970000,0.000000,36.06,0,0,108.18,27.68,0,0,0,0,0,36.05,0,0,0,34.78,78.05,78.05,0,0

9,02:00-02:15,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.890000,271.690000,179.900000,0.000000,36.33,0,0,109,26.86,0,0,0,0,0,36.33,0,0,0,34.95,78.11,78.11,0,0

10,02:15-02:30,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,231.840000,179.900000,0.000000,36.56,0,0,109.68,26.62,0,0,0,0,0,36.57,0,0,0,34.68,78.01,78.01,0,0

11,02:30-02:45,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,231.840000,148.760000,0.000000,36.13,0,0,108.38,26.11,0,0,0,0,0,36.12,0,0,0,34.33,77.53,77.53,0,0

12,02:45-03:00,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,35.1,0,0,105.31,25.55,0,0,0,0,0,35.1,0,0,0,33.45,74.99,74.99,0,0

13,03:00-03:15,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,33.91,0,0,101.74,25.17,0,0,0,0,0,33.92,0,0,0,33.57,73.93,73.93,0,0

14,03:15-03:30,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,33.13,0,0,99.38,24.89,0,0,0,0,0,33.12,0,0,0,33.35,73.39,73.39,0,0

15,03:30-03:45,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.44,0,0,109.32,22.07,0,0,0,0,0,36.45,0,0,0,32.85,74.22,74.22,0,0

16,03:45-04:00,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.17,0,0,108.51,21.87,0,0,0,0,0,36.17,0,0,0,32.34,73.38,73.38,0,0

17,04:00-04:15,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,35.8,0,0,107.4,22.13,0,0,0,0,0,35.81,0,0,0,32.8,72.78,72.78,0,0

18,04:15-04:30,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.18,0,0,108.53,21.14,0,0,0,0,0,36.17,0,0,0,32.92,71.68,71.68,0,0

19,04:30-04:45,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.3,0,0,108.9,21.9,0,0,0,0,0,36.3,0,0,0,33.32,71.46,71.46,0,0

20,04:45-05:00,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,37.56,0,0,112.67,26.15,0,0,0,0,0,37.55,0,0,0,33.27,71.09,71.09,0,0

21,05:00-05:15,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,37.84,0,0,113.51,25.95,0,0,0,0,0,37.83,0,0,0,35.15,76.74,76.74,0,0

22,05:15-05:30,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.97,0,0,110.9,25.68,0,0,0,0,0,36.97,0,0,0,34.78,76.72,76.72,0,0

23,05:30-05:45,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.67,0,0,110,25.39,0,0,0,0,0,36.66,0,0,0,34.53,76.95,76.95,0,0

24,05:45-06:00,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,193.200000,119.780000,0.000000,36.67,0.18,0,110,24.99,0,0,0.87804,0.04,0.67,36.66,0,0.01,0.33,34.33,76.84,76.84,0,0

25,06:00-06:15,33.790000,26.070000,0.000000,0.000000,0.000000,26.070000,0.000000,0.000000,11.890000,70.480000,28.940000,231.840000,119.780000,0.000000,36.67,1.66,1.14,110,24.79,0.49,2.22,2.809728,2.03,2,36.66,0.14,0.41,1,34.33,76.77,76.77,0,0

26,06:15-06:30,33.790000,26.070000,0.320000,0.320000,0.000000,26.070000,0.330000,0.000000,11.890000,85.260000,28.940000,231.840000,119.780000,0.000000,36.67,3.79,3.93,110,24.34,1.68,4.44,4.92678,5.5,3.33,36.66,0.71,1.1,1.67,34.33,76.82,76.82,0,0

27,06:30-06:45,33.790000,26.070000,0.680000,0.680000,0.000000,26.070000,0.700000,0.000000,11.890000,85.260000,28.940000,219.280000,119.780000,0.000000,36.67,4.93,7.89,110,26.04,3.38,8.88,6.838956,9.73,4,36.66,1.63,1.94,2,34.33,66.77,66.77,0,0

28,06:45-07:00,33.790000,26.070000,1.090000,1.090000,0.000000,26.070000,1.120000,0.000000,11.890000,70.480000,28.940000,206.720000,119.780000,0.000000,36.67,7.23,12.53,110,26.79,5.37,16.64,9.46332,14.97,6.67,36.66,2.97,2.99,3.33,34.33,67.33,67.33,23,25.76

29,07:00-07:15,33.790000,26.070000,1.610000,1.610000,0.000000,26.070000,1.660000,0.000000,11.890000,70.480000,28.810000,193.200000,119.780000,0.000000,36.67,10.33,17.67,110,27.31,7.57,28.55,13.053528,22.48,9.33,36.66,4.76,4.5,4.67,34.33,68.22,68.22,29.45,29.45

30,07:15-07:30,33.790000,26.070000,2.250000,2.250000,0.000000,26.070000,2.300000,0.000000,11.890000,70.480000,28.810000,173.880000,119.780000,0.000000,36.67,14.43,23.53,110,26.31,10.09,29.49,17.063244,32.05,12,36.66,6.93,6.41,6,34.33,72.09,72.09,29.48,29.48

31,07:30-07:45,33.790000,26.070000,2.960000,2.960000,0.000000,26.070000,3.040000,0.000000,11.890000,70.480000,28.810000,131.380000,119.780000,0.000000,36.67,19.43,30.16,110,25.37,12.93,30.66,22.741236,35.5,21.33,36.66,9.31,7.1,10.67,34.33,75.71,75.71,30.67,30.67

32,07:45:08:00,33.790000,26.070000,3.710000,3.710000,0.000000,26.070000,3.790000,0.000000,11.890000,70.480000,27.840000,112.060000,119.780000,0.000000,37,24.93,37.48,111,20.94,16.07,30.84,26.19486,40.74,0,36.99,11.84,8.15,0,34.33,80.34,80.34,30.83,30.83

33,08:00-08:15,33.790000,26.070000,4.430000,4.430000,0.000000,26.070000,4.540000,0.000000,11.890000,70.480000,28.770000,131.380000,119.780000,0.000000,37.51,30.77,28,112.54,20.5,12,32.34,29.531412,52.95,0,37.51,15.33,10.59,0,34.33,80.63,80.63,32.33,32.33

34,08:15-08:30,33.790000,26.070000,5.150000,5.150000,0.000000,26.070000,5.270000,0.000000,11.890000,70.480000,28.770000,131.380000,119.780000,0.000000,37.63,36.7,31.5,112.9,20.68,13.5,32.34,32.721624,66.18,0,37.65,17.61,13.23,0,34.37,80.67,80.67,32.33,32.33

35,08:30-08:45,33.790000,26.070000,7.110000,7.110000,0.000000,26.070000,7.300000,0.000000,11.890000,70.480000,28.770000,131.380000,119.780000,0.000000,38.55,42.47,56,115.64,21.16,24,32.5,35.794764,76.61,27.33,38.53,20.3,15.32,13.67,35.55,81.33,81.33,32.5,32.5

36,08:45:09:00,33.790000,26.070000,7.940000,7.940000,0.000000,26.070000,8.140000,0.000000,11.890000,70.480000,28.770000,131.380000,119.780000,0.000000,40.05,48.33,66.5,120.16,21.11,28.5,32.5,39.238632,122.68,31.33,40.06,22.76,24.53,15.67,37.62,81.95,81.95,32.5,32.5

37,09:00:09:15,33.790000,26.070000,8.740000,8.740000,0.000000,26.070000,8.950000,0.000000,0.000000,70.480000,30.700000,131.380000,119.780000,0.000000,40.25,53.87,73.5,120.76,11.07,31.5,32.5,44.106876,136.13,36,40.26,25.12,27.22,18,38.54,76.87,76.87,32.5,32.5

38,09:15-09:30,33.790000,26.070000,9.490000,9.490000,0.000000,26.070000,9.730000,0.000000,0.000000,70.480000,27.670000,131.380000,119.780000,0.000000,39.84,59.2,84,119.51,11.47,36,32.5,50.09706,148.83,40.67,39.83,27,29.76,20.33,38.95,76.84,76.84,32.5,32.5

39,09:30-09:45,33.790000,26.070000,10.140000,10.140000,0.000000,26.070000,10.400000,0.000000,0.000000,70.480000,27.670000,131.380000,119.780000,0.000000,40.04,64.2,91,120.13,11.97,39,32.66,55.960416,160.64,44,40.05,37.29,32.13,22,36.74,76.84,76.84,32.67,32.67

40,09:45-10:00,33.790000,26.070000,10.660000,10.660000,0.000000,26.070000,10.930000,0.000000,0.000000,70.480000,28.630000,131.380000,119.780000,0.000000,40.13,68.57,98,120.4,12.41,42,32.66,61.36524,174.33,48,40.15,40.55,34.87,24,36.74,76.84,76.84,32.67,32.67

41,10:00-10:15,33.790000,26.070000,11.300000,11.300000,0.000000,26.070000,11.580000,0.000000,0.000000,70.480000,28.630000,131.380000,119.780000,0.000000,40.28,72.77,107.1,120.85,12.68,45.9,32.66,64.887156,137.71,50,40.29,42.78,27.54,25,36.74,68.62,68.62,32.67,32.67

42,10:15-10:30,33.790000,26.070000,11.780000,11.780000,0.000000,26.070000,12.080000,0.000000,0.000000,70.480000,28.630000,131.380000,119.780000,0.000000,41.27,76.83,114.8,123.81,12.92,49.2,32.66,67.062744,141.88,0,41.26,43.68,28.37,0,36.67,68.51,68.51,32.67,32.67

43,10:30-10:45,33.790000,26.070000,12.160000,12.160000,0.000000,26.070000,12.450000,0.000000,0.000000,70.480000,28.630000,131.380000,165.850000,0.000000,40.94,79.33,122.5,122.81,13.09,52.5,32.66,69.872472,146.04,0,40.93,43.55,29.21,0,36.67,68.51,68.51,32.67,32.67

44,10:45-11:00,33.790000,26.070000,12.630000,12.630000,0.000000,26.070000,12.940000,0.000000,0.000000,70.480000,28.630000,131.380000,165.850000,0.000000,40.85,82.33,94.5,122.54,13.39,40.5,32.66,73.150488,154.38,0,40.84,33.43,30.87,0,36.67,68.54,68.54,32.67,32.67

45,11:00-11:15,33.790000,26.070000,12.970000,12.970000,0.000000,26.070000,13.290000,0.000000,0.000000,70.480000,28.630000,131.380000,165.850000,0.000000,40.89,85,98,122.67,14.52,42,32.66,75.726072,162.71,8,40.88,34.43,32.54,4,36.67,70.21,70.21,32.67,32.67

46,11:15-11:30,33.790000,26.070000,13.220000,13.220000,0.000000,26.070000,13.540000,0.000000,0.000000,70.480000,28.630000,131.380000,165.850000,0.000000,40.94,86,101.5,122.81,14.66,43.5,32.66,77.199228,166.88,11.33,40.93,35.31,33.37,5.67,36.67,70.21,70.21,32.67,32.67

47,11:30-11:45,33.790000,26.070000,13.400000,13.400000,0.000000,26.070000,13.730000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,40.99,87.03,105,122.97,14.98,45,32.66,78.2919,166.88,22,40.99,35.28,33.37,11,36.67,70.15,70.15,32.67,32.67

48,11:45-12:00,33.790000,26.070000,13.400000,13.400000,0.000000,26.070000,13.730000,0.000000,0.000000,70.480000,0.000000,131.380000,194.830000,0.000000,40.86,87.2,108.5,122.57,15.26,46.5,32.66,78.769944,201.1,30,40.85,35.14,40.22,15,40,80.19,80.19,32.67,32.67

49,12:00-12:15,46.880000,26.070000,11.980000,11.980000,0.000000,26.070000,12.270000,0.000000,0.000000,70.480000,0.000000,131.380000,225.970000,0.000000,40.99,87.53,108.5,122.96,16.32,46.5,32.66,87.257664,201.13,37.34,40.99,34.85,40.23,18.66,40,80.19,80.19,32.67,32.67

50,12:15-12:30,46.880000,26.070000,11.980000,11.980000,0.000000,26.070000,12.270000,0.000000,0.000000,70.480000,0.000000,131.380000,225.970000,0.000000,40.88,87.63,147,122.65,17.38,63,32.66,88.028388,201.95,41.34,40.9,34.4,40.39,20.66,40,80.19,80.19,32.67,32.67

51,12:30-12:45,46.880000,26.070000,11.980000,11.980000,0.000000,26.070000,12.270000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,40.88,87.33,147,122.65,17.25,63,32.66,93.628332,202.9,43.34,40.9,36.99,40.58,21.66,40,80.19,80.19,32.67,32.67

52,12:45-13:00,46.880000,26.070000,11.980000,11.980000,0.000000,26.070000,12.270000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,40.94,87.67,147,122.81,17.44,63,32.66,89.179596,203.99,52.11,40.92,37.39,40.8,24.89,40,80.19,80.19,32.67,32.67

53,13:00-13:15,46.880000,26.070000,11.980000,11.980000,0.000000,26.070000,12.270000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,41,87.3,147,123,18.76,63,32.66,91.960056,187.17,54.81,41,37.61,37.43,26.19,40,80.19,80.19,32.67,32.67

54,13:15-13:30,46.880000,26.070000,11.920000,11.920000,0.000000,26.070000,12.220000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,40.99,86.97,147,122.96,20.8,63,32.66,92.516148,184.73,54.81,40.98,37.6,36.95,26.19,40,80.19,80.19,32.67,32.67

55,13:30-13:45,46.880000,26.070000,11.820000,11.820000,0.000000,26.070000,12.120000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,40.93,86.53,147,122.79,22.02,63,32.66,85.794264,182.51,54.81,40.94,37.15,36.5,26.19,40,80,80,32.67,32.67

56,13:45-14:00,46.880000,26.070000,11.640000,11.640000,0.000000,26.070000,11.930000,0.000000,0.000000,70.480000,0.000000,131.380000,165.850000,0.000000,40.88,85.3,147,122.63,24.05,63,32.66,83.199168,184.17,54.81,40.87,36.5,36.83,26.19,40,80,80,32.67,32.67

57,14:00-14:15,46.880000,26.070000,11.240000,11.240000,0.000000,26.070000,11.520000,0.000000,0.000000,115.580000,28.630000,131.380000,165.850000,0.000000,40.88,66.67,147,122.64,33.11,63,32.66,79.687008,183.71,0,40.89,35.81,36.74,0,40,80,80,32.67,32.67

58,14:15-14:30,46.880000,26.070000,10.970000,10.970000,0.000000,26.070000,11.240000,0.000000,0.000000,115.580000,28.630000,131.380000,165.850000,0.000000,41,67.67,147,122.99,34.13,63,32.66,75.599244,184.13,54,40.99,34.99,36.83,27,40,80,80,32.67,32.67

59,14:30-14:45,46.880000,26.070000,10.610000,10.610000,0.000000,26.070000,10.880000,0.000000,0.000000,115.580000,28.630000,131.380000,165.850000,0.000000,40.95,68.33,143.5,122.85,35.68,61.5,32.66,71.287092,208.33,54.67,40.94,34.01,41.67,27.33,40,80,80,32.67,32.67

60,14:45-15:00,46.880000,26.070000,10.150000,10.150000,0.000000,26.070000,10.400000,0.000000,0.000000,115.580000,28.630000,131.380000,165.850000,0.000000,40.89,69,122.72,122.67,37.73,52.59,32.66,66.428604,204.43,54,40.89,32.93,40.88,27,40,80,80,32.67,32.67

