Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/24062024/24062024/IEX_240623_01279,NR/24062024/24062024/IEX-240623-01278-1,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/IEPL01,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01062024/30062024/R2
1,00:00-00:15,130.960000,15.470000,30.870000,28.260000,0.000000,16.000000,48.240000,67.5,0,0,22.5,0,0,0,0,0,0,0,22.5,48.59,0,0,0,22,40.81,0,48.59,0,10.360000,272.770000,115.340000,15.380000,10.320000,38.590000,100.500000,0.000000,24.120000,21.750000,67.530000,24.120000,7.880000,87.020000,0.000000,0.000000,48.240000,48.240000,0.000000,24.120000,38.590000,0.000000,0.000000,30.870000,24.120000

2,00:15-00:30,130.960000,15.470000,30.870000,28.260000,0.000000,16.000000,48.240000,63.5,0,0,21.17,0,0,0,0,0,0,0,21.16,48.08,0,0,0,22,40.61,0,48.08,0,10.360000,272.770000,115.340000,15.380000,10.320000,38.590000,100.500000,0.000000,24.120000,21.750000,67.530000,24.120000,7.880000,87.020000,0.000000,0.000000,48.240000,48.240000,0.000000,24.120000,38.590000,0.000000,0.000000,30.870000,24.120000

3,00:30-00:45,130.960000,15.470000,30.870000,28.260000,0.000000,16.000000,48.240000,62,0,0,20.67,0,0,0,0,0,0,0,20.66,47.79,0,0,0,21.66,40.61,0,47.79,0,10.360000,272.770000,115.340000,15.380000,10.320000,38.590000,100.500000,0.000000,24.120000,21.750000,67.530000,24.120000,7.880000,87.020000,0.000000,0.000000,48.240000,48.240000,0.000000,24.120000,38.590000,0.000000,0.000000,30.870000,24.120000

4,00:45-01:00,130.960000,15.470000,30.870000,28.260000,0.000000,16.000000,48.240000,61.5,0,0,20.5,0,0,0,0,0,0,0,20.5,50.51,0,0,0,21.66,40.41,0,50.51,0,10.360000,272.770000,115.340000,15.380000,10.320000,38.590000,100.500000,0.000000,24.120000,21.750000,67.530000,24.120000,7.880000,87.020000,0.000000,0.000000,48.240000,48.240000,0.000000,24.120000,38.590000,0.000000,0.000000,30.870000,24.120000

5,01:00-01:15,130.960000,15.470000,30.870000,28.260000,0.000000,16.000000,48.240000,62.5,0,0,20.83,0,0,0,0,0,0,0,20.84,56.58,0,0,0,21.34,40.21,0,56.58,0,10.360000,272.770000,115.340000,15.380000,10.320000,38.590000,100.500000,0.000000,24.120000,21.750000,67.530000,24.120000,7.700000,87.020000,0.000000,0.000000,48.240000,0.000000,0.000000,24.120000,38.590000,0.000000,0.000000,30.870000,24.120000

