Time,Block,NR/2024/18614/C,NR/2024/18436/A/4692,NR/2024/18615/C,NR/2024/18388/A/4678,NR/2024/18445/A/4866,WR/2024/21355/A/4864,WR/2024/21351/A/4850,NER/2024/1934/A/4846,NER/2024/1922/A/4847,NR/2024/18612/C,Total
,,SJVNL,IEXL,SJVNL,ITCLH,MANIKARAN,MANIKARAN,APPCPL,APPCPL,APPCPL,NVVNL,Total

,,UTTAR PRADESH,MAHARASHTRA,UTTAR PRADESH,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,BCMLB001,A_A_Energy_MH_Bio,BCMLUH,ITCWIND,BRPL,BRPL,BRPL,BYPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,GOA,GOA,NAGALAND,MANIPUR,DELHI,
,,NDMC,MES (Delhi),NDMC,ITCLH,HP,GOA_Beneficiary,GOA_Beneficiary,Nagaland_Ben,Manipur_Ben,MES (Delhi),
,,North-North,West-East-North,North-North,South-West-North,North-North,North-West,North-West,North-East-North East,North-East-North East,West-North,
1,00:00-00:15,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

2,00:15-00:30,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

3,00:30-00:45,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

4,00:45-01:00,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

5,01:00-01:15,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

6,01:15-01:30,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

7,01:30-01:45,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

8,01:45-02:00,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

9,02:00-02:15,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

10,02:15-02:30,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

11,02:30-02:45,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

12,02:45-03:00,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

13,03:00-03:15,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

14,03:15-03:30,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

15,03:30-03:45,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

16,03:45-04:00,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

17,04:00-04:15,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

18,04:15-04:30,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

19,04:30-04:45,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

20,04:45-05:00,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

21,05:00-05:15,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

22,05:15-05:30,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

23,05:30-05:45,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

24,05:45-06:00,0.000000,7.700000,0.000000,0.390000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.09

25,06:00-06:15,0.000000,7.700000,0.000000,0.430000,132.980000,0.000000,0.000000,20.000000,25.000000,0,186.11

26,06:15-06:30,0.000000,7.700000,0.000000,0.430000,132.980000,0.000000,0.000000,20.000000,25.000000,0,186.11

27,06:30-06:45,0.000000,7.700000,0.000000,0.430000,132.980000,0.000000,0.000000,20.000000,25.000000,0,186.11

28,06:45-07:00,0.000000,7.700000,0.000000,0.430000,132.980000,0.000000,0.000000,20.000000,25.000000,0,186.11

29,07:00-07:15,0.000000,7.700000,0.000000,0.480000,132.980000,0.000000,0.000000,20.000000,25.000000,0,186.16

30,07:15-07:30,0.000000,7.700000,0.000000,0.480000,132.980000,0.000000,0.000000,20.000000,25.000000,0.17,186.33

31,07:30-07:45,0.000000,7.700000,0.000000,0.480000,132.980000,0.000000,0.000000,20.000000,25.000000,0.55,186.71

32,07:45:08:00,0.000000,7.700000,0.000000,0.480000,132.980000,0.000000,0.000000,20.000000,25.000000,0.92,187.08

33,08:00-08:15,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,1.31,187.86

34,08:15-08:30,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,1.75,188.3

35,08:30-08:45,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,2.27,188.82

36,08:45:09:00,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,2.8,189.35

37,09:00:09:15,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,3.32,189.87

38,09:15-09:30,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,3.17,189.72

39,09:30-09:45,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,3.66,190.21

40,09:45-10:00,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,4.04,190.59

41,10:00-10:15,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,4.62,191.17

42,10:15-10:30,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,5.01,191.56

43,10:30-10:45,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,5.58,199.64

44,10:45-11:00,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,5.97,200.03

45,11:00-11:15,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.26,200.32

46,11:15-11:30,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.35,200.41

47,11:30-11:45,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.55,200.61

48,11:45-12:00,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.64,200.7

49,12:00-12:15,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.69,200.75

50,12:15-12:30,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.74,200.8

51,12:30-12:45,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.83,200.89

52,12:45-13:00,4.140000,7.700000,3.370000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,7.27,201.33

53,13:00-13:15,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,7.36,193.91

54,13:15-13:30,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,7.51,194.06

55,13:30-13:45,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,7.32,193.87

56,13:45-14:00,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,7.12,193.67

57,14:00-14:15,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.79,193.34

58,14:15-14:30,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.69,193.24

