Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/02012024/02012024/HPX-TAMCTG-010124-05595,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/31012024/HP-27,NR/01012024/31032024/ ChanjuII,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31012024/52,NR/01012024/31012024/HP-26,NR/01012024/31012024/HP-28,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01012024/15012024/IEX_231227_05965,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01102023/22052037/LT-59,NR/01012024/15012024/IEX_231227_05966,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/02012024/04012024/SJVN020124NR1334,NR/02012024/04012024/SJVN020124NR1333,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,112.790000,48.200000,8.190000,50.130000,0.000000,48.200000,5.780000,0.000000,23.140000,11.570000,57.410000,1.660000,1.150000,18.320000,0.000000,149.110000,0.000000,152.770000,24.570000,0.000000,30.850000,30.850000,0.000000,96.400000,6.750000,0.850000,48.200000,70.280000,0.000000,1.620000,0,76.6,39.69,39.69,0,21.79,0,25.53,25.53,0,0,0,0,13.44,0,0,0,0,0,0,0,0,0

2,00:15-00:30,112.790000,48.200000,8.190000,50.130000,0.000000,48.200000,5.780000,0.000000,23.140000,11.570000,57.410000,1.660000,1.150000,18.320000,0.000000,149.110000,0.000000,152.770000,24.570000,0.000000,30.850000,30.850000,0.000000,96.400000,6.750000,0.850000,48.200000,70.280000,0.000000,1.620000,0,76.07,39.62,39.62,0,21.27,0,25.34,25.36,0,0,0,0,13.05,0,0,0,0,0,0,0,0,0

3,00:30-00:45,112.790000,48.200000,8.190000,50.130000,0.000000,48.200000,5.780000,0.000000,23.140000,11.570000,57.410000,1.660000,1.150000,18.320000,0.000000,149.110000,0.000000,152.770000,24.570000,0.000000,26.020000,26.020000,0.000000,96.400000,6.750000,0.850000,48.200000,70.280000,0.000000,1.570000,0,76.38,39.08,39.08,0,20.62,0,25.45,25.46,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0

4,00:45-01:00,112.790000,48.200000,8.190000,50.130000,0.000000,48.200000,5.780000,0.000000,23.140000,11.570000,57.410000,1.660000,1.150000,18.320000,0.000000,149.110000,0.000000,152.770000,24.570000,0.000000,26.020000,26.020000,0.000000,96.400000,6.750000,0.850000,48.200000,70.280000,0.000000,1.570000,0,74.36,38.38,38.38,0,16.67,0,24.77,24.79,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0

5,01:00-01:15,112.790000,48.200000,8.190000,50.130000,0.000000,48.200000,5.780000,0.000000,23.140000,11.570000,57.410000,1.660000,1.070000,18.320000,36.630000,149.110000,0.000000,152.770000,24.570000,0.000000,26.020000,26.020000,0.000000,96.400000,6.750000,0.850000,48.200000,70.280000,0.000000,1.570000,0,73,38.23,38.23,0,16.12,0,24.33,24.33,0,0,0,0,12.64,0,0,0,0,0,0,0,0,0

