Block,Time Block,JHAJJAR,KGSU1AND2,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,KGSU3AND4,KOTESHWR,KUDGI,MAPS,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA2,DADRT2,CHAMERA3,BRBCL,CHAMERA1,BSIUL,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_GF,ANTA_CRF,ANTA_LF,URI2,UNCHAHAR3,TALST2,TANAKPUR,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR2,URI,TALA,TEHRI,SINGRAULI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TANDA2,SASAN,SIMHST1,SIMHST2,RSTPSU7,SALAL,SEWA2,NJPC,NAPP,NLCEXP,RAPPD,RSTPSU1TO6,NLCIIST1,RAMPUR,RIHAND3,NLCIIST2,RAPPC,NLCTS2EXP,NNTPP,RIHAND2,NTPL,PARBATI3,RIHAND1,RAPPB,PARBATI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,205.29,0,44.24,143.14,0,0,8.46,9.35,0,10.08,0,0,21.19,18.26,56.74,47.2,156.41,22.56,19,40.68,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,22.4,0,2.36,1.12,0,35.53,49.55,5.96,27.25,150.17,16.88,2.31,0,6.09,401,0,0,0,81.88,12.18,139.67,24.02,0,26.94,0,0,5.6,50.89,0,66.5,0,0,93.43,0,37.08,62.55,0,21.83,0,0,0,0,0

2,00:15-00:30,205.29,0,44.24,143.14,0,0,8.46,9.35,0,10.08,0,0,21.19,16.91,56.74,47.2,187.11,22.56,16.87,40.68,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,22.4,0,2.36,1.12,0,35.53,49.55,5.96,27.25,150.17,16.88,2.31,0,6.09,401.76,0,0,0,81.88,6.09,139.67,24.02,0,26.94,0,0,5.6,50.89,0,66.5,0,0,93.43,0,37.08,62.55,0,21.83,0,0,0,0,0

3,00:30-00:45,227.49,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,16.95,56.74,47.2,197.68,22.56,13.63,27.12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,27.02,0,2.36,1.12,0,43.06,49.55,6.52,27.25,150.17,21.07,2.31,0,6.09,401.76,0,0,0,81.88,6.09,139.67,24.02,0,26.94,0,0,5.6,60.22,0,66.5,0,0,92.48,0,37.08,61.92,0,21.83,0,0,0,0,0

4,00:45-01:00,211.56,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,18.88,56.74,47.2,226.71,22.56,10.83,27.12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,27.02,0,2.36,1.12,0,43.06,49.55,6.52,27.25,150.17,21.07,2.31,0,6.09,401.76,0,0,0,81.88,6.09,106.96,24.02,0,26.94,0,0,4.29,60.38,0,66.5,0,0,92.48,0,37.08,61.92,0,21.83,0,0,0,0,0

5,01:00-01:15,186.91,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,20.08,56.74,47.2,220.98,22.56,10.57,27.12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,27.02,0,2.36,1.12,0,43.06,49.55,7.37,27.25,150.17,21.07,2.31,0,6.09,401.76,0,0,0,81.88,6.09,106.96,24.02,0,26.94,0,0,4.29,51.41,0,66.5,0,0,93.43,0,37.08,62.55,0,21.83,0,0,0,0,0

6,01:15-01:30,151.15,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,20.08,56.74,47.2,180.51,22.56,9.72,27.12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,27.02,0,2.36,1.12,0,43.06,49.55,7.37,27.25,150.17,21.07,2.31,0,6.09,401.76,0,0,0,81.88,6.09,106.96,24.02,0,26.94,0,0,4.29,51.41,0,66.5,0,0,93.43,0,37.08,62.55,0,21.83,0,0,0,0,0

7,01:30-01:45,121.32,0,44.24,143.14,0,0,8.46,7.01,0,32.48,0,0,10.59,20.08,56.74,47.2,111.02,22.56,9.64,27.12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,27.02,0,1.36,1.12,0,43.06,49.55,7.37,27.25,150.17,21.07,2.31,0,6.09,401.76,0,0,0,44.86,6.09,106.96,24.02,0,26.94,0,0,4.29,51.41,0,66.5,0,0,93.43,0,37.08,62.55,0,21.83,0,0,0,0,0

8,01:45-02:00,121.32,0,44.24,143.14,0,0,8.46,7.01,0,32.48,0,0,10.59,20.08,56.74,47.2,57.7,22.56,8.77,27.12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,27.02,0,1.36,1.12,0,39.11,49.55,7.37,27.25,150.17,21.07,2.31,0,6.09,401.76,0,0,0,44.86,5.4,106.96,24.02,0,26.94,0,0,4.29,51.41,0,66.5,0,0,93.43,0,37.08,62.55,0,21.83,0,0,0,0,0

