Block,Time,KOLDAM,AURY_GF,PARBATI3,SEWA2,DADRI_GF,ANTA_LF,DULHASTI,UNCHAHAR4,AURY_CRF,BSIUL,RAMPUR,JHAJJAR,SINGRAULI,ANTA_RF,RIHAND3,UNCHAHAR2,SINGRAULI_HYDRO,CHAMERA3,CHAMERA2,NAPP,RIHAND2,RIHAND1,URI2,URI,RAPPB,TEHRI,UNCHAHAR1,SALAL,CHAMERA1,KISHANGANGA,DADRI_CRF,DADRT2,ANTA_CRF,TANDA2,RAPPC,TANAKPUR,UNCHAHAR3,AURY_LF,DHAULIGNGA,DADRI_RF,KOTESHWR,ANTA_GF,DADRI_LF,NJPC,AURY_RF,BRBCL,KHSTPP-II,TALA,FSTPP I & II,KHSTPP-I,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,631.334887,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024136,88.927200,31.336515,12.805517,0.000000,43.844976,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,9.530676,0.000000,0.000000,59.499063,0.000000,14.499000,142.342386,15.629922,20.037618,39.897382,19.33,265.331700,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,631.334887,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024136,88.927200,31.336515,12.805517,0.000000,29.229984,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,9.530676,0.000000,0.000000,59.499063,0.000000,14.499000,142.342386,15.629922,20.037618,39.897382,9.67,265.331700,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,631.334887,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024039,88.927200,31.336515,12.805517,0.000000,14.614992,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,9.530676,0.000000,0.000000,59.499063,0.000000,16.383870,142.342386,15.629922,20.037618,39.897382,9.67,265.331700,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,631.334887,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024039,88.927200,31.336515,12.805517,0.000000,0.000000,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,9.530676,0.000000,0.000000,59.499063,0.000000,16.422534,142.342386,15.629922,20.037618,39.897382,9.67,265.331700,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,569.375730,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024039,88.927200,31.336515,12.805517,0.000000,0.000000,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,8.577608,0.000000,0.000000,59.499063,0.000000,16.857504,142.342386,15.629922,20.037618,39.897382,9.67,265.331700,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,468.897660,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024039,88.927200,31.336515,46.953562,0.000000,0.000000,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,8.577608,0.000000,0.000000,59.499063,0.000000,16.992828,142.342386,15.629922,20.037618,39.897382,9.67,265.331700,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,446.569200,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024039,88.927200,11.702433,46.953562,0.000000,0.000000,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,8.577608,0.000000,0.000000,59.499063,0.000000,16.992828,142.342386,15.629922,20.037618,38.723929,9.67,265.331700,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,0.000000,446.569200,100.043100,0.000000,119.535193,40.974271,0.832098,9.354600,25.460321,38.712330,56.024039,88.927200,9.752027,12.805517,0.000000,0.000000,15.327473,23.586973,0.000000,0.000000,0.000000,663.841506,0.000000,0.000000,49.064616,12.877432,19.615794,0.000000,0.000000,0.000000,8.577608,0.000000,0.000000,59.499063,0.000000,16.673850,142.342386,15.629922,20.037618,38.723929,9.67,265.331700,0,0,0,0,0

