Block,Time,KISHANGANGA,URI2,UNCHAHAR3,AURY_CRF,ANTA_RF,SINGRAULI_HYDRO,DADRI_LF,URI,DADRI_CRF,RIHAND3,TANDA2,CHAMERA1,UNCHAHAR4,ANTA_GF,NAPP,KOTESHWR,TEHRI,DULHASTI,SINGRAULI,TANAKPUR,DADRI_RF,RAPPB,DHAULIGNGA,RIHAND1,CHAMERA2,UNCHAHAR1,AURY_RF,JHAJJAR,ANTA_LF,UNCHAHAR2,BSIUL,RAMPUR,SEWA2,AURY_LF,AURY_GF,RAPPC,KOLDAM,ANTA_CRF,CHAMERA3,PARBATI3,DADRT2,BRBCL,KHSTPP-I,SASAN,SALAL,NJPC,TALA,KHSTPP-II,RIHAND2,FSTPP I & II,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
27,06:30-06:45,0.000000,4.538705,15.993242,0.000000,0.000000,0.700770,0.000000,3.192768,0.000000,119.213662,0.000000,26.654600,0.000000,0.000000,18.120115,17.109072,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,26.421416,88.688000,12.695919,8.475199,0.000000,378.297700,0.000000,35.304572,1.060400,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,1.227558,0.000000,464.648000,14.459964,33.546535,403.694280,6.721008,54.774480,0.000000,141.959508,56.028451,13.014953,0.000000,0,0,0,0,0

28,06:45-07:00,0.000000,4.538705,15.993242,0.000000,0.000000,0.700770,0.000000,3.192768,0.000000,119.213662,0.000000,26.654600,0.000000,0.000000,18.120115,25.663608,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,26.421416,88.688000,25.828741,8.475199,0.000000,445.777700,0.000000,40.864056,12.572102,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,28.016547,3.681516,512.848000,14.459964,33.546535,403.694280,53.768064,77.779762,0.000000,141.959508,56.028451,17.141790,0.000000,0,0,0,0,0

29,07:00-07:15,0.000000,4.538705,15.993242,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,26.654600,0.000000,0.000000,18.326026,25.663608,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,26.421416,88.688000,25.828741,8.475199,0.000000,522.897700,0.000000,40.864056,12.572102,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,28.016547,15.761797,570.316860,14.459964,33.546535,403.694280,53.768064,132.371660,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

30,07:15-07:30,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,26.654600,0.000000,0.000000,18.326026,25.663608,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,26.421416,88.688000,25.828741,10.134537,0.000000,615.598143,0.000000,40.864056,12.572102,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,28.016547,15.761797,658.536478,14.459964,33.546535,403.694280,53.768064,135.292966,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

31,07:30-07:45,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,34.056192,0.000000,119.213662,0.000000,13.543583,0.000000,0.000000,18.531936,25.663608,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,17.614277,88.688000,25.828741,10.182539,0.000000,629.636696,0.000000,40.864056,12.572102,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,28.016547,15.761797,658.536478,14.459964,33.546535,403.694280,53.768064,135.292966,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

32,07:45:08:00,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,34.056192,0.000000,119.213662,0.000000,13.543583,0.000000,0.000000,18.531936,25.663608,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,17.614277,88.688000,25.828741,10.182539,0.000000,629.636696,0.000000,40.864056,12.572102,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,28.016547,15.761797,658.536478,14.459964,33.546535,403.694280,53.768064,135.292966,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

33,08:00-08:15,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,4.789152,0.000000,119.213662,0.000000,8.377160,0.000000,0.000000,18.531936,25.663608,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,8.807139,88.688000,25.828741,10.182539,0.000000,629.636696,0.000000,40.864056,12.572102,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,28.016547,3.681516,658.536478,14.459964,33.546535,403.694280,6.721008,109.548960,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

34,08:15-08:30,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,17.109072,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,25.391837,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,1.227558,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,90.195310,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

35,08:30-08:45,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,45.002412,47.656840,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,25.391837,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,67.646483,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

