Block,Time,DHAULIGNGA,URI,UNCHAHAR4,DADRT2,AURY_CRF,RIHAND3,ANTA_RF,SALAL,SEWA2,RIHAND1,RAMPUR,TEHRI,RAPPC,DULHASTI,NJPC,DADRI_RF,KOLDAM,UNCHAHAR3,CHAMERA3,RIHAND2,UNCHAHAR1,DADRI_LF,AURY_GF,AURY_LF,DADRI_CRF,ANTA_LF,NAPP,ANTA_CRF,SINGRAULI_HYDRO,RAPPB,CHAMERA2,AURY_RF,KHSTPP-I,SINGRAULI,UNCHAHAR2,URI2,KISHANGANGA,BRBCL,JHAJJAR,KOTESHWR,KHSTPP-II,PARBATI3,CHAMERA1,FSTPP I & II,TANDA2,DADRI_GF,TALA,BSIUL,TANAKPUR,KUDGI,SASAN,ANTA_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,6.386198,0.000000,176.430300,0.000000,119.226029,0.000000,2.240568,0.000000,88.697200,0.000000,0.000000,52.118668,15.887261,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.553297,0.000000,0.000000,0.000000,32.149361,131.961188,13.497400,5.187629,0.000000,19.281969,114.727900,8.555423,58.030047,0.000000,0.000000,6.474515,0.000000,0.000000,0.000000,0.000000,3.087530,63.63,403.736157,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,47.896488,0.000000,176.430300,0.000000,119.226029,0.000000,2.240568,0.000000,88.697200,0.000000,0.000000,52.118668,15.887261,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.553297,0.000000,0.000000,0.000000,32.149361,131.961188,13.497400,5.187629,0.000000,19.281969,114.727900,8.555423,58.030047,0.000000,0.000000,4.820500,0.000000,0.000000,0.000000,0.000000,3.087530,63.63,403.736157,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,47.896488,0.000000,176.430300,0.000000,119.226029,0.000000,2.240568,0.000000,88.697200,0.000000,0.000000,52.118668,15.887261,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.553297,0.000000,0.000000,0.000000,19.750456,131.961188,13.497400,23.863095,0.000000,19.066156,114.727900,8.555423,58.030047,0.000000,0.000000,4.820500,0.000000,0.000000,0.000000,0.000000,3.087530,63.63,403.736157,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,8.514931,0.000000,176.430300,0.000000,119.226029,0.000000,2.240568,0.000000,88.697200,0.000000,0.000000,52.118668,15.887261,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.553297,0.000000,0.000000,0.000000,19.750456,131.961188,13.497400,23.863095,0.000000,15.926381,114.727900,8.555423,58.030047,0.000000,0.000000,4.820500,0.000000,0.000000,0.000000,0.000000,3.087530,63.63,403.736157,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,8.514931,0.000000,176.430300,0.000000,119.226029,0.000000,2.240568,0.000000,88.697200,0.000000,0.000000,52.118668,15.887261,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.553297,0.000000,0.000000,0.000000,19.750456,131.961188,13.497400,23.863095,0.000000,13.552945,114.727900,8.555423,58.030047,0.000000,0.000000,4.820500,0.000000,0.000000,0.000000,0.000000,3.087530,60.74,403.736157,0.000000,0,0,0,0,0

