Block,Time Block,DHAULIGNGA,DADRT2,BSIUL,CHAMERA3,CHAMERA2,CHAMERA1,BRBCL,UNCHAHAR2,URI,TALST2,TANAKPUR,UNCHAHAR1,TEHRIPSP,UNCHAHAR4,VALLURNTECL,TALA,URI2,TEHRI,UNCHAHAR3,TelanganaSTPP,TANDA2,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,NAPP,NLCEXP,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NLCIIST1,NTPL,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,RAMPUR,RIHAND3,RAPPC,PARBATI3,RIHAND2,PARBATI2,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,DULHASTI,MAPS,KUDGI,KOTESHWR,KKNP,KGSU1AND2,KKNPPU2,KOLDAM,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,JHAJJAR,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.85,396.62,0,0,0,13.52,16.39,41.51,2.13,0,10.64,20.43,185.27,1.62,0,12.58,35.99,79.24,25.69,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,343.65,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,282.61,20.01,0,0,0,0,0

2,00:15-00:30,40.85,339.77,0,0,0,13.52,12.93,36.02,2.13,0,10.64,17.65,185.27,1.46,0,12.61,35.99,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,282.61,19.53,0,0,0,0,0

3,00:30-00:45,40.85,272.42,0,0,0,13.52,12.54,36.02,2.13,0,10.64,17.65,185.27,1.46,0,12.65,35.99,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,282.61,17.25,0,0,0,0,0

4,00:45-01:00,40.85,235.86,0,0,0,13.52,13.76,36.02,2.13,0,10.64,17.65,185.27,1.46,0,12.67,35.99,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,277.68,17.25,0,0,0,0,0

5,01:00-01:15,40.85,235.86,0,0,0,13.52,9.98,36.02,2.13,0,10.64,17.65,185.27,1.46,0,12.7,35.99,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,252.67,17.25,0,0,0,0,0

